sample_id,lot_id,tool_id,sequence,pressure_mean,pressure_std,temperature_c,rf_power_w,gas_flow_sccm,motor_current_a,vibration_rms,endpoint_slope,step_duration_s,anomaly_type,anomaly_score,yield_loss_proxy
S00136,L0006,T01,136,28.315332,0.400916,44.607409,831.288432,109.301277,12.575005,0.587229,-0.031386,67.461752,NORMAL,0.144217,7.379811
S00028,L0001,T03,28,30.01001,0.274673,44.561189,812.422551,103.574879,11.202033,0.753287,-0.035114,70.409379,NORMAL,0.188112,5.948749
S00612,L0030,T03,612,26.29086,0.474416,40.522094,769.000245,109.480777,12.257639,0.491773,-0.027254,75.915522,NORMAL,0.331561,12.084704
S00527,L0026,T01,527,27.889063,0.482073,43.981222,828.815485,107.287885,13.356153,0.45343,-0.055312,66.442207,NORMAL,0.148104,6.391166
S00100,L0005,T04,100,29.428965,0.450812,44.206963,833.578335,,12.331739,0.213793,-0.040545,76.560535,NORMAL,0.218097,10.20088
S00290,L0014,T01,290,32.202135,1.174233,43.009907,838.960329,104.190368,11.956462,0.66419,-0.035198,69.16178,LEAK,0.551066,19.647017
S00413,L0020,T02,413,29.011123,0.474107,47.006277,810.27199,104.5836,12.501207,0.67838,-0.018849,69.296666,NORMAL,0.193403,7.265378
S00258,L0012,T02,258,28.61437,0.616031,44.211878,817.810949,104.571114,11.502801,0.729692,-0.037697,68.692033,NORMAL,0.112911,9.766631
S00358,L0017,T01,358,27.896408,0.271306,43.136311,796.382604,108.696822,11.549515,0.498222,-0.047761,65.99422,NORMAL,0.132049,9.824366
S00284,L0014,T01,284,27.721664,0.643808,45.009701,858.109193,106.527614,12.954039,0.963829,-0.046194,71.608049,NORMAL,0.311099,9.915021
S00752,L0037,T01,752,28.035229,0.516585,41.486399,817.356967,108.981816,11.641851,0.734603,-0.04876,73.352837,NORMAL,0.137515,5.753637
S00110,L0005,T01,110,29.102364,0.265531,44.210444,799.515478,99.246305,11.693788,0.8258,-0.041927,72.580981,NORMAL,0.179162,10.074384
S00515,L0025,T03,515,,0.558971,47.59635,821.192951,104.500803,11.809228,0.604636,-0.033026,74.802096,NORMAL,0.15005,5.962049
S00309,L0015,T01,309,27.238837,0.225876,41.392615,823.907562,107.562003,11.550379,0.661227,-0.034245,75.805278,NORMAL,0.104296,2.875059
S00704,L0035,T04,704,,0.334823,46.715485,776.107643,105.758522,13.995419,0.807401,-0.037508,73.646705,DRIFT,0.220988,4.970523
S00331,L0016,T01,331,26.06619,0.320164,43.363133,820.848086,105.715788,13.104519,0.92731,-0.036353,68.71284,NORMAL,0.210679,10.779509
S00649,L0032,T03,649,27.98208,0.336108,42.866401,836.522132,103.827672,12.742116,0.410476,-0.026034,73.286785,NORMAL,0.126228,0.0
S00445,L0022,T01,445,29.087498,0.284741,42.202647,838.821083,106.52959,11.838241,0.696991,-0.036599,72.695633,NORMAL,0.172613,8.298345
S00488,L0024,T04,488,,0.26409,42.922766,775.271201,107.447455,12.066167,0.620326,-0.058454,70.700516,NORMAL,0.181074,6.12285
S00791,L0039,T01,791,28.331089,0.308228,44.392894,791.543552,107.157251,11.758191,1.225087,-0.031383,68.880323,NORMAL,0.271024,9.680575
S00532,L0026,T01,532,29.099056,0.31135,45.111121,838.464021,107.798522,10.287098,0.916633,-0.028587,65.865642,NORMAL,0.208108,7.662316
S00013,L0000,T01,13,28.075711,0.364186,45.207835,853.517407,103.684303,10.743518,,-0.037758,78.262349,NORMAL,0.178626,7.744955
S00338,L0016,T01,338,27.309981,0.313386,41.431506,865.869267,106.352602,11.643652,0.998183,-0.042158,69.928008,NORMAL,0.277066,10.995387
S00195,L0009,T02,195,27.520491,0.416913,43.548572,789.575983,105.43851,12.250612,0.698496,-0.02788,71.170793,NORMAL,0.204264,10.959689
S00419,L0020,T01,419,29.237631,0.265127,43.369402,859.291171,104.099404,12.377747,0.835476,-0.044321,73.324317,NORMAL,0.23526,9.62247
S00667,L0033,T01,667,27.124399,0.519343,45.160186,835.844578,103.48788,11.970843,1.026906,-0.029436,71.079433,NORMAL,0.269954,6.547765
S00518,L0025,T02,518,28.870873,0.461007,44.325211,771.811081,103.784494,11.508312,0.705021,-0.046046,65.310274,NORMAL,0.279268,10.48724
S00061,L0003,T01,61,28.55278,0.195827,45.80327,4254.630645,106.711172,12.084849,0.824611,-0.039846,,NORMAL,0.160064,4.659541
S00578,L0028,T04,578,26.71672,0.543241,46.560263,854.455295,102.119168,12.987957,0.893951,-0.037368,70.967387,NORMAL,0.3096,7.002174
S00385,L0019,T02,385,28.532288,0.547112,46.63429,804.674728,100.258193,12.765576,0.411634,-0.028585,71.310106,NORMAL,0.201706,6.754619
S00383,L0019,T01,383,28.24228,0.349047,41.045088,837.772415,109.114495,12.223341,1.424604,-0.032348,78.723663,NORMAL,0.299958,10.5395
S00736,L0036,T01,736,30.180508,0.194249,42.350466,767.305471,102.438386,12.226666,0.644567,-0.042148,71.75884,NORMAL,0.289324,10.240759
S00746,L0037,T01,746,27.662449,0.241831,44.167329,858.158534,104.403518,11.576175,0.841939,-0.044469,78.907024,NORMAL,0.183216,3.688585
S00464,L0023,T01,464,27.6287,0.185477,43.397427,828.225105,104.857868,11.799914,0.606322,-0.025548,69.032779,NORMAL,0.085497,3.826671
S00000,L0000,T02,0,29.192931,0.295747,43.480698,811.524637,107.358773,12.702141,0.860006,-0.0659,68.512459,NORMAL,0.169773,7.534983
S00270,L0013,T01,270,26.789455,0.505324,44.116611,848.511221,106.372993,11.069941,0.9756,-0.057908,74.897894,NORMAL,0.302036,8.464793
S00468,L0023,T01,468,26.862159,0.567553,45.134009,830.05031,105.351798,11.033644,0.801678,-0.031219,76.940288,NORMAL,0.224326,7.487572
S00788,L0039,T01,788,27.940605,0.28654,42.209645,833.194527,98.35757,12.337196,1.142694,-0.032682,75.026813,NORMAL,0.193265,4.244103
S00157,L0007,T03,157,28.722138,0.170798,46.45404,805.994239,106.987497,11.336121,0.871712,-0.039733,73.072298,NORMAL,0.131749,5.455072
S00161,L0008,T03,161,27.176644,0.391236,42.366544,815.140205,108.095492,11.093502,1.025369,-0.019838,73.033403,NORMAL,0.207469,11.347155
S00107,L0005,T04,107,27.37017,0.511746,43.025747,818.679781,100.957209,11.171263,0.529044,-0.04291,69.682348,NORMAL,0.162729,13.705664
S00537,L0026,T01,537,27.582897,0.394695,43.101686,840.024276,99.497814,11.09422,0.654331,-0.046476,67.895465,NORMAL,0.16959,6.031217
S00790,L0039,T01,790,27.193655,0.359574,316.863549,809.128877,102.739714,10.241853,0.938643,-0.040301,72.827248,NORMAL,0.192049,9.239164
S00554,L0027,T04,554,28.32812,0.029686,44.454516,825.638233,103.934081,11.657101,0.8952,-0.046408,70.228173,NORMAL,0.061723,3.749205
S00334,L0016,T01,334,27.52468,0.51138,44.560743,792.324726,105.139092,12.037205,0.597307,-0.036102,73.4677,NORMAL,0.220799,9.401894
S00152,L0007,T04,152,28.579489,0.31143,43.370234,847.468089,107.153031,12.209368,1.022752,-0.014368,68.749971,NORMAL,0.23119,6.443616
S00795,L0039,T01,795,27.180627,0.338103,41.316522,851.733177,107.359521,11.763016,1.523156,-0.049681,71.677813,NORMAL,0.385616,15.322352
S00705,L0035,T02,705,30.687726,0.351113,47.971561,830.007721,103.407765,12.934655,0.923986,-0.045098,74.514744,DRIFT,0.27818,13.106309
S00731,L0036,T02,731,28.965431,,46.411096,820.093929,107.003696,11.956663,0.814277,-0.038357,75.446642,NORMAL,0.132641,10.152115
S00626,L0031,T01,626,34.701769,1.024519,49.686632,785.204498,95.355994,11.653642,0.906885,-0.058112,77.014906,DRIFT,0.704928,23.249805
S00165,L0008,T03,165,27.008227,0.479959,42.834081,817.060022,105.049625,13.106218,0.95346,-0.042715,77.310674,NORMAL,0.215293,4.180249
S00231,L0011,T03,231,27.908049,0.483536,45.59662,822.76009,103.400204,10.340504,0.807281,-0.031424,70.557157,NORMAL,0.134202,5.310722
S00151,L0007,T02,151,28.099297,0.226376,41.450984,800.634369,105.082529,11.572258,1.040068,-0.03431,76.108954,NORMAL,0.16999,7.811908
S00190,L0009,T02,190,29.244478,0.041102,46.560935,878.532376,102.524212,11.822902,0.947533,-0.028135,74.038591,NORMAL,0.255713,9.463688
S00718,L0035,T01,718,29.814086,0.453942,45.288666,839.518708,102.978655,12.961154,0.864049,-0.042128,71.02087,NORMAL,0.268999,5.485746
S00212,L0010,T02,212,29.452941,0.48613,44.721832,799.092828,110.016561,11.255706,0.863172,-0.034165,78.590173,NORMAL,0.26224,11.104636
S00160,L0008,T01,160,28.537845,0.383298,44.97707,829.455723,105.655393,11.578477,1.032365,-0.041582,,NORMAL,0.204447,9.191399
S00085,L0004,T01,85,32.888541,5.47938,46.493228,821.775563,95.845651,12.569485,0.767709,-0.043039,76.223534,LEAK,0.522835,18.14787
S00513,L0025,T01,513,28.708881,0.422977,46.611003,817.071866,110.129421,11.446454,0.96716,-0.049928,76.621567,NORMAL,0.190299,7.539535
S00011,L0000,T03,11,,0.247935,43.831571,798.099607,99.959883,11.308428,0.422567,-0.039334,73.842133,NORMAL,0.202209,6.965392
S00780,L0039,T03,780,29.867371,0.174126,48.538444,852.0067,103.875998,12.72754,0.59098,-0.049048,73.343577,DRIFT,0.216917,5.923592
S00030,L0001,T01,30,33.774911,,41.561294,795.863234,92.489995,12.036596,1.378397,-0.042503,64.989938,LEAK,0.790825,22.324332
S00405,L0020,T02,405,28.638863,0.322571,44.646428,804.117614,104.090546,12.640597,0.482469,-0.04444,66.771704,NORMAL,0.152292,8.110011
S00411,L0020,T03,411,26.642806,0.426882,46.860923,830.787755,105.346062,12.640897,0.928989,-0.026777,70.013682,NORMAL,0.233797,7.13278
S00716,L0035,T01,716,30.597357,0.400136,48.404671,752.855296,104.90489,13.60531,0.734579,,68.790467,DRIFT,0.397764,14.045915
S00433,L0021,T01,433,26.327658,0.498384,45.042263,834.724099,105.539463,12.227916,0.585501,-0.029293,72.738968,NORMAL,0.245023,5.469784
S00228,L0011,T02,228,29.143528,0.528135,46.401744,786.131165,102.480978,11.02127,0.659274,-0.050373,74.493154,NORMAL,0.273882,11.001082
S00038,L0001,T02,38,28.271402,0.355261,41.963444,801.747008,101.196294,11.88706,1.0329,-0.034522,71.399967,NORMAL,0.206243,7.387281
S00748,L0037,T01,748,29.000028,0.367653,47.294125,793.018948,105.384216,12.645663,1.134016,-0.03682,73.729417,DRIFT,0.292871,9.518902
S00399,L0019,T02,399,27.822284,0.504678,43.666417,847.543595,107.591832,13.022415,0.926805,-0.055618,67.747162,NORMAL,0.235616,10.176715
S00111,L0005,T02,111,27.888534,0.107382,44.449089,796.491241,103.057025,11.808514,0.755592,-0.029066,71.817106,NORMAL,0.091191,2.412595
S00743,L0037,T02,743,27.209627,0.580515,41.592051,816.098058,104.329698,10.974995,0.552407,-0.04864,73.225615,NORMAL,0.194402,7.298396
S00260,L0013,T03,260,33.576893,1.089692,48.852514,809.374274,97.639951,13.293055,1.528929,-0.19182,75.023674,LEAK,0.760064,22.815196
S00583,L0029,T01,583,28.809636,0.326679,44.11947,757.700161,101.136701,12.705479,0.890391,-0.019083,69.605682,NORMAL,0.300499,7.097206
S00490,L0024,T03,490,26.557832,0.269874,44.704775,807.470429,107.190951,12.217909,0.676573,-0.039412,77.386687,NORMAL,0.170901,4.864884
S00304,L0015,T01,304,30.560329,0.335085,46.254528,810.368883,108.384572,10.651583,0.856126,-0.05795,70.4436,NORMAL,0.249897,5.834838
S00478,L0023,T03,478,27.907806,0.293285,45.770475,802.019791,104.954666,11.479425,0.71639,-0.017978,71.642238,NORMAL,0.122881,1.502156
S00156,L0007,T01,156,29.231882,0.233865,41.76587,819.451818,105.305633,10.771207,0.871139,-0.047536,72.951946,NORMAL,0.139215,4.898689
S00482,L0024,T02,482,26.007045,0.387281,43.075093,789.835703,99.915344,12.086909,0.941356,-0.044445,67.576546,NORMAL,0.307218,10.921649
S00707,L0035,T01,707,28.03842,,45.163525,848.987765,107.119597,11.082429,0.816265,-0.038394,69.417197,NORMAL,0.167827,3.32449
S00453,L0022,T03,453,27.081119,0.156456,44.23025,838.075814,110.456487,10.861111,1.083359,-0.027955,66.948438,NORMAL,0.201087,10.797797
S00726,L0036,T01,726,31.712624,0.398645,45.251946,802.665022,103.805219,10.729519,1.001771,-0.0474,74.834692,DRIFT,0.379073,18.896771
S00485,L0024,T01,485,30.138731,0.396321,43.042546,843.861899,104.539214,11.525196,0.814645,-0.04445,73.274003,NORMAL,0.269333,6.4068
S00607,L0030,T02,607,28.695868,0.500578,42.697326,795.228826,106.551859,12.233128,0.684392,-0.036552,75.101282,NORMAL,0.221866,5.474692
S00697,L0034,T01,697,26.804647,0.233537,43.314957,840.395756,107.461032,12.477476,0.481292,-0.027744,74.772119,NORMAL,0.169141,7.536534
S00264,L0013,T01,264,27.715258,0.413158,45.160232,794.964455,106.380016,12.52175,0.856895,-0.042202,70.090894,NORMAL,0.194339,4.438498
S00370,L0018,T03,370,27.979006,0.254024,42.73919,778.126658,102.493846,12.339865,0.252961,-0.044766,70.652559,NORMAL,0.169239,8.29195
S00523,L0026,T01,523,27.675508,0.52576,44.080425,854.194736,107.921355,11.501964,0.866258,-0.042963,63.877735,NORMAL,0.249716,10.535318
S00026,L0001,T04,26,28.490463,0.304449,42.641993,821.999518,110.067292,11.876274,1.334883,-0.052699,67.715627,NORMAL,0.239355,10.865426
S00039,L0001,T01,39,27.458645,0.115991,41.793705,813.685434,104.990738,12.428121,0.639701,-0.041047,72.650246,NORMAL,0.071852,6.379058
S00027,L0001,T03,27,27.403602,0.197224,43.757013,826.334146,103.068299,13.682326,0.745535,-0.050974,71.714715,NORMAL,0.094961,1.201128
S00035,L0001,T01,35,28.495484,0.368621,43.859025,834.133616,106.819682,12.843575,0.747538,,69.588644,NORMAL,0.152263,4.041944
S00632,L0031,T02,632,30.524113,0.511873,48.787632,838.201518,106.395213,12.29378,0.82897,-0.035854,73.670534,DRIFT,0.30692,11.062801
S00122,L0006,T01,122,28.798047,0.358546,45.26319,815.913589,107.174794,11.208493,0.874746,-0.041184,68.510876,NORMAL,0.158441,8.473566
S00712,L0035,T01,712,30.076938,0.366795,47.236896,807.103698,110.990193,10.048581,1.027548,-0.054557,73.087824,DRIFT,0.284673,7.534642
S00436,L0021,T02,436,28.253734,0.260177,,799.151934,101.352202,10.51096,1.02663,-0.046422,80.503966,NORMAL,0.186509,2.029147
S00372,L0018,T01,372,29.150531,0.372735,44.595958,788.654501,106.964441,11.265947,0.8651,-0.054901,75.6403,NORMAL,0.245349,9.807977
S00496,L0024,T01,496,27.83619,0.184711,42.51061,790.180658,110.932094,12.912129,0.961957,-0.035882,69.956809,NORMAL,0.169406,3.841075
S00783,L0039,T01,783,28.6985,0.357272,47.400542,796.185139,104.395479,13.804758,0.954466,-0.049567,72.443463,DRIFT,0.222397,7.911583
S00400,L0020,T01,400,35.661503,1.099319,45.765867,816.188088,95.466334,12.077902,0.525613,-0.025698,74.5524,LEAK,0.667435,23.901816
S00308,L0015,T03,308,26.31992,0.350476,44.01765,842.261476,110.876266,13.449042,1.190206,-0.052101,71.509257,NORMAL,0.324828,13.757227
S00077,L0003,T01,77,28.577808,0.502319,44.299654,806.292161,99.048339,11.753117,0.895466,-0.032588,76.943736,NORMAL,0.212606,10.013523
S00454,L0022,T01,454,26.731238,0.316933,45.525623,816.631442,101.812459,10.716634,0.98944,-0.060152,77.574077,NORMAL,0.198453,8.692798
S00120,L0006,T01,120,28.822282,0.322507,45.29745,780.222713,110.358176,11.578003,0.920856,-0.042242,71.733151,NORMAL,0.251398,7.597045
S00266,L0013,T01,266,28.396303,0.430627,41.332045,841.832433,110.735024,13.297102,0.740401,-0.048252,69.964324,NORMAL,0.182053,6.908864
S00203,L0010,T03,203,26.65896,0.40073,43.631212,855.878717,104.971424,11.911449,0.837641,-0.055639,74.393544,NORMAL,0.266342,8.126773
S00792,L0039,T03,792,28.324653,0.345395,42.555463,779.448965,106.424592,11.063444,1.072536,-0.026994,74.098939,NORMAL,0.272093,13.098106
S00484,L0024,T01,484,28.624021,0.32752,44.497015,853.724066,107.767803,11.513983,0.754708,-0.052264,64.351025,NORMAL,0.197391,5.289679
S00514,L0025,T01,514,27.733089,0.396301,44.064042,759.067136,104.856751,11.315506,0.987684,-0.04014,70.628763,NORMAL,0.311674,9.367192
S00095,L0004,T01,95,28.043642,0.179462,44.331465,838.793958,103.938332,11.032327,0.601908,-0.043826,72.938539,NORMAL,0.094033,4.599517
S00273,L0013,T01,273,27.711601,0.34761,43.776256,845.87464,104.398111,11.076887,0.530347,-0.047264,73.786419,NORMAL,0.166009,2.990255
S00688,L0034,T01,688,27.507318,0.552187,45.274534,827.315023,105.383015,12.510033,0.789375,-0.048186,72.836761,NORMAL,0.180968,7.748501
S00206,L0010,T04,206,27.110444,0.430367,43.939499,796.743615,104.932831,11.677315,0.694138,-0.03729,71.651416,NORMAL,0.21021,10.535949
S00044,L0002,T03,44,28.478365,0.327355,44.794253,857.353292,100.462354,11.302174,0.924929,-0.02921,74.680315,NORMAL,0.230372,7.465157
S00348,L0017,T01,348,27.51624,0.347223,42.627705,786.157272,106.652351,11.532441,1.132842,-0.047341,71.992519,NORMAL,0.278811,11.839393
S00592,L0029,T02,592,28.784357,0.5254,43.98038,812.788641,102.403709,10.737838,0.624292,-0.039649,71.811146,NORMAL,0.188596,7.912494
S00320,L0016,T01,320,28.446073,0.418505,43.251085,833.136409,102.063165,10.552109,1.32819,-0.037028,65.403024,NORMAL,0.291818,9.291734
S00002,L0000,T01,2,27.019889,0.508489,41.556185,846.888848,104.697645,11.738621,0.608291,-0.04147,71.580306,NORMAL,0.24335,8.783529
S00732,L0036,T02,732,29.718661,0.409304,46.986477,786.831259,104.039354,11.112004,0.814731,-0.043474,69.720293,DRIFT,0.274864,11.187394
S00659,L0032,T02,659,32.074441,1.091981,42.532952,836.099922,90.860632,11.790322,0.651623,-0.043674,66.067966,LEAK,0.516967,13.137407
S00049,L0002,T01,49,26.940728,0.401426,42.949205,857.71454,103.127414,10.687158,0.820898,-0.039553,70.570544,NORMAL,0.252831,9.078225
S00739,L0036,T01,739,28.245297,0.221131,44.53728,833.98731,109.624398,10.768264,1.161176,-0.032301,70.537006,NORMAL,0.19281,6.685276
S00192,L0009,T01,192,27.448024,0.157898,43.364887,803.984909,105.203131,11.29153,0.601671,-0.049803,70.540901,NORMAL,0.107111,7.692818
S00366,L0018,T01,366,27.22475,0.416826,44.341902,843.728563,106.53125,12.961418,0.979717,-0.032416,62.960973,NORMAL,0.24722,9.181645
S00230,L0011,T01,230,28.628755,0.266116,43.32953,821.597852,105.645117,12.301382,0.72622,-0.047892,67.485796,NORMAL,0.101961,12.608619
S00019,L0000,T04,19,28.252397,0.391441,43.267488,831.022917,103.966172,14.05659,0.785761,-0.042136,76.529469,NORMAL,0.138037,5.671186
S00722,L0036,T01,722,27.050628,0.405381,42.124888,857.322758,103.213706,12.336653,1.016185,-0.031214,71.668551,NORMAL,0.296167,10.099488
S00556,L0027,T04,556,29.395955,0.320065,45.318364,842.881722,104.92046,9.952479,0.932273,-0.060511,64.127067,NORMAL,0.240087,10.749819
S00598,L0029,T01,598,27.126337,0.311183,46.084294,841.947766,108.586502,11.058801,0.648026,-0.044765,75.050964,NORMAL,0.176348,7.672381
S00280,L0014,T01,280,27.465214,0.365757,43.588242,828.006872,102.110524,11.758634,0.814376,-0.030076,69.822578,NORMAL,0.14179,9.645953
S00473,L0023,T01,473,27.914492,0.386457,41.48041,832.119475,107.804818,12.639344,0.744988,-0.039054,70.990289,NORMAL,0.131188,8.840046
S00568,L0028,T03,568,28.293701,0.371919,44.447177,795.308668,102.431184,10.706992,0.762029,-0.035717,68.278578,NORMAL,0.169393,8.304206
S00199,L0009,T02,199,,0.28781,42.666652,789.278057,102.742803,12.04757,0.693837,-0.060152,69.864265,NORMAL,0.159311,2.328987
S00672,L0033,T01,672,28.767861,0.13119,44.062432,816.905341,104.172585,11.105526,0.536517,-0.063274,72.668032,NORMAL,0.078927,8.620506
S00703,L0035,T02,703,30.010983,0.384169,43.932299,828.371162,106.216468,12.131504,0.853316,-0.055984,76.369137,NORMAL,0.230848,5.366313
S00609,L0030,T03,609,27.086018,3.03186,46.510803,815.376993,108.778185,11.537252,0.899118,-0.040163,74.438077,NORMAL,0.157833,9.191464
S00259,L0012,T04,259,28.139076,0.308129,44.759647,769.344328,107.115728,11.707445,0.568318,-0.041864,64.220848,NORMAL,0.210625,13.015725
S00123,L0006,T02,123,28.961589,0.142725,47.069111,852.044385,101.553013,10.927219,0.951346,-0.037468,73.201583,NORMAL,0.201708,7.511116
S00367,L0018,T01,367,28.464216,0.302865,40.072907,842.267501,104.40748,12.517977,0.648184,-0.047304,70.106125,NORMAL,0.154596,13.084655
S00462,L0023,T01,462,29.609779,0.497362,40.941189,792.3529,,11.775614,0.977798,-0.030425,67.423283,NORMAL,0.318397,6.864347
S00029,L0001,T04,29,27.683983,0.519481,43.288828,830.649331,105.81569,13.137271,0.884823,-0.043189,73.825595,NORMAL,0.1935,5.423956
S00361,L0018,T02,361,26.742264,0.554896,45.76295,760.854952,106.943602,13.07379,0.747073,-0.045589,74.317974,NORMAL,0.349473,10.095398
S00693,L0034,T02,693,32.357454,0.363271,45.48566,821.012573,106.077471,13.188924,0.697988,-0.03431,73.410421,DRIFT,0.311222,10.769835
S00494,L0024,T01,494,29.016798,0.479313,41.930358,827.372631,101.21623,13.279626,1.111901,-0.035688,68.776987,NORMAL,0.267075,7.370249
S00103,L0005,T02,103,25.701378,0.429472,44.033254,796.731284,106.62968,11.343593,0.501402,-0.054873,80.540545,NORMAL,0.280471,6.312868
S00648,L0032,T01,648,28.961112,0.350165,46.782631,836.02936,101.846574,13.242005,1.323195,-0.041423,73.784784,DRIFT,0.306469,12.507036
S00335,L0016,T02,335,26.308733,0.490722,42.676825,863.851118,101.598847,11.997076,0.765416,-0.041536,70.370362,NORMAL,0.316872,5.864357
S00341,L0017,T01,341,27.621533,0.137794,47.768707,797.143599,102.602084,11.690101,0.993632,-0.029298,71.820275,NORMAL,0.158921,5.619382
S00699,L0034,T03,699,,0.164088,44.252361,,110.38206,13.244239,0.74562,-0.048848,70.90119,NORMAL,0.064824,1.293349
S00208,L0010,T01,208,28.724952,0.35421,39.69856,823.243822,110.103614,11.402043,0.214698,-0.045156,73.836003,NORMAL,0.13291,7.370696
S00113,L0005,T01,113,27.455965,0.455358,46.189722,840.236839,100.726326,11.976835,0.582265,-0.058325,70.644733,NORMAL,0.191633,5.977476
S00564,L0028,T01,564,29.958494,0.181988,43.360997,819.530258,102.086451,11.926023,0.945181,-0.040276,70.584782,NORMAL,0.180891,5.992089
S00333,L0016,T04,333,28.5031,0.178042,41.998624,839.171224,103.828663,13.101671,0.764043,-0.037762,70.729373,NORMAL,0.117594,6.328936
S00398,L0019,T02,398,32.802785,0.859831,47.741908,845.345817,96.943563,10.75066,0.895562,-0.056377,74.171353,LEAK,0.542352,18.8324
S00389,L0019,T02,389,,0.155089,42.860243,823.447536,110.987091,11.037741,0.891309,-0.04034,68.186463,NORMAL,0.08478,4.219589
S00546,L0027,T01,546,27.81965,0.175271,44.28998,783.982144,106.360999,12.000839,1.163804,-0.02166,76.328288,NORMAL,0.233831,5.324566
S00765,L0038,T01,765,25.712223,0.373986,42.903944,790.871243,104.810224,10.987273,0.625434,-0.037288,73.372116,NORMAL,0.280707,4.50492
S00544,L0027,T01,544,26.47022,0.227968,42.529064,812.233673,102.19074,10.683153,0.716001,-0.050397,72.180555,NORMAL,0.152897,2.97047
S00017,L0000,T04,17,28.475654,0.370965,42.989505,873.258799,107.694775,12.357631,0.646875,-0.033592,68.764344,NORMAL,0.249671,8.742243
S00326,L0016,T01,326,27.893804,0.277751,44.917446,804.308894,107.798392,10.468091,0.753789,-0.037129,74.53171,NORMAL,0.113975,4.325737
S00558,L0027,T04,558,27.344222,0.217376,47.502596,798.625825,103.237856,13.115008,0.966166,-0.040479,74.834971,NORMAL,0.18211,9.169789
S00255,L0012,T01,255,28.046427,0.287302,44.921931,851.490542,103.644238,13.228772,0.506423,-0.042637,69.601611,NORMAL,0.152873,7.808696
S00130,L0006,T03,130,28.020498,0.541936,45.28119,766.259071,103.488527,10.910239,0.613905,-0.03977,72.605866,NORMAL,0.270861,8.00633
S00424,L0021,T01,424,27.191188,0.52475,45.011925,770.229866,107.802215,11.278263,0.524546,-0.032437,72.627163,NORMAL,0.296053,10.522018
S00772,L0038,T02,772,28.594445,0.465294,46.493078,825.729224,103.154471,12.184718,0.471797,-0.039425,70.657874,DRIFT,0.160369,7.374049
S00724,L0036,T01,724,28.897263,0.373188,42.169392,795.138974,109.001001,11.297134,0.523519,,71.927484,NORMAL,0.200313,11.93708
S00525,L0026,T01,525,27.377364,0.210114,45.189523,809.389299,102.5148,10.478605,0.882729,-0.019631,76.638023,NORMAL,0.130869,5.527927
S00328,L0016,T03,328,27.003267,0.36175,45.117019,845.316899,103.521875,13.302564,0.550686,-0.027654,70.597817,NORMAL,0.203566,8.544317
S00112,L0005,T01,112,26.162065,,43.188141,832.067185,104.457264,12.841863,0.860315,-0.054255,72.302875,NORMAL,0.210056,8.634263
S00033,L0001,T01,33,28.341045,0.382517,42.99919,804.699788,108.665274,12.073715,1.185619,-0.031628,70.144087,NORMAL,0.247337,12.566736
S00396,L0019,T01,396,27.63725,0.510247,45.762681,824.918023,105.418716,11.536907,0.369894,-0.034447,73.153865,NORMAL,0.157994,5.238845
