sample_id,lot_id,tool_id,sequence,gate_cd_nm,eot_nm,channel_dose_proxy,anneal_temp_c,contact_resistance_proxy,vth_v,ion_proxy,ioff_proxy,retention_risk,spec_yield_pct
S00060,L0003,T04,60,39.235342,1.097978,1.053655,908.878472,75.340951,0.569913,1.345812,0.00053,0.025318,97.830336
S00249,L0012,T01,249,42.266314,1.112437,1.039627,913.926938,103.19003,0.523125,1.083394,0.000846,0.030874,96.732012
S00107,L0005,T02,107,40.612761,1.084927,0.917208,906.190064,80.676114,0.447561,1.164246,0.001146,0.029514,97.239277
S00356,L0017,T01,356,44.040216,1.220851,1.060743,912.414091,87.687228,0.589257,1.096684,0.000721,0.028883,97.053126
S00796,L0039,T03,796,40.935252,1.14572,0.928186,926.650591,63.924072,0.490818,1.281359,0.000861,0.021973,99.537752
S00758,L0037,T01,758,44.681679,1.173412,0.934891,908.873243,74.244118,0.565277,1.140101,0.000749,0.024529,98.325197
S00139,L0006,T01,139,43.81823,1.284296,0.817761,960.004941,76.6986,0.554996,1.281411,0.000744,0.022865,98.775086
S00368,L0018,T01,368,43.175816,1.082295,1.070041,930.012963,83.015025,0.532936,1.162814,0.000783,0.019657,97.8919
S00221,L0011,T04,221,42.373461,1.252088,0.993371,918.421579,72.813568,0.594552,1.210769,0.000845,0.029941,97.164325
S00070,L0003,T02,70,40.796065,1.1527,1.00318,912.532934,69.125291,0.500307,1.192204,0.000753,0.02059,98.356188
S00672,L0033,T01,672,41.026497,1.131386,0.91419,942.033269,90.279336,0.455244,1.260367,0.001709,0.030268,97.938872
S00695,L0034,T02,695,42.08509,1.111872,1.080684,885.139277,86.300953,0.574961,1.151333,0.0007,0.026204,98.856247
S00743,L0037,T01,743,42.386665,1.125796,0.977454,934.638991,73.845009,0.50797,1.24145,0.000611,0.019536,97.233372
S00583,L0029,T02,583,39.354576,1.179235,0.95278,906.414739,85.182422,0.49999,1.104011,0.000743,0.020635,98.179837
S00349,L0017,T01,349,38.624597,1.001998,0.996055,917.971528,79.232554,0.478826,1.32344,0.000839,0.023851,98.277286
S00084,L0004,T01,84,42.661878,1.104934,1.093964,956.529783,81.058923,0.539252,1.286513,0.001062,0.020528,97.605873
S00795,L0039,T02,795,44.173458,1.066203,0.983256,917.650707,86.705609,0.51471,1.172066,0.001154,0.018652,99.089573
S00552,L0027,T01,552,40.455667,1.182627,1.009639,901.750695,89.845201,0.504108,1.162384,0.000721,0.02137,97.626739
S00591,L0029,T02,591,44.308642,1.102037,0.997684,941.521098,73.549562,0.570174,1.191542,0.000794,0.025363,95.835399
S00754,L0037,T01,754,44.401692,1.254571,0.98462,907.457537,92.652383,0.58391,1.082057,0.000834,0.032616,96.448693
S00668,L0033,T01,668,43.254371,1.200562,0.798113,923.93399,76.572774,0.506379,1.190051,0.000931,0.01975,97.171147
S00121,L0006,T01,121,43.125193,1.150146,1.118813,913.416273,90.79527,0.614042,1.205653,0.000443,0.037548,95.600198
S00407,L0020,T01,407,41.280183,1.05362,0.869724,910.106892,81.433698,0.439147,1.211315,0.001349,0.031249,97.595117
S00078,L0003,T01,78,46.130425,1.204342,1.007404,910.63359,91.11074,0.592674,1.009128,0.000852,0.03285,96.806906
S00744,L0037,T01,744,40.963437,1.054325,,918.574606,70.185504,0.479685,1.296547,0.00159,0.023712,97.699793
S00670,L0033,T03,670,44.032497,1.202577,1.064679,907.759503,72.029436,0.610372,1.120197,0.000657,0.03333,97.482336
S00644,L0032,T01,644,42.158984,1.223953,1.063035,934.080462,81.66253,0.550646,1.233325,0.000755,0.022194,96.44313
S00481,L0024,T01,481,44.41186,1.127773,1.013178,911.277553,96.023946,0.55174,1.074584,0.00059,0.029398,97.98249
S00534,L0026,T01,534,43.187498,1.357875,0.974716,909.237043,66.719335,0.597717,1.198555,0.001,0.030591,97.061701
S00324,L0016,T03,324,42.742091,1.195922,0.958295,951.503669,97.334901,0.496149,1.149872,0.00116,0.029133,97.793586
S00000,L0000,T01,0,38.810769,1.111025,0.984937,916.674205,85.472614,0.4494,1.282996,0.001332,0.029148,95.593702
S00462,L0023,T01,462,38.540196,1.214407,0.983069,948.450584,7.438329,0.453322,1.382987,0.001661,0.028381,98.14893
S00762,L0038,T01,762,41.307285,1.053648,0.951308,919.732666,82.338763,0.482795,1.280822,0.001142,0.023213,97.979898
S00574,L0028,T01,574,42.797979,1.141327,0.860337,908.677956,82.724844,0.481097,1.162617,0.000596,0.023484,97.96936
S00739,L0036,T01,739,37.168101,,1.073398,926.08723,80.220765,0.476325,1.344759,0.001516,0.024262,97.23069
S00391,L0019,T04,391,47.780919,1.070701,1.069455,927.544975,90.312919,0.579894,1.005673,0.000579,0.029318,95.872599
S00320,L0016,T01,320,46.473545,1.203318,0.999051,906.881055,94.630601,0.617087,0.961624,0.000723,0.043592,96.791024
S00472,L0023,T02,472,45.320312,1.161806,1.044683,936.132357,80.079704,0.623922,1.115216,0.000819,0.036525,99.477533
S00052,L0002,T03,52,44.925056,1.103553,1.031874,922.27091,86.747315,0.506696,1.044433,0.001101,0.019707,98.017075
S00683,L0034,T01,683,38.715168,1.151814,1.006403,922.723985,87.133008,0.476786,1.29936,0.001145,0.024186,96.350416
S00210,L0010,T02,210,41.214987,1.15221,0.926887,934.440695,70.133451,0.520964,1.220432,0.001076,0.018106,98.317698
S00622,L0031,T01,622,42.455878,1.058907,0.988733,929.843038,88.658413,0.481665,1.150875,0.000762,0.023925,96.311452
S00341,L0017,T01,341,37.987714,1.119539,1.035844,910.225881,95.024068,0.47941,1.262257,0.001057,0.030177,96.882057
S00301,L0015,T01,301,46.23124,1.136357,0.971525,908.663191,79.074692,0.564437,1.050146,0.000925,0.024389,97.872135
S00459,L0022,T03,459,41.392711,1.149058,1.174567,930.90759,68.354812,0.520443,1.238644,0.000968,0.018041,97.267509
S00636,L0031,T01,636,39.903613,1.166468,1.058547,889.510287,100.320117,0.530945,1.166754,0.001258,0.029535,96.636408
S00621,L0031,T03,621,39.536722,1.209762,1.021134,924.056267,78.891906,0.448588,1.339583,0.001097,0.029309,96.479454
S00510,L0025,T01,510,42.10948,1.132516,1.011443,918.469896,73.364241,0.550928,1.10773,0.000828,0.022237,98.804601
S00399,L0019,T02,399,41.403936,1.095486,1.022894,914.56214,84.758736,0.510049,1.195826,0.000685,0.019259,97.93203
S00176,L0008,T04,176,41.123258,1.151303,1.097926,926.26488,79.883409,0.578672,1.168558,0.000677,0.026876,97.807906
S00396,L0019,T02,396,43.241758,1.115008,0.999623,917.652115,83.890635,0.520475,1.13398,0.000678,0.018045,94.596086
S00240,L0012,T01,240,43.478326,1.104269,0.974733,910.209494,73.333718,0.483482,1.175532,0.00151,0.023104,97.851383
S00248,L0012,T02,248,42.473064,1.312968,1.097936,911.653416,98.318348,0.646243,1.120631,0.000998,0.059796,96.270685
S00105,L0005,T01,105,37.036205,1.009019,1.067719,879.179142,74.35444,0.519489,1.320206,0.00101,0.018049,98.921687
S00687,L0034,T01,687,41.7353,1.105381,0.955721,911.540124,80.55288,0.513112,1.172605,0.000677,0.018858,98.634937
S00369,L0018,T01,369,42.559751,1.130649,0.849598,891.734435,90.129759,0.434926,1.110982,0.000988,0.034558,97.998263
S00602,L0030,T01,602,39.832455,1.099835,1.094253,927.592857,84.996179,0.535255,1.316149,0.000957,0.019973,97.697748
S00266,L0013,T01,266,44.140088,1.022787,0.989647,929.162113,86.784005,0.46884,1.155594,0.000749,0.025534,95.783753
S00169,L0008,T03,169,44.262408,1.088393,1.130412,939.067124,85.521979,0.546416,1.148815,0.000752,0.021561,98.027187
S00287,L0014,T01,287,40.883353,1.255439,1.032562,913.799101,68.719821,0.541013,1.33183,0.000812,0.020777,97.329188
S00001,L0000,T01,1,47.126047,1.157192,0.868286,894.825577,76.389197,0.545312,1.04117,0.000938,0.021398,97.840212
S00161,L0008,T03,161,42.278881,1.258511,0.981147,910.810203,79.900418,0.538759,1.139553,0.001048,0.020459,98.430682
S00674,L0033,T03,674,34.72415,1.089819,0.884035,931.338054,82.236218,0.39668,1.552215,0.001434,0.041616,96.309836
S00642,L0032,T01,642,44.024312,1.183719,0.918725,901.724718,92.833416,0.541449,1.01003,0.000843,0.024586,96.860594
S00484,L0024,T01,484,43.355854,1.073548,1.091087,918.481046,86.642544,0.550016,1.088071,0.000678,0.022099,98.086034
S00497,L0024,T02,497,41.689238,1.094275,1.084647,923.131975,84.125594,0.596283,1.16528,0.000818,0.030295,96.758848
S00708,L0035,T01,708,40.391161,1.158759,1.0158,914.895329,81.380896,0.508366,1.206237,0.000737,0.019483,96.049512
S00167,L0008,T01,167,41.133937,1.131868,0.971331,909.548256,78.734608,0.49407,1.2245,0.000917,0.021489,98.615793
S00058,L0002,T01,58,43.108553,1.125679,0.931731,939.439501,83.490208,0.535472,1.183281,0.001286,0.020002,97.343286
S00657,L0032,T01,657,42.267751,1.102006,1.051064,927.611614,84.662758,0.503769,1.043039,0.000914,0.020107,97.736128
S00297,L0014,T01,297,45.941658,1.191705,1.028071,940.466918,77.773857,0.624781,1.178125,0.000879,0.036737,95.34923
S00102,L0005,T04,102,40.133286,1.031088,1.00008,934.63946,91.794851,0.49995,1.244277,0.002296,0.023503,97.77639
S00460,L0023,T02,460,40.485676,1.152244,1.001738,919.372429,94.1197,0.498979,1.267907,0.001485,0.025614,96.698458
S00608,L0030,T02,608,43.181136,1.341621,0.933988,897.71913,93.026794,0.588549,1.028546,0.00103,0.034085,95.542621
S00482,L0024,T01,482,44.185398,1.117257,0.943381,904.396794,97.420905,0.533694,1.019757,0.000704,0.027268,97.375669
S00293,L0014,T02,293,36.895102,1.184653,1.07925,931.576244,80.55704,0.484829,1.359431,0.000839,0.022892,97.605907
S00150,L0007,T01,150,42.308645,1.149793,1.046438,934.007569,70.343307,0.575544,1.306551,0.000817,0.026309,98.70406
S00166,L0008,T01,166,43.271032,1.081123,1.072413,,70.930474,0.556803,1.197224,0.000573,0.023149,95.810139
S00760,L0038,T01,760,39.439623,1.210022,0.94728,935.472315,81.488686,0.465577,1.280971,0.000916,0.026109,97.088721
S00359,L0017,T02,359,40.993312,1.179106,0.985406,892.109366,65.052711,0.541092,1.289135,0.000993,0.020788,97.313266
S00554,L0027,T03,554,41.995123,1.253104,1.025958,935.047438,83.121286,0.516243,1.266734,0.000942,0.018457,99.8
S00417,L0020,T02,417,43.17568,1.222857,0.799934,936.506394,79.684821,0.549081,1.205604,0.000524,0.021958,97.323624
S00238,L0011,T01,238,40.149899,1.160594,1.210225,927.877961,92.13843,0.556749,1.144955,0.001612,0.026651,96.611439
S00544,L0027,T01,544,39.674782,1.036249,1.011,907.91706,96.546767,0.487301,1.143344,0.001011,0.03012,97.383348
S00671,L0033,T01,671,40.161186,1.057436,0.949968,933.927432,79.893798,0.48761,1.211493,0.000712,0.022461,99.013099
S00057,L0002,T02,57,43.270074,1.180674,0.945136,916.083504,97.657735,0.540251,1.038027,0.000663,0.028742,96.478229
S00066,L0003,T01,66,44.306246,1.133718,1.03381,933.906797,87.105744,0.562004,1.049054,0.000606,0.023987,98.559196
S00352,L0017,T01,352,39.636994,1.201397,1.019648,927.20793,64.737015,0.510165,1.29067,0.000648,0.019243,98.465034
S00284,L0014,T01,284,44.599354,1.241465,1.016397,894.369178,68.220053,0.611735,1.119145,0.000459,0.033639,97.219387
S00784,L0039,T03,784,43.396887,1.212898,0.955696,931.887882,103.221554,0.523763,1.135272,0.000804,0.031041,95.738319
S00097,L0004,T01,97,42.004502,1.144317,0.984225,920.146393,89.823174,0.539934,1.148029,0.00071,0.021953,95.546604
S00498,L0024,T03,498,42.105112,1.256545,1.09345,909.692712,81.282667,0.556984,1.123893,0.000485,0.023178,96.678039
S00421,L0021,T01,421,44.859864,1.077653,1.105699,926.08202,67.008532,0.568729,1.22171,0.000572,0.025114,97.294085
S00254,L0012,T01,254,40.724229,1.308296,0.987483,911.591911,103.070523,0.548734,1.161543,0.000883,0.036566,97.206172
S00262,L0013,T02,262,41.456117,1.075513,0.925519,952.477588,94.762536,0.494384,1.195229,0.001026,0.027014,97.301182
S00263,L0013,T01,263,40.992314,1.147889,0.985566,905.851014,84.013085,0.393256,1.1459,0.000943,0.02444,97.537383
S00489,L0024,T01,489,40.670175,1.074829,1.103501,918.30051,85.901811,0.551485,1.159871,0.001076,0.022322,97.756605
S00559,L0027,T02,559,36.511253,1.105846,1.028347,926.989657,70.569491,0.538996,1.471343,0.000916,0.020492,97.778875
S00561,L0028,T03,561,41.298996,1.200666,0.986331,905.56197,90.738925,0.515344,1.109229,0.000692,0.020401,97.780755
S00148,L0007,T01,148,42.635217,1.251689,1.101132,913.697196,86.609406,0.583906,1.128548,0.000678,0.027851,96.419899
S00505,L0025,T03,505,42.69056,1.189013,0.980754,948.401581,81.143948,0.518755,1.202305,0.000775,0.018141,98.721506
S00408,L0020,T04,408,44.832599,1.265676,0.955362,930.501101,83.061114,0.637037,1.113869,0.000699,0.039897,98.323692
S00792,L0039,T01,792,45.796214,1.099635,0.964316,919.69063,81.950214,0.506392,1.09832,0.000644,0.019748,98.395583
S00252,L0012,T04,252,,1.073123,1.026906,914.740939,90.811697,0.505322,1.107184,0.001583,0.021906,98.092103
S00685,L0034,T01,685,43.552373,1.232651,0.911966,915.877573,75.958483,0.520797,1.129258,0.000908,0.018085,99.8
S00222,L0011,T01,222,41.988493,1.204618,0.825712,925.293399,85.130673,0.472459,1.237714,0.000756,0.024911,95.677288
S00188,L0009,T03,188,40.311131,1.170038,0.999406,922.937634,84.49717,0.495186,1.283482,0.001097,0.021325,97.949253
S00452,L0022,T01,452,40.042172,1.193309,1.024422,922.079519,84.275713,0.490814,1.241567,0.001231,0.021974,97.058266
S00673,L0033,T02,673,42.602043,1.302218,1.140003,929.300541,86.166719,0.621046,1.182338,0.000488,0.035823,95.714813
S00394,L0019,T02,394,45.723358,1.084304,0.98159,925.573651,71.503563,0.533106,1.122394,0.000775,0.01968,96.791521
S00386,L0019,T01,386,41.472076,1.137056,0.982852,916.17911,84.429155,0.517495,1.236808,0.001122,0.018299,98.903838
S00485,L0024,T03,485,43.620708,1.003714,0.937058,904.223949,83.362569,0.446773,1.103205,0.001001,0.029673,98.047607
S00789,L0039,T01,789,43.091191,1.297939,0.850403,921.304906,86.032418,0.567274,1.163048,0.000558,0.024866,97.671692
S00362,L0018,T01,362,41.56388,1.148104,1.054065,898.72417,83.519626,0.522521,1.092438,0.000874,0.018301,99.011023
S00686,L0034,T01,686,40.603144,,0.951512,906.571854,85.500743,0.491974,1.203554,0.000839,0.0218,97.25413
S00638,L0031,T01,638,41.882394,1.233439,0.991153,893.263284,80.460837,0.527263,1.154301,0.000956,0.018907,98.78443
S00693,L0034,T01,693,45.399387,1.187442,1.083786,919.326676,74.391613,0.59079,1.11499,0.000598,0.029185,97.351751
S00280,L0014,T03,280,46.284054,1.176745,1.013681,899.134835,92.390867,0.599346,0.95183,0.000629,0.035885,96.480571
S00612,L0030,T01,612,43.216956,1.283601,0.962445,910.692078,64.858237,0.555439,1.159089,0.000912,0.022934,96.172022
S00171,L0008,T02,171,43.590534,1.189243,1.023282,932.812224,83.991846,0.581991,1.140377,0.00086,0.02749,96.603922
S00573,L0028,T04,573,40.141141,1.203982,0.997693,934.720807,72.484063,0.56496,1.398344,0.000758,0.024476,96.910079
S00273,L0013,T02,273,39.678577,1.06099,1.058372,928.049659,78.334654,0.548005,1.268034,0.000661,0.021797,98.956367
S00578,L0028,T04,578,35.407719,1.193149,1.102255,913.940637,68.094293,0.480389,1.45297,0.001563,0.023598,98.371343
S00611,L0030,T02,611,45.596943,1.192229,1.00528,896.140977,85.949945,0.623001,1.036824,0.000804,0.036299,95.595327
S00618,L0030,T01,618,43.025774,1.135858,0.965905,919.515621,66.040038,0.52272,1.22755,0.001217,0.018326,99.8
S00749,L0037,T01,749,41.460643,1.131048,1.145288,903.326796,84.388453,0.578862,1.235721,0.000753,0.02691,96.845635
S00557,L0027,T02,557,40.909055,1.221343,0.934975,918.457145,78.365505,0.508005,1.194581,0.000728,0.019531,98.556579
S00098,L0004,T02,98,45.555288,1.045005,0.897451,925.956682,82.592865,0.487122,1.09769,0.001062,0.022536,97.260857
S00729,L0036,T02,729,42.062515,1.243531,1.024008,925.369317,78.878948,0.579294,1.236922,0.00073,0.02699,97.549945
S00031,L0001,T01,31,44.459573,1.019832,,922.435467,80.92255,0.413153,1.131661,0.00086,0.037253,96.802897
S00339,L0016,T02,339,39.489246,1.086532,0.964156,923.121649,84.648696,0.499777,1.272496,0.001397,0.020665,97.65514
S00568,L0028,T02,568,39.705445,1.167958,0.832749,937.509928,,0.431568,1.361456,0.001776,0.032895,96.999335
S00062,L0003,T01,62,38.275732,1.175977,1.070749,921.459285,78.504841,0.486078,1.243194,0.001065,0.022697,98.891814
S00195,L0009,T01,195,43.55173,1.221998,0.989915,901.42963,82.629947,0.564488,1.169343,0.001183,0.024397,97.028003
S00008,L0000,T01,8,42.998657,1.06297,1.073012,924.855964,99.174305,0.524935,1.087905,0.000822,0.027269,96.466709
S00774,L0038,T01,774,38.816426,1.220457,0.896213,920.289583,81.897459,0.427567,1.272283,0.001549,0.033798,96.461035
S00649,L0032,T03,649,40.095135,1.131922,0.980988,941.096429,74.934519,0.463311,1.271769,0.000838,0.026515,97.511537
S00298,L0014,T02,298,39.162147,0.930541,,910.006061,71.862099,0.546784,1.313708,0.000481,0.021615,97.987777
S00680,L0034,T03,680,40.789139,1.035846,1.012356,896.671773,88.707334,0.49474,1.196111,0.000684,0.021915,99.082501
S00323,L0016,T02,323,38.104381,1.197331,0.877743,916.875743,90.402416,0.425042,1.269852,0.000909,0.037283,96.227615
S00782,L0039,T03,782,40.199402,1.150278,0.912871,913.300056,74.916266,0.446367,1.2626,0.00078,0.029754,96.662465
S00015,L0000,T01,15,43.532648,1.111432,1.041488,897.178394,89.33344,0.542894,1.033887,0.000894,0.02203,97.765109
S00565,L0028,T01,565,44.731026,1.053274,0.975634,920.811549,72.139808,0.488648,1.218761,0.000813,0.022302,99.125825
S00427,L0021,T02,427,43.176516,1.201613,1.082492,916.662504,,0.616553,1.128045,0.001015,0.034753,96.353967
S00334,L0016,T01,334,38.800875,1.18768,1.086587,926.852493,97.474999,0.503982,1.24372,0.000615,0.027753,97.28911
S00279,L0013,T03,279,40.455,1.225789,1.028555,928.772857,84.952312,0.478962,1.243048,0.001412,0.023829,96.521959
S00035,L0001,T03,35,42.481889,1.308313,0.998486,924.753851,91.732477,0.558953,1.195323,0.000749,0.026683,95.8456
S00659,L0032,T03,659,43.719264,1.092419,1.003438,917.917576,86.427415,0.484586,1.223128,0.001126,0.051934,97.291243
S00154,L0007,T01,154,39.943463,1.335914,1.092422,928.783597,94.89483,0.533363,1.286184,0.000781,0.024961,97.456005
S00750,L0037,T01,750,42.540224,1.222379,1.015361,917.802643,745.91532,0.532187,1.220511,0.000527,0.019557,97.445877
S00064,L0003,T01,64,41.782004,1.222909,0.937529,919.996189,78.665958,0.496419,1.1883,0.001066,0.021146,98.313214
S00412,L0020,T03,412,40.774433,1.172339,0.992663,923.333975,73.393164,0.503017,1.215757,0.00154,0.020211,96.42022
S00018,L0000,T01,18,42.529368,1.215153,0.884541,921.314799,74.541149,0.493817,1.229303,0.000874,0.021526,98.160891
S00309,L0015,T01,309,41.237724,1.145386,1.024746,890.396259,78.223177,0.490137,1.188544,0.000939,0.022076,96.917835
S00772,L0038,T03,772,43.448701,1.251367,1.057687,948.657534,69.929464,0.577449,1.164804,0.000889,0.026653,97.238284
S00156,L0007,T01,156,45.354677,1.11221,0.989398,899.285813,86.138441,0.521237,1.027359,0.000813,0.01814,98.791067
S00197,L0009,T01,197,40.997296,1.071216,0.969704,905.227753,90.966941,0.43486,1.153724,0.002042,0.035565,93.382575
S00028,L0001,T01,28,45.750366,1.033405,0.949013,902.390071,85.570604,0.45049,1.047707,0.001637,0.028932,98.133725
S00131,L0006,T01,131,44.367256,1.163071,1.001118,923.638479,75.678466,0.571854,1.155362,0.000669,0.025655,95.120945
S00071,L0003,T02,71,38.599194,1.305735,1.038817,911.6096,78.189244,0.511959,1.378476,0.00142,0.019008,97.965655
S00615,L0030,T01,615,44.971109,,0.812069,923.095654,84.190901,0.488424,1.083882,0.001125,0.022336,97.904351
S00512,L0025,T02,512,40.074195,1.134092,0.832289,927.486166,86.981201,0.458268,1.273973,0.001581,0.027441,95.751603
S00282,L0014,T01,282,43.791041,1.218523,0.979171,944.704506,87.419619,0.578623,1.179643,0.000511,0.026866,97.836972
S00295,L0014,T01,295,42.53702,1.251673,1.056993,923.294604,80.898596,0.589568,1.139459,0.001008,0.028944,96.55236
S00624,L0031,T02,624,39.737228,1.204704,0.930861,944.759599,84.790624,0.47764,1.280375,0.000754,0.024045,98.7683
S00605,L0030,T04,605,41.672502,1.292947,1.046616,926.110376,92.00564,0.604625,1.113116,0.00068,0.036706,95.875618
S00543,L0027,T01,543,44.576093,1.209848,1.01183,910.180263,73.705356,0.567754,1.172137,0.000476,0.024947,95.438945
S00500,L0025,T01,500,38.903706,1.119337,0.961739,910.97226,87.33567,0.470645,1.260556,0.000956,0.025221,96.299284
S00153,L0007,T02,153,41.085857,1.147997,1.048833,909.975934,83.862336,0.552612,1.201982,0.00055,0.022495,97.36023
S00501,L0025,T01,501,43.242929,1.081368,0.998932,901.628878,67.944327,0.489538,1.136411,0.001132,0.022166,98.096197
S00370,L0018,T03,370,43.862178,1.085674,1.055441,900.087992,82.089407,0.472864,1.076326,0.001397,0.024842,97.732886
S00269,L0013,T03,269,42.896832,1.278903,0.98055,921.028532,89.073349,0.541593,1.176632,0.000858,0.021641,96.687553
S00769,L0038,T01,769,44.588721,1.100736,0.987109,940.268041,78.856208,0.507024,1.187156,0.000867,0.019663,96.391099
S00586,L0029,T03,586,47.053092,1.200563,1.017858,923.817471,83.251409,0.613998,1.018542,0.000931,0.034158,98.303391
S00040,L0002,T04,40,37.963615,1.264248,1.04163,900.233957,88.070782,0.519232,1.244271,0.000774,0.018125,98.379798
S00194,L0009,T01,194,39.048961,1.2665,1.001518,927.906555,,0.447958,1.307199,0.001255,0.029435,96.06651
S00130,L0006,T01,130,45.906474,1.193107,0.917046,930.587284,81.606013,0.575836,1.066568,0.000915,0.026361,99.8
S00133,L0006,T01,133,41.865593,10.49718,0.928091,948.762461,73.723286,0.497054,1.279755,0.001074,0.021054,97.933527
S00798,L0039,T01,798,38.606568,1.28631,0.971462,906.414934,92.823635,0.427955,1.17534,0.001113,0.039663,94.843526
S00582,L0029,T02,582,40.83469,1.19068,1.018315,944.737845,87.314498,0.555718,1.204091,0.000799,0.022978,96.641485
S00575,L0028,T01,575,44.647371,1.23536,0.988997,885.302894,79.232889,0.597249,1.127597,0.000836,0.030494,96.697839
S00109,L0005,T01,109,44.492584,1.197596,1.049036,911.676648,71.113456,0.628854,1.224405,0.00058,0.03776,94.28111
S00404,L0020,T01,404,40.919267,1.099072,0.925202,945.977029,92.417112,0.44669,1.286122,0.001431,0.034482,95.868658
S00281,L0014,T01,281,41.169216,1.24248,0.949306,932.541388,90.865552,0.5179,1.211376,0.001358,0.020134,98.95429
S00652,L0032,T01,652,38.785071,1.222605,0.976669,921.53412,83.02806,0.432018,1.305207,0.000925,0.032795,96.86784
S00082,L0004,T04,82,44.113742,,1.119403,935.958454,74.787225,0.591168,1.113205,0.000587,0.02926,96.732596
S00631,L0031,T02,631,39.319132,1.226202,0.893233,906.090147,94.416862,0.461898,1.219046,0.000948,0.033288,96.55048
S00208,L0010,T01,208,45.792503,1.236228,0.994574,923.497453,90.700329,0.623993,1.042342,0.000932,0.04002,96.143628
S00276,L0013,T02,276,41.126107,1.106278,1.06704,921.12167,95.961574,0.557602,1.172742,0.000443,0.030527,97.046239
S00054,L0002,T04,54,44.141068,1.20894,1.00338,940.435054,72.572658,0.613329,1.232263,0.000707,0.034004,97.40949
S00518,L0025,T01,518,43.833852,0.955351,0.980884,906.571056,79.792029,0.434964,1.172055,0.001292,0.032147,96.699239
S00756,L0037,T02,756,39.429585,1.140546,0.998507,923.867025,85.329119,0.520707,1.215758,0.000762,0.018074,98.197832
S00728,L0036,T01,728,44.64233,1.080451,0.989361,890.930641,79.362203,0.512348,1.040433,0.000933,0.018957,99.8
S00785,L0039,T03,785,42.473155,1.08398,1.043266,925.285468,70.309977,0.495318,1.227582,0.00085,0.021306,97.556681
S00116,L0005,T02,116,41.150606,1.273725,0.982589,910.210482,92.284973,0.5652,1.157665,0.000824,0.02837,97.042862
S00136,L0006,T03,136,41.61234,1.014441,0.980077,922.190471,67.382917,0.472349,1.277416,0.001376,0.02493,97.744037
S00207,L0010,T02,207,42.929438,1.179206,0.963925,923.660498,84.709152,0.566599,1.139765,0.000767,0.024751,97.45195
S00335,L0016,T02,335,42.868513,1.179694,0.985964,925.064016,81.767805,0.54969,1.181575,0.000885,0.022049,98.704317
