sample_id,lot_id,tool_id,sequence,aspect_ratio,pattern_density,gas_ratio,rf_bias_w,pressure_mtorr,etch_time_s,etch_depth_nm,top_cd_nm,bottom_cd_nm,sidewall_angle_deg,bowing_nm
S00499,L0024,T01,499,50.604136,0.181821,0.547699,385.246917,20.944391,117.300604,2110.716467,72.112447,59.793465,89.685521,14.315952
S00195,L0009,T01,195,40.511756,0.83201,0.522184,301.499791,20.943819,151.405991,2051.826704,76.477547,69.001667,89.65228,5.332043
S00140,L0007,T03,140,51.946274,0.618051,0.699553,368.555272,18.170787,138.926231,2010.993288,74.185811,62.319842,89.4739,13.131714
S00097,L0004,T01,97,57.52965,0.619266,0.53171,312.366785,18.669853,127.418984,1868.806089,74.299691,65.472319,89.647887,7.128169
S00081,L0004,T01,81,42.448034,0.652099,0.589873,264.001549,19.640314,135.204827,1972.945999,74.324817,68.221227,89.681734,1.620992
S00268,L0013,T03,268,27.270928,0.597453,0.525026,267.323118,21.120887,149.787773,2073.453393,72.372402,67.826177,89.970844,2.378322
S00002,L0000,T01,2,63.657791,0.588105,0.646656,265.525654,17.388184,148.857783,1939.147885,76.577644,70.456675,89.81646,-2.1433
S00040,L0002,T01,40,32.670267,0.212045,0.697935,350.260472,17.242072,116.935127,2042.038011,74.155818,68.344935,90.047743,9.185401
S00693,L0034,T01,693,63.082632,0.395002,0.394822,355.50555,13.420683,148.124186,2094.396048,70.661314,57.973125,89.612623,13.066549
S00238,L0011,T02,238,54.794113,0.163006,0.677927,264.242908,16.950169,161.666319,2135.31414,74.455155,68.444029,89.920818,0.299192
S00477,L0023,T03,477,20.821402,0.755034,0.482765,338.101385,20.611856,137.020581,2169.669297,72.93797,68.330574,89.872779,6.645643
S00385,L0019,T01,385,,0.243575,0.579417,363.481109,,149.995888,2231.790378,75.869714,69.074881,89.747335,8.927992
S00791,L0039,T01,791,55.713306,0.21518,0.631176,322.441191,14.312044,134.506359,2000.395404,72.699389,64.617636,89.926396,7.020316
S00005,L0000,T01,5,56.431677,0.578475,0.653705,294.501225,16.328213,146.261137,2005.56311,74.119569,64.587228,89.609538,2.042822
S00781,L0039,T01,781,31.739702,0.748053,0.747023,213.152715,22.352999,166.33106,2107.916979,72.918651,71.214323,90.076282,-1.808879
S00014,L0000,T01,14,27.045412,0.433925,0.643083,323.311132,18.421707,120.260258,1974.403189,75.016621,67.512836,89.792073,6.722332
S00597,L0029,T03,597,36.904403,0.835245,0.472259,317.617531,15.5827,139.740001,2042.694326,74.471501,66.441481,89.989619,7.332018
S00630,L0031,T03,630,53.455863,0.443087,0.667714,293.768032,24.770595,154.534045,2041.092618,74.939854,68.079488,89.651544,3.657077
S00398,L0019,T01,398,62.706061,0.669613,0.458533,355.43738,23.259698,137.828465,2000.268319,74.758356,62.722983,89.824573,15.387757
S00006,L0000,T02,6,46.592641,0.825183,0.569202,290.657796,17.611072,162.377397,2124.891064,73.246457,66.178933,89.654471,3.0653
S00450,L0022,T01,450,48.655225,0.585288,0.669657,394.837098,17.138149,146.600705,2123.301042,72.584085,57.945486,89.569177,15.489058
S00478,L0023,T01,478,61.918371,0.283155,0.559699,317.998163,15.933732,147.789586,2024.766624,74.684996,67.687009,89.938528,5.510805
S00779,L0038,T02,779,19.244312,0.614355,0.644714,273.687415,20.92665,161.922734,2200.811284,75.001279,72.054766,90.34899,2.276763
S00519,L0025,T02,519,42.178909,0.41067,0.707947,312.223298,19.063985,145.071069,2079.69793,74.29127,68.959536,89.812232,3.934043
S00236,L0011,T01,236,48.256691,0.157544,0.735987,326.115284,21.479995,128.283399,1986.434886,76.238017,68.228511,89.516627,7.075314
S00074,L0003,T01,74,,0.155552,0.52704,396.04182,23.919296,150.773494,2223.948039,72.169241,59.900597,89.738677,16.747511
S00629,L0031,T01,629,57.489099,0.619924,0.629381,400.088847,17.340197,154.874907,2104.696774,73.319867,58.374255,89.703197,17.504028
S00059,L0002,T02,59,37.380924,0.809934,0.694568,335.41238,18.182956,161.203755,2137.024234,74.333257,69.055524,89.91421,7.131178
S00061,L0003,T01,61,52.166407,0.411254,0.370713,,19.277386,157.176052,2066.523967,76.337733,67.981755,89.598791,4.006155
S00713,L0035,T01,713,62.726165,0.450145,0.371356,350.966695,19.174406,143.377213,1996.088094,74.708612,59.419272,89.681864,10.829595
S00516,L0025,T03,516,32.475369,0.447216,0.557743,313.319006,21.050621,147.56116,2118.49121,70.722667,63.135394,89.758133,4.189625
S00496,L0024,T01,496,56.868617,0.730091,0.742192,331.447287,13.429772,135.885795,1866.90236,73.322138,61.177733,90.040748,9.254841
S00696,L0034,T02,696,64.262128,0.461238,0.469334,323.54086,16.405776,157.309108,2025.458076,73.513564,61.597211,89.4459,7.758202
S00540,L0027,T03,540,51.672766,0.16851,0.601994,309.333375,15.802709,117.147285,1954.655663,74.487704,68.300019,89.893557,5.024478
S00172,L0008,T01,172,42.514726,0.612213,0.626989,347.097128,18.549193,149.321718,2111.859485,74.821083,64.039033,89.560584,9.73241
S00179,L0008,T01,179,25.546482,0.382395,0.717213,339.346656,22.252222,151.120467,2265.659504,74.215874,70.16195,90.218112,5.423724
S00555,L0027,T01,555,40.099558,0.527548,0.721584,362.310874,18.399614,149.322671,2125.821635,73.597487,65.759333,89.766122,9.312691
S00632,L0031,T01,632,39.281543,0.484162,0.403156,323.596021,21.084394,134.020048,2051.630502,74.099004,66.314704,89.77567,6.84467
S00149,L0007,T03,149,35.162885,0.387747,0.441657,349.953833,17.217118,121.828443,2111.630812,72.866125,67.070483,89.825169,8.72585
S00484,L0024,T02,484,40.255653,0.623252,0.38811,329.24381,22.841611,159.382518,2185.718598,75.110901,67.141111,89.885487,6.832462
S00609,L0030,T03,609,28.872303,0.831805,0.590753,267.245929,13.605728,143.891772,2062.056499,78.090131,74.514432,89.729911,1.081404
S00368,L0018,T02,368,41.733704,0.330337,0.433792,278.482437,18.301013,119.638231,1916.412688,74.669341,69.423717,90.007005,0.744912
S00543,L0027,T02,543,36.291221,0.683498,0.646149,326.940768,26.832834,131.910734,2084.04892,73.075549,65.400684,89.613847,6.11568
S00729,L0036,T03,729,46.86129,0.245904,0.730901,294.922963,16.664735,147.753991,2118.617302,72.4026,67.171344,90.073847,2.978623
S00617,L0030,T01,617,,0.78174,0.480828,358.2917,20.243514,153.191435,2167.349917,75.464886,69.738747,90.152383,9.545057
S00529,L0026,T03,529,51.091767,0.385241,0.692137,314.127066,19.30406,166.07273,2185.111787,72.743198,64.593685,89.812529,5.986989
S00080,L0004,T01,80,62.502034,0.18591,0.409894,343.990857,15.004228,153.651532,2150.360059,72.982462,59.981547,89.770466,11.686404
S00269,L0013,T01,269,20.964109,0.331786,0.50587,299.911949,19.961281,142.66781,2178.435793,74.19033,70.16648,90.039567,4.352771
S00147,L0007,T03,147,42.234393,0.811391,0.69685,316.890294,22.79595,128.408179,1904.273385,74.145291,66.55593,89.725589,6.102856
S00126,L0006,T01,126,56.518546,0.222556,0.528311,280.203526,18.177969,159.498411,2097.107562,75.448434,67.792727,89.818817,0.126491
S00295,L0014,T01,295,50.953503,0.653853,0.404412,231.912149,18.824013,153.12893,2007.816283,74.363729,70.167253,89.959777,-4.856342
S00667,L0033,T01,667,50.735572,0.171007,0.588515,270.747527,20.467652,,2132.614105,74.192248,70.003052,90.051963,-0.846015
S00570,L0028,T03,570,59.116937,0.406032,0.681897,277.30621,20.727342,123.949628,1908.43976,73.080771,65.648877,89.844514,0.662135
S00548,L0027,T01,548,26.496903,0.26136,0.656372,293.793344,17.176151,138.956192,2090.970773,73.817239,69.021608,89.995262,4.129841
S00278,L0013,T01,278,38.566495,0.824929,0.597751,295.144038,17.549165,137.906368,1972.33244,76.468035,70.340814,90.184861,3.130618
S00302,L0015,T02,302,34.27958,0.211872,0.560032,317.708632,19.890478,164.321295,2274.572729,73.817632,68.759592,89.664198,4.16466
S00119,L0005,T01,119,54.386502,0.234617,0.404193,347.657582,17.897519,174.519577,2215.576273,74.222838,63.847127,89.740457,8.603521
S00757,L0037,T03,757,58.850141,0.599174,0.483219,331.117293,16.418967,121.312382,1876.289441,70.729532,60.31186,89.868799,8.746606
S00041,L0002,T01,41,46.2102,0.672202,0.587422,325.426443,20.546415,142.038777,2081.023753,74.914097,64.388066,89.88485,7.856061
S00365,L0018,T03,365,25.362763,0.183191,0.492576,405.778504,16.482773,132.737319,2204.570865,71.994208,64.326985,89.866684,12.987716
S00345,L0017,T02,345,55.516766,0.807727,0.463417,378.443367,18.852834,156.85588,2146.664871,74.706006,63.490322,89.427578,15.435341
S00291,L0014,T03,291,33.82273,0.493252,0.697407,294.051602,14.117362,150.191585,2176.817962,73.491717,67.134607,89.572968,1.735126
S00043,L0002,T02,43,64.257093,0.214569,0.650687,372.880289,13.516138,119.752995,1925.734419,74.53437,60.432626,89.915246,15.786071
S00008,L0000,T01,8,37.033512,0.269471,0.517832,309.14698,18.186935,176.18899,2336.30407,72.738772,66.472843,90.068399,5.176967
S00635,L0031,T01,635,57.681496,0.68424,0.53061,270.087298,18.552906,140.453431,1947.35503,72.787107,65.785687,89.704294,-0.608755
S00500,L0025,T02,500,57.787436,0.663635,0.538706,368.820821,21.102201,143.707009,2022.578664,75.933842,63.609002,89.662909,12.762306
S00216,L0010,T03,216,24.263716,0.333105,0.488962,292.40757,20.017646,130.959613,2140.177911,73.59757,67.91392,90.058334,2.24765
S00095,L0004,T01,95,52.5672,0.62619,0.389458,400.505925,19.577248,154.72573,2176.495309,74.692938,61.163187,89.97587,17.956638
S00049,L0002,T01,49,44.421856,0.329981,0.61477,294.752577,20.088794,139.830424,2012.230575,74.580578,68.691624,89.840791,2.71781
S00198,L0009,T03,198,54.629305,0.364411,0.67354,284.722451,16.167205,157.681015,2120.318719,74.000888,66.290996,89.862603,2.817611
S00015,L0000,T01,15,59.06866,0.198333,0.599214,358.073122,22.901871,139.33265,2053.246348,74.157558,60.997966,89.716976,11.087279
S00395,L0019,T01,395,19.352927,0.158607,0.363223,361.844402,21.046555,140.619249,2193.968659,74.571308,68.258134,89.895138,7.401295
S00610,L0030,T01,610,61.0557,0.635969,0.531338,359.457794,17.781315,143.854487,2020.840111,71.550327,59.395233,89.638767,13.835331
S00326,L0016,T02,326,20.554978,0.303716,0.503675,,16.557055,155.181777,2250.3671,72.571794,67.242045,89.655052,4.01872
S00534,L0026,T01,534,35.288459,0.637126,0.381696,339.193577,18.864234,132.9958,2049.877841,72.993426,66.21076,89.797495,7.195883
S00188,L0009,T01,188,41.908025,0.300349,0.696205,376.097301,15.572897,1810.92914,2430.442967,75.799275,64.719781,89.808693,12.375578
S00196,L0009,T03,196,26.5548,0.400183,0.593344,296.12746,18.843895,133.205992,2026.525345,74.3287,69.94343,90.0302,3.911257
S00082,L0004,T03,82,60.562939,0.23458,0.705875,283.474423,21.644004,141.448784,2007.700053,74.721955,66.956794,89.873135,2.485018
S00330,L0016,T02,330,22.783392,0.42145,0.569822,272.421804,21.387099,104.756179,1930.778773,73.529062,69.338644,89.981158,3.331887
S00275,L0013,T03,275,22.114566,0.177009,0.728671,343.120372,19.793394,141.651632,2222.327668,75.03094,70.874705,90.081739,6.642941
S00768,L0038,T01,768,26.55915,0.799479,0.748462,251.350915,17.613458,142.405527,2066.056282,73.101965,69.288304,89.906529,2.090488
S00407,L0020,T01,407,40.810644,0.597677,0.431588,317.211753,19.798217,154.195581,2086.493644,74.42213,66.349126,89.724471,6.048908
S00575,L0028,T01,575,27.693807,0.306292,0.500622,258.159299,18.001106,171.737515,2242.721737,73.061931,69.474014,90.095917,0.279605
S00026,L0001,T03,26,22.879423,0.640341,0.691752,300.012121,15.370574,139.13163,2084.245869,72.757784,67.629554,89.930724,3.440521
S00105,L0005,T03,105,49.911949,0.426102,0.747674,279.079052,18.282486,128.2367,1873.69644,72.77057,66.829436,89.647524,1.705471
S00136,L0006,T01,136,52.671792,0.824716,0.693204,342.741503,14.346792,149.705745,2042.499269,73.037257,64.710498,89.658189,10.117591
S00605,L0030,T01,605,23.024157,0.354564,0.551674,349.189076,21.566936,146.164834,2207.661201,73.619828,67.697238,89.736873,8.235867
S00709,L0035,T03,709,42.732171,0.559155,0.743683,342.18677,20.810035,168.946821,2226.921251,72.012109,64.739582,89.818461,7.960362
S00550,L0027,T02,550,61.204357,0.428768,0.401074,377.294273,17.8975,140.675608,2104.013697,73.545232,59.173443,89.536147,19.4231
S00300,L0015,T02,300,41.192209,0.637275,0.378564,336.410215,14.234369,135.682376,2027.295994,74.357536,66.975425,89.937634,9.47474
S00469,L0023,T03,469,36.748196,0.387377,0.534553,322.726539,18.990661,131.598794,2068.838521,73.527213,67.737787,89.976961,7.544586
S00254,L0012,T01,254,34.452338,0.32541,0.726079,313.470927,19.921648,150.500152,2155.490823,72.875457,67.64098,89.495514,5.87668
S00547,L0027,T01,547,20.840611,0.633917,0.55838,290.098954,19.211212,152.846251,2192.114865,76.02731,71.004612,89.696482,2.018526
S00039,L0001,T01,39,25.512704,0.514352,0.611053,300.813124,19.933394,126.455283,2012.122378,76.991767,72.550756,89.605693,4.207829
S00464,L0023,T02,464,21.987519,0.4474,0.51991,272.660658,17.849984,164.883915,2225.381069,72.627899,68.953401,90.180053,5.613257
S00623,L0031,T01,623,54.665364,0.248998,0.730022,391.846245,21.749194,163.828975,2213.739187,75.941374,61.267945,89.619248,17.572581
S00455,L0022,T02,455,34.616998,0.368553,0.477768,353.024346,18.50322,149.072266,2226.07572,72.963462,64.729803,89.83973,7.9491
S00381,L0019,T02,381,61.499983,0.47316,0.468512,295.054765,17.940117,147.647124,2023.843662,72.28186,64.131933,89.825254,2.446028
S00580,L0029,T01,580,60.572447,0.184801,0.45149,331.262583,17.815538,148.16854,2054.07995,73.538551,61.190766,89.57312,8.092874
S00342,L0017,T01,342,33.02717,0.399215,0.584373,414.579093,20.092183,144.549298,2254.063075,71.248425,60.422409,89.788323,12.866531
S00438,L0021,T01,438,60.985027,0.334033,0.427193,342.841243,17.678775,148.092225,2032.946073,76.028113,64.719661,89.609765,9.902736
S00749,L0037,T01,749,64.026424,0.631342,0.381624,383.006648,19.755129,145.687739,2046.622868,75.106168,58.103282,89.450497,18.419424
S00261,L0013,T02,261,33.415714,0.594349,0.65735,287.9193,26.421895,150.709852,2062.692966,75.745059,69.75588,89.965628,3.627664
S00101,L0005,T03,101,22.949571,0.427967,0.681731,269.617619,16.382384,151.8308,2163.080584,73.539242,68.031675,90.054519,0.676336
S00720,L0036,T02,720,34.215704,0.498002,0.45658,334.832504,19.162694,156.801938,2176.682204,75.789751,70.883895,90.009137,6.181595
S00604,L0030,T01,604,21.160297,,0.7221,291.377097,17.524147,147.100652,2134.887933,72.978849,69.704526,89.792555,3.549117
S00273,L0013,T01,273,42.710261,0.302537,0.64659,334.939182,18.40391,137.734977,2046.08912,73.603296,64.838247,89.69371,7.643135
S00233,L0011,T01,233,41.137343,0.523338,0.711877,329.202811,20.813725,136.631467,2051.267389,76.190813,68.720265,89.767604,7.4832
S00718,L0035,T02,718,29.268256,0.718357,0.523212,292.058544,21.983278,147.789344,2108.161812,75.036195,71.225375,90.011223,4.056822
S00258,L0012,T02,258,60.837311,,0.490356,324.096848,23.107034,131.166446,1905.962629,72.68572,59.890791,89.438892,7.265845
S00522,L0026,T03,522,32.352766,0.48881,0.397743,350.609313,19.439406,156.242477,2235.068739,74.131121,68.473543,90.059361,7.620246
S00242,L0012,T01,242,36.541176,0.224667,0.480209,312.040638,18.046949,140.872741,2137.79022,74.082948,70.311603,90.009737,5.024291
S00772,L0038,T01,772,33.547147,0.27449,0.622829,329.898784,23.013288,165.817628,2213.581489,75.738984,67.433148,89.81594,5.23656
S00619,L0030,T01,619,56.328996,0.586812,0.688299,295.605502,19.90739,152.086901,2095.833817,72.716201,68.046198,90.033679,3.242167
S00123,L0006,T02,123,50.707689,0.770518,0.705198,302.553312,23.726269,142.523247,1968.252419,74.258201,67.79605,89.904778,4.537038
S00701,L0035,T01,701,39.769533,0.73733,0.677686,268.339043,18.134637,162.424039,2117.373925,75.125388,70.945002,89.758878,2.79694
S00558,L0027,T02,558,20.342446,0.341253,0.522736,301.64788,13.532887,152.588898,2268.768037,74.311573,67.44802,89.71279,4.071274
S00544,L0027,T01,544,57.91878,0.394978,0.471169,326.272317,18.550848,137.404228,2015.865067,74.441312,63.298455,90.049779,8.037496
S00689,L0034,T02,689,50.563769,0.602951,0.637897,362.379755,17.618516,136.487504,2042.893067,76.192876,63.321685,89.749829,12.667448
S00223,L0011,T02,223,26.987016,0.584817,0.676212,403.928091,19.171416,139.614909,2193.409195,74.384496,67.25813,89.661249,13.049679
S00762,L0038,T01,762,64.871988,0.565658,0.526668,349.047797,20.629874,143.492463,1993.822214,74.279295,63.706202,89.487785,12.824272
S00224,L0011,T03,224,60.277273,0.639615,0.744036,343.114708,23.587409,143.42443,1983.873415,71.923627,63.534575,89.571082,8.988812
S00778,L0038,T01,778,53.500897,0.55748,0.351055,366.774082,25.093876,142.718388,2068.45754,72.540908,59.737804,89.501595,11.963585
S00391,L0019,T01,391,42.634965,,0.671436,333.825047,20.184345,168.132192,2253.057768,73.726785,66.367806,89.730809,7.621858
S00374,L0018,T01,374,36.40169,0.781145,0.687704,367.904874,21.258041,136.093426,2132.283359,73.26731,67.355561,89.576572,10.639107
S00523,L0026,T01,523,22.348728,0.327663,0.683768,321.221979,18.604436,141.108345,2232.787094,71.661462,67.177882,90.089978,5.40916
S00234,L0011,T02,234,37.934858,0.423402,0.686181,303.81103,19.711779,147.161565,2234.346139,73.927082,67.773908,89.65478,4.532658
S00425,L0021,T02,425,58.254428,0.238401,0.423422,272.509839,14.580678,148.962064,2018.255819,73.42313,66.884088,89.734563,0.148631
S00098,L0004,T01,98,34.651474,0.313027,0.670721,249.379501,19.874827,131.160932,2034.991626,75.803233,72.503703,89.837881,-2.027239
S00090,L0004,T01,90,31.425324,0.721658,0.627549,337.58234,20.62883,126.048702,2071.307276,72.507412,60.924712,89.50416,7.527929
S00739,L0036,T01,739,64.212331,0.286247,0.477457,323.029645,18.998601,147.014933,2021.909357,76.337977,63.05835,89.941195,8.525928
S00646,L0032,T02,646,62.746518,0.701768,0.676586,328.814436,19.416955,141.997961,1961.165835,75.706246,64.671098,89.806599,7.747633
S00581,L0029,T02,581,30.249152,0.569336,0.414053,324.988438,17.497766,136.814278,2106.799386,72.342596,66.002703,89.859618,5.380688
S00190,L0009,T01,190,19.571403,0.308041,0.377261,378.719668,18.262339,183.680644,2470.611484,75.732907,71.139066,89.961451,9.536409
S00740,L0037,T01,740,30.056917,0.593734,0.520081,311.432778,18.044698,152.864286,2203.704429,71.928164,66.874163,89.592398,4.041698
S00521,L0026,T01,521,62.746728,0.639569,0.627769,398.263517,20.273708,135.480555,2019.890866,73.369543,57.130232,89.956878,19.660433
S00283,L0014,T02,283,21.017221,0.663522,0.64627,339.596393,16.287314,126.304052,2120.028428,71.882598,65.125482,90.000661,3.12341
S00755,L0037,T01,755,64.693822,0.484209,0.636484,271.349965,22.240185,150.846417,2029.840014,75.910395,66.425462,89.242691,1.565566
S00112,L0005,T01,112,35.018986,0.726373,0.475954,296.585317,19.103077,138.0892,2027.753028,74.399723,70.609487,89.90921,4.337558
S00378,L0018,T01,378,35.237392,0.677198,0.713257,330.936679,16.312164,132.09726,2028.709499,76.225968,73.075612,89.922977,7.073636
S00578,L0028,T01,578,61.589381,0.765919,0.555077,297.829782,23.382738,149.996912,1977.518626,75.587164,67.824657,89.86471,4.093686
S00676,L0033,T02,676,53.602978,0.549631,0.476796,301.722329,15.150999,150.790854,2027.60894,70.835462,63.054026,89.736147,4.793005
S00751,L0037,T01,751,31.798303,0.691638,0.452394,356.997237,16.80897,143.851851,2138.7585,73.126063,64.247341,89.555907,8.153515
S00502,L0025,T01,502,39.212857,0.688294,0.66122,297.116583,20.499697,156.539575,2130.174299,73.635831,67.289151,89.848637,3.904527
S00655,L0032,T02,655,55.146758,0.237777,0.373156,325.51651,22.506653,149.570372,2028.764935,72.658446,58.604233,89.549314,8.297549
S00657,L0032,T01,657,51.316505,0.713834,0.648168,292.711445,16.89968,150.692811,2031.622185,73.384256,66.257879,90.267468,3.792854
S00110,L0005,T02,110,60.944257,0.28847,0.619143,350.424839,18.822244,151.014145,2049.204508,71.237008,58.207263,89.82071,12.609799
S00068,L0003,T02,68,33.542277,0.69106,0.656641,314.829421,19.46655,132.955815,2031.815277,73.141867,65.60713,90.208215,2.59524
S00023,L0001,T02,23,43.988817,0.326886,0.36835,295.803124,21.202368,136.098956,2022.873595,71.650358,66.165118,89.658985,2.868409
S00186,L0009,T01,186,39.071348,0.403385,0.445094,312.520677,19.08379,160.969788,2187.602332,71.742219,63.834142,89.528961,3.723163
S00437,L0021,T01,437,46.517597,0.399016,0.400054,327.680367,21.166226,123.484621,1875.10695,69.379355,62.319247,89.781862,7.599661
S00443,L0022,T01,443,38.906421,0.228487,0.453659,313.813608,21.295059,130.490663,2108.057054,74.637377,67.940076,89.575644,3.762177
S00091,L0004,T01,91,61.493821,0.408371,0.605445,304.761493,16.49962,139.048115,1971.960755,73.704986,67.144823,90.2653,6.47169
S00317,L0015,T01,317,35.274606,0.551318,0.734284,283.416573,17.140458,145.543045,2140.718089,73.299459,66.761848,89.836146,1.828823
S00728,L0036,T03,728,59.971648,0.613446,0.61698,351.741131,20.998619,149.892739,2057.914588,72.607326,61.506182,89.619084,11.692178
S00102,L0005,T01,102,37.285162,0.685523,0.405385,319.053508,14.886826,112.180329,1902.019961,72.4829,66.656039,89.937168,5.709589
S00594,L0029,T01,594,48.683932,0.448398,0.6747,315.498866,17.038676,150.80467,2162.351014,73.840874,66.113293,89.703458,4.898424
S00051,L0002,T01,51,19.479352,0.50725,0.711701,298.44813,19.695934,137.615996,2111.411559,74.913045,69.995157,89.330973,4.599076
S00243,L0012,T02,243,34.834249,0.213053,0.720554,344.601119,19.693092,130.456367,2120.671603,74.515293,67.504274,90.038604,9.00606
S00053,L0002,T01,53,22.713935,0.365796,0.469159,312.643934,19.581187,129.905619,2151.36009,72.737151,69.362127,89.895742,5.144964
S00394,L0019,T01,394,41.462102,0.775849,0.596528,318.581607,16.952289,141.139565,2014.181884,71.250449,66.487634,90.056654,6.58471
S00362,L0018,T01,362,35.18555,0.789597,0.544401,310.027334,20.480321,151.733992,2145.804582,72.113848,65.477014,89.838515,5.469649
S00685,L0034,T03,685,49.361528,0.336582,0.392303,311.670496,12.926556,172.171856,2204.57303,72.247795,64.64616,89.934712,4.673588
S00517,L0025,T01,517,49.216023,0.794471,0.51498,259.654327,19.570286,122.726561,1892.334716,73.469075,69.512156,89.849524,0.496126
S00682,L0034,T02,682,18.665987,0.768067,0.444916,306.166685,21.886171,150.434562,2107.064475,76.363416,73.361124,90.10096,2.139844
S00787,L0039,T03,787,29.772375,0.415818,0.538839,349.336576,17.714956,161.308976,2269.597692,74.619794,69.846728,89.883985,6.285956
S00601,L0030,T03,601,48.119275,0.418872,0.685954,258.272179,20.473248,110.5058,1799.668156,73.073533,67.37742,89.606993,-1.224454
S00109,L0005,T01,109,42.228682,0.576513,0.569978,391.500623,23.206597,117.884448,1994.223417,73.671889,63.729396,89.76083,15.561142
S00189,L0009,T02,189,26.885585,0.539435,0.366846,338.651511,21.287194,161.287381,2234.444198,73.802013,67.823123,90.130469,7.560375
S00418,L0020,T01,418,47.169558,0.580939,0.454466,282.73907,19.216721,124.605829,1915.360832,72.36118,67.599642,89.58741,0.904648
S00260,L0013,T02,260,52.740869,0.183204,0.379209,311.854079,14.170049,109.166435,1901.822146,73.596381,66.177407,89.921977,4.473915
S00371,L0018,T01,371,37.951591,0.638963,0.678989,379.981013,18.268462,144.213399,2143.680194,74.104327,65.277101,89.581124,12.17286
S00388,L0019,T01,388,55.920921,0.391675,0.368883,341.096111,15.395546,175.849513,2259.606143,73.499995,62.652756,89.802697,11.335081
S00607,L0030,T02,607,41.710558,0.348283,0.641368,352.52926,17.320397,145.782424,2108.055439,76.022839,68.370689,89.585392,9.845111
S00445,L0022,T02,445,45.047773,,0.449375,311.011668,17.045646,133.732465,1895.860073,74.130689,66.765218,89.828596,6.246108
S00094,L0004,T02,94,27.363332,0.757671,0.578932,309.620239,18.994633,156.828647,2128.483294,74.553333,70.742622,89.794652,4.785763
S00129,L0006,T02,129,63.764642,0.308613,0.471754,273.464329,22.134924,147.545928,1975.764392,73.389806,67.463993,89.713038,-0.178999
S00203,L0010,T01,203,61.332995,0.528657,0.406686,312.532017,115.0753,140.477164,1982.73126,72.874582,64.195517,89.742806,4.505579
S00296,L0014,T01,296,40.338843,0.712478,0.687937,,14.510275,133.930657,2019.929583,74.181965,67.477477,89.807275,5.174049
S00514,L0025,T01,514,33.912571,0.165642,0.525933,3236.7435,19.365623,152.385152,2114.304929,75.304538,70.531019,90.04333,7.056621
S00211,L0010,T02,211,54.999713,0.600905,0.66453,358.675925,16.218039,143.981316,2018.995994,75.941059,64.376048,89.716006,11.748693
S00069,L0003,T02,69,42.281434,0.686879,0.657183,266.574621,14.635053,173.889445,2260.72333,75.788744,70.744918,89.613138,0.524993
