sample_id,lot_id,tool_id,sequence,down_force_psi,platen_speed_rpm,head_speed_rpm,slurry_flow_ml_min,pad_age_runs,pattern_density,removal_rate_proxy,wiwnu_proxy,dishing_nm,erosion_nm,yield_proxy
S00600,L0030,T01,600,3.663422,120.392542,73.778352,159.131095,21.037493,0.312917,427.259519,2.770989,50.365035,15.945933,96.744167
S00559,L0027,T03,559,3.138546,97.086239,103.566901,215.983094,52.267187,0.426938,386.249223,3.73845,35.683369,25.119326,93.569008
S00175,L0008,T03,175,4.449027,148.928765,93.190139,149.122591,28.969278,0.330096,462.235645,3.213611,56.861939,20.939179,94.251478
S00343,L0017,T01,343,2.082827,109.635375,136.73579,153.096688,22.865681,0.582914,302.090933,1.176333,40.126401,27.313909,97.73652
S00287,L0014,T01,287,2.475845,104.39841,97.135056,145.659675,1.51159,0.642271,356.54081,1.595749,41.619725,28.529225,94.704299
S00317,L0015,T01,317,2.549004,130.919791,121.682771,164.474652,93.771767,0.555332,351.203071,1.841625,34.947819,30.407111,95.644471
S00687,L0034,T01,687,3.014691,116.578259,69.031335,147.713469,125.37333,0.644664,341.630775,1.290336,51.042541,37.922406,91.390124
S00668,L0033,T02,668,3.401467,139.193412,66.360029,229.07748,115.089056,0.647731,415.73995,5.628665,51.722985,33.58351,88.531548
S00061,L0003,T04,61,4.128389,116.143819,106.06119,207.781169,99.85238,0.463774,421.352508,4.703268,46.002971,38.548412,93.219604
S00183,L0009,T03,183,4.3758,109.093538,108.395398,175.378821,136.984201,0.71018,411.724504,3.558397,61.410666,41.056352,91.883909
S00345,L0017,T01,345,3.635635,83.423626,119.640262,127.923023,120.230171,0.559282,346.848841,1.293839,45.153495,28.422141,94.481589
S00138,L0006,T04,138,3.97581,108.071367,109.268185,192.190182,71.905888,0.302862,409.388203,3.830043,43.870054,18.635442,94.778198
S00316,L0015,T01,316,2.467817,76.598213,139.52367,129.571049,6.68409,0.438934,321.988033,0.714916,45.883919,18.905877,98.862577
S00206,L0010,T01,206,2.592549,126.106006,143.921735,132.519392,91.090329,0.645719,343.231147,0.575982,58.81906,34.507126,94.372608
S00358,L0017,T01,358,2.022932,119.506797,116.861558,186.488421,76.134625,0.632324,332.597068,3.580985,43.503158,33.693665,89.975841
S00541,L0027,T02,541,2.899099,76.336958,127.188657,160.990955,,0.656983,330.940892,1.963464,43.207634,39.112887,94.513072
S00108,L0005,T02,108,,145.602528,108.292131,204.64131,115.384749,0.763485,439.759497,5.198541,59.013492,48.171941,89.198102
S00467,L0023,T01,467,4.440893,135.157562,113.136993,167.633552,13.219449,0.347445,447.627953,3.07111,51.946576,14.055186,95.992118
S00674,L0033,T01,674,2.681546,99.166694,114.125485,195.812789,89.389215,0.668699,338.358276,3.983703,39.580835,40.761468,93.456844
S00430,L0021,T01,430,3.989526,106.101135,143.395107,195.989551,5.308008,0.719105,428.440321,4.538378,51.596589,26.479066,91.129252
S00348,L0017,T01,348,2.526289,82.833656,109.657021,127.325744,82.180089,0.428664,292.945905,1.172964,37.484061,33.881795,95.585274
S00522,L0026,T01,522,3.674698,72.10404,100.290155,205.702321,14.921226,0.658372,393.145304,4.47816,46.190117,25.279681,92.867706
S00715,L0035,T04,715,4.340771,123.514488,67.824335,142.277641,128.109563,0.684888,419.464632,1.345139,65.738386,39.505758,91.217691
S00130,L0006,T01,130,2.545837,108.308301,75.93162,202.953468,2.069251,0.583744,357.49686,4.596214,33.690419,19.313785,96.405488
S00578,L0028,T02,578,3.157919,113.269706,123.430413,228.476826,2.189852,0.4236,416.966623,4.079505,41.371761,21.93943,93.14
S00612,L0030,T01,612,4.158057,74.990627,142.811179,181.995434,49.507952,0.318146,400.139368,3.680619,46.206421,20.842321,96.148658
S00781,L0039,T01,781,2.726125,135.769359,112.832633,167.519071,132.838863,0.265068,355.661107,2.535559,38.927614,36.264895,93.828705
S00222,L0011,T01,222,3.434563,101.481053,128.383636,213.690512,40.523862,0.229157,400.350475,3.544658,41.14694,13.9081,97.455281
S00047,L0002,T01,47,3.651943,122.374651,98.347811,194.675597,128.623588,0.295317,408.058948,4.199725,42.928031,30.168504,94.187374
S00326,L0016,T02,326,3.433084,143.131191,120.768949,159.777501,15.594604,0.626354,426.299423,2.062616,50.193664,28.158127,94.613197
S00167,L0008,T01,167,4.113899,117.624291,133.224651,204.189411,17.907234,0.625598,437.416198,4.923215,49.705015,22.067262,92.348713
S00434,L0021,T01,434,3.566736,82.622937,99.12363,226.302426,118.69739,0.74322,376.518513,6.294073,51.950929,37.749656,87.556479
S00673,L0033,T02,673,4.412508,123.803359,98.948846,189.629338,83.982403,0.378901,432.180236,3.086382,58.630011,28.997279,92.206461
S00407,L0020,T03,407,3.634961,105.513122,109.78303,140.105685,106.031719,0.43157,385.328695,1.959483,40.145534,28.089299,94.877968
S00750,L0037,T01,750,3.907317,91.699074,115.54139,138.699586,79.58061,0.28738,366.817089,2.097472,40.817979,28.901719,95.728269
S00702,L0035,T02,702,2.728899,92.67942,128.667471,181.031544,100.660248,0.263325,342.909453,2.77213,29.883717,29.265828,96.266643
S00535,L0026,T01,535,3.084083,89.109272,98.825222,189.935596,97.877431,0.29407,352.604154,2.99607,35.972256,25.139429,95.64055
S00453,L0022,T01,453,2.651062,113.593697,85.086738,133.439341,69.375158,0.25752,344.769896,2.086213,40.423762,22.36796,96.708375
S00256,L0012,T01,256,4.213492,113.572805,108.990139,138.768226,108.018953,0.642774,407.23516,1.393783,59.376576,34.227427,92.423921
S00444,L0022,T02,444,,121.728188,143.760571,169.56809,35.551788,0.377074,425.818337,2.881126,44.977024,24.591284,96.810479
S00294,L0014,T01,294,2.770619,73.83533,131.399443,121.346721,67.385378,0.268653,316.327164,1.009518,35.997783,21.072819,97.0499
S00419,L0020,T01,419,2.833961,131.781977,110.683786,149.074752,2.744508,0.3183,385.243573,1.621397,42.95273,13.957698,98.915098
S00724,L0036,T01,724,3.019285,126.121645,99.897951,217.85662,0.963088,0.789564,409.429004,5.229195,43.919331,25.067359,94.781743
S00198,L0009,T04,198,3.295245,89.502568,88.969061,220.210273,20.680195,0.471589,390.818278,4.679693,47.187189,25.398812,93.333998
S00381,L0019,T02,381,2.672005,86.7138,103.523283,176.082877,7.96994,0.782505,339.969222,2.594749,53.762814,27.008906,92.155766
S00752,L0037,T02,752,2.860113,75.191942,94.945577,206.448072,71.000532,0.751658,349.452563,4.927884,48.550091,32.519236,90.920668
S00433,L0021,T01,433,3.746416,90.259014,102.853699,177.714301,10.440041,0.4646,397.303483,2.905063,58.270979,18.344076,94.011389
S00649,L0032,T01,649,4.434319,97.642547,137.283138,220.268131,115.893568,0.796321,426.11703,7.274099,65.453333,40.083954,84.230123
S00060,L0003,T01,60,2.272728,117.590806,97.838619,193.718374,19.599633,0.589534,362.027258,4.124266,36.601296,23.428345,94.291737
S00176,L0008,T01,176,2.67572,123.141959,121.642397,178.357198,34.568274,0.306342,374.88439,3.255616,30.854992,13.826916,95.46875
S00304,L0015,T02,304,4.454793,100.300775,81.714755,182.281666,20.216702,0.247728,443.262698,3.498781,51.963646,15.556366,94.808586
S00275,L0013,T01,275,2.70762,137.22746,137.158914,127.591209,61.993295,0.353597,353.697664,1.485319,41.694269,26.32825,95.781459
S00318,L0015,T01,318,4.020066,93.941609,84.707781,217.032137,61.037027,,435.681075,5.940982,54.024586,26.543038,91.10057
S00111,L0005,T02,111,3.993583,122.757033,134.148806,156.806328,13.692495,0.222438,425.835356,2.254803,47.937098,17.091117,95.782408
S00464,L0023,T01,464,2.750661,102.351081,84.781979,123.931001,69.441911,0.341017,354.037814,1.487679,37.614977,28.636351,95.904518
S00057,L0002,T03,57,2.205155,148.685689,65.054694,198.953401,131.97288,0.339298,365.988452,3.67646,29.930643,29.372812,94.160252
S00216,L0010,T01,216,2.621778,99.00453,97.281472,212.48158,21.837125,0.535699,363.273328,4.391654,38.337922,27.779583,92.821282
S00549,L0027,T01,549,2.929199,112.87618,144.752967,223.410632,65.122253,,392.297162,4.17208,28.083453,29.32991,92.249033
S00761,L0038,T01,761,2.055419,148.224206,131.6324,189.719224,132.770165,0.454672,342.123809,3.860309,28.471558,33.160676,93.376505
S00557,L0027,T01,557,2.382884,80.000318,105.436132,129.044273,102.104415,0.232091,298.232189,1.582075,33.95008,27.673181,94.548083
S00631,L0031,T01,631,4.219605,120.103525,86.419213,151.178342,121.28142,0.278382,427.644801,2.460645,54.240994,32.070564,94.468955
S00340,L0017,T03,340,2.414651,137.446545,70.959748,199.553782,39.059948,0.586901,389.863497,4.026198,41.18908,27.75574,92.605302
S00165,L0008,T01,165,3.993652,117.779257,73.601945,197.911556,106.664381,0.373719,420.400216,3.590548,47.195369,25.430244,92.777147
S00097,L0004,T01,97,3.338963,92.643434,95.19918,185.591314,117.189211,0.621029,370.332541,3.815455,48.438623,37.750993,92.677382
S00008,L0000,T01,8,4.022371,92.665226,108.899883,124.999128,68.163769,0.439795,383.995008,1.346585,55.563932,24.876113,93.685325
S00325,L0016,T01,325,3.937034,142.637305,93.473882,140.621657,17.712687,0.733457,430.072905,1.347293,60.569724,27.784383,93.414028
S00014,L0000,T02,14,3.051353,72.279026,142.424208,183.022008,137.27565,0.283749,336.656055,2.489922,20.223203,37.292531,96.542896
S00561,L0028,T01,561,3.039365,80.59437,,124.720405,113.336523,0.379214,317.291803,0.685877,40.78099,26.112047,96.115602
S00497,L0024,T01,497,2.182679,122.972509,85.548002,222.446292,47.198142,0.794351,362.728266,6.642325,32.03212,37.692836,90.098214
S00009,L0000,T01,9,3.440051,73.695611,126.664214,170.922621,4.453748,0.747808,363.939278,2.692947,54.477705,29.648612,94.056406
S00196,L0009,T02,196,2.948314,95.88189,112.813173,189.240764,91.944654,0.424383,355.919802,3.479451,42.0528,31.275927,94.115163
S00651,L0032,T01,651,4.29376,89.428029,84.141464,184.485954,60.225184,0.488475,417.95817,3.144882,58.908566,25.069687,89.620534
S00775,L0038,T03,775,3.027916,101.642045,78.737889,191.380552,139.486687,0.491344,350.921344,3.714909,40.631243,34.980761,95.219361
S00758,L0037,T03,758,2.350261,78.338995,79.721086,179.267383,83.562486,0.226614,309.477795,3.491873,34.115108,27.254351,95.522052
S00794,L0039,T01,794,2.572087,143.390373,141.261795,183.234897,8.198785,0.310896,390.554953,3.241855,40.581033,13.068852,97.812864
S00596,L0029,T02,596,2.495766,138.722953,139.043832,219.29491,54.09868,0.638737,377.701758,5.107863,41.39759,28.43469,91.719968
S00261,L0013,T01,261,2.514885,94.065954,112.719239,168.914004,46.366171,0.240565,341.350516,2.393684,22.00636,22.545244,95.726324
S00498,L0024,T02,498,3.737876,145.145071,112.083755,179.49836,43.344997,0.266525,434.744318,3.255979,46.651349,15.377297,95.030207
S00201,L0010,T03,201,4.163131,99.871802,87.286524,226.271847,130.619874,0.446696,427.521791,5.131316,50.362787,34.836211,90.736383
S00172,L0008,T02,172,3.307783,145.298139,66.48228,153.287896,72.5005,0.243227,393.822153,2.444886,38.713365,18.226556,97.23961
S00539,L0026,T01,539,3.128945,143.811292,105.158022,169.083512,87.310188,0.529253,397.886032,2.344333,41.751971,29.701898,93.663038
S00556,L0027,T01,556,2.127999,76.890495,93.626971,186.835472,9.528505,0.705514,311.706368,4.244956,33.726509,30.640908,92.212177
S00619,L0030,T02,619,2.703416,73.759546,73.4317,211.932593,119.097097,0.785771,330.118313,5.335865,46.046092,41.714122,89.676569
S00743,L0037,T01,743,3.134751,129.946644,84.689269,131.893482,39.443033,0.49543,380.522953,0.594153,43.442382,23.10798,97.522618
S00585,L0029,T01,585,2.526997,139.29253,74.204481,132.569261,77.842265,0.656466,336.039634,0.75336,43.971728,26.430327,95.962791
S00132,L0006,T01,132,3.145775,70.870022,111.90993,173.219326,124.325464,0.676575,335.625138,2.563422,47.481867,39.003619,93.789397
S00068,L0003,T01,68,2.36108,83.585785,79.505888,139.08572,104.970392,0.475698,303.57289,1.639741,42.009654,28.188797,94.836034
S00533,L0026,T02,533,4.490807,72.864308,76.305031,158.195798,16.292336,0.214208,414.841416,3.347831,45.214532,16.957446,97.833575
S00485,L0024,T01,485,2.84475,76.115346,143.729222,172.860151,88.427921,0.689563,344.52906,3.100884,43.933396,37.175999,94.487004
S00298,L0014,T01,298,2.111196,87.461523,131.094944,212.756615,68.220641,0.723141,312.821084,5.22569,36.805216,38.054806,88.554944
S00373,L0018,T01,373,4.239501,110.257683,123.560412,126.058931,125.994481,0.58247,409.573958,0.842076,60.965904,39.289542,91.416189
S00582,L0029,T01,582,3.94201,141.712398,129.533122,190.414195,95.623516,0.374562,429.15693,2.855536,41.886523,29.574059,93.095255
S00540,L0027,T01,540,3.921658,130.566819,95.061889,122.058513,20.548448,0.597125,410.041277,0.529208,50.724643,26.313307,92.616402
S00028,L0001,T01,28,4.295894,125.606593,138.986913,139.903314,11.21784,0.424602,436.293864,2.07631,52.8434,24.132145,95.029246
S00308,L0015,T02,308,2.209577,95.748726,108.005148,,53.865495,0.218176,313.751699,3.091102,24.706281,27.547603,99.6587
S00398,L0019,T03,398,3.750606,140.992206,105.972605,1257.17798,135.135669,0.365052,393.823491,1.712849,54.9868,33.254454,92.007738
S00390,L0019,T02,390,3.946804,112.134134,121.419457,161.231466,80.512511,0.416646,409.142481,3.271604,50.603808,29.613121,93.737934
S00094,L0004,T01,94,,108.16051,94.274104,129.333123,88.464543,0.441725,380.213034,1.595181,51.480882,34.433951,94.289025
S00579,L0028,T01,579,4.411611,115.23422,67.462257,173.790214,59.251229,0.212432,450.736624,2.992642,53.129763,19.392248,95.17265
S00697,L0034,T02,697,2.797554,109.876354,109.347909,132.407098,12.179295,0.608326,348.804264,0.788822,53.32503,21.971366,95.223255
S00253,L0012,T01,253,3.578302,75.264572,101.47594,194.295139,90.756756,0.509935,378.68015,4.128488,48.337484,32.564331,92.927613
S00306,L0015,T02,306,3.090622,128.245606,137.155092,139.365476,53.090959,0.586901,385.983506,0.850351,48.111379,23.768434,94.146059
S00609,L0030,T03,609,2.130352,101.796932,83.871187,140.865473,,0.293161,312.422106,2.14761,32.622418,14.247006,98.691964
S00739,L0036,T01,739,2.555033,91.401744,87.785158,228.907935,66.341383,0.50412,343.958887,4.980075,30.773361,29.093515,90.400532
S00340,L0017,T03,340,2.414651,137.446545,70.959748,199.553782,39.059948,0.586901,389.863497,4.026198,41.18908,27.75574,92.605302
S00528,L0026,T04,528,3.9411,122.54395,105.579994,161.069389,125.579294,0.720122,404.182485,2.636392,62.38265,41.641029,91.400091
S00412,L0020,T03,412,3.663006,92.666428,74.521519,191.658699,78.287843,0.746287,409.026155,3.591235,51.554693,41.45573,89.329406
S00360,L0018,T03,360,3.338429,122.184689,,182.705609,136.435251,0.645154,380.119407,2.719728,49.988484,42.043288,92.79897
S00441,L0022,T02,441,,83.411027,141.455161,143.361153,73.333671,0.463157,377.015743,1.381765,40.982469,25.063352,95.772461
S00281,L0014,T03,281,2.164646,108.487488,76.287669,222.197462,63.01395,0.225779,332.767995,4.298926,30.307668,18.386873,93.831835
S00134,L0006,T02,134,4.154198,96.263222,120.47931,202.717486,35.219095,0.266834,420.233478,3.822796,56.889097,15.935484,92.064494
S00646,L0032,T03,646,4.058232,104.913129,93.382839,123.948225,135.498832,0.705608,380.455484,0.576318,66.694159,42.511015,88.994073
S00709,L0035,T03,709,2.638871,,112.276013,184.752836,36.457937,0.480597,350.589734,2.49993,35.215368,29.742521,95.248414
S00263,L0013,T02,263,2.619754,104.134382,85.4467,218.154787,13.636557,0.501137,371.690362,4.822492,40.094188,25.768484,93.950916
S00644,L0032,T02,644,2.654784,95.019504,120.57847,156.123005,122.477794,0.240137,330.623119,3.102429,35.112764,31.398725,96.075825
S00450,L0022,T02,450,3.28951,91.481311,101.045222,210.743903,92.315568,0.676932,378.883472,4.920363,43.519835,30.740108,92.499646
S00435,L0021,T03,435,4.381832,117.353328,125.434315,154.050023,5.803912,0.359758,447.101173,3.067094,56.989111,15.278425,97.162355
S00135,L0006,T04,135,3.729823,74.088278,87.060496,152.520064,68.033431,0.236287,368.734843,2.587282,41.761794,48.737071,96.850815
S00486,L0024,T01,486,2.079275,129.921498,103.853025,224.276155,125.657921,0.597438,351.611705,6.121385,29.352369,34.989241,90.136126
S00113,L0005,T01,113,4.29688,144.565615,118.652145,174.545613,96.602444,0.374579,434.565138,2.842725,55.977581,28.898985,94.2162
S00388,L0019,T01,388,2.20295,77.2763,97.587863,190.43594,137.736337,0.565633,286.858953,-2.63476,36.07426,41.387195,92.857546
S00783,L0039,T03,783,4.155193,104.1992,75.790256,134.392124,124.965013,0.578141,398.942879,1.849681,62.117015,32.961007,92.128919
S00228,L0011,T03,228,4.330806,100.10694,68.025463,121.886,138.252679,0.353488,375.995893,1.460256,53.704618,33.729918,92.94586
S00303,L0015,T01,303,3.02502,119.940608,133.902539,120.609711,35.840429,0.652253,352.284398,-0.26245,62.288411,29.027053,92.149663
S00356,L0017,T01,356,4.197158,118.015373,105.502949,211.445104,94.451082,0.209563,437.989732,4.232779,43.897735,24.747735,95.666317
S00123,L0006,T02,123,2.948999,117.23414,103.86309,177.963241,30.496088,0.33067,378.578871,3.139203,40.349225,20.064647,95.808249
S00200,L0010,T01,200,2.098963,90.824888,132.082582,198.6261,135.874681,0.731633,308.9903,5.138476,34.766989,43.900914,90.700499
S00452,L0022,T01,452,2.932593,133.876643,108.90978,189.974547,88.346231,0.562639,390.690324,3.205861,43.507756,27.89989,94.266852
S00129,L0006,T01,129,3.404899,122.311705,137.207319,166.313556,86.170862,0.596298,384.543438,2.026181,50.5017,34.422451,91.779865
S00349,L0017,T01,349,3.908237,84.406441,93.806382,221.15747,50.542999,0.326125,407.995739,4.017542,46.443451,23.989273,93.303498
S00459,L0022,T01,459,2.673196,126.374455,108.390713,214.205136,15.733102,0.381959,391.735052,3.851594,36.589451,22.757522,94.716797
S00524,L0026,T04,524,3.209483,138.298242,127.247381,132.569197,33.181761,,401.291855,1.426409,44.475442,25.772654,94.776548
S00553,L0027,T01,553,2.411752,101.203186,76.540549,225.293176,14.145818,0.307896,372.086014,3.861736,32.461659,18.208275,94.991712
S00461,L0023,T01,461,2.844097,116.349228,66.423403,206.596376,38.573213,0.797631,376.123185,4.633964,49.743518,31.417733,93.237934
S00741,L0037,T01,741,3.783043,84.780499,67.388826,142.189561,134.24227,0.61792,359.960525,1.773317,56.843501,41.74878,91.681264
S00729,L0036,T03,729,2.339558,104.758804,71.832187,210.93814,23.997461,0.438597,345.806599,4.405131,33.341577,15.246373,95.297322
S00297,L0014,T02,297,4.410057,94.702112,131.089676,171.524116,138.107484,0.746437,398.201774,3.291202,65.073411,44.001147,88.560592
S00372,L0018,T01,372,3.553332,142.992049,76.776799,186.348136,3.237516,0.336649,433.591051,3.268796,37.00087,16.228377,96.481464
S00072,L0003,T01,72,2.7251,75.678829,119.168588,155.120332,51.59905,0.578708,337.986459,1.833482,41.588748,29.948853,94.524963
S00146,L0007,T04,146,3.933907,97.513278,135.376589,166.198101,103.783694,0.682084,392.226571,3.409071,57.072814,35.439481,91.278606
S00249,L0012,T01,249,3.034602,99.394082,96.176353,139.039181,34.168214,0.295107,331.996116,2.374738,40.575325,17.784485,96.793625
S00075,L0003,T01,75,3.850034,121.173,67.723199,167.32942,23.206218,0.286344,425.882655,2.652163,47.422054,21.529264,96.355419
S00116,L0005,T01,116,3.606183,129.062642,93.328205,155.342782,40.802494,0.275587,407.039382,2.076233,47.750858,17.880883,94.446761
S00514,L0025,T01,514,,95.08828,110.012337,149.286739,39.847891,0.661837,406.727817,1.818172,60.712589,33.736174,91.442327
S00769,L0038,T03,769,3.28554,134.294735,76.18218,130.647301,129.702635,0.689254,374.413797,0.348554,54.559662,40.788047,92.512273
S00363,L0018,T03,363,4.069789,146.073892,132.478086,127.053269,51.739321,0.674583,435.280599,0.711483,61.654007,24.486919,92.307033
S00400,L0020,T04,400,3.045465,80.864105,129.686349,180.844649,92.34105,0.31926,345.262555,2.612804,37.906171,24.619347,97.245364
S00648,L0032,T01,648,2.76983,98.285574,132.691064,130.297532,58.626339,0.561341,339.95795,0.587575,51.861488,33.523955,93.955907
S00555,L0027,T01,555,3.86841,113.301076,140.782971,215.33811,93.01359,0.570027,419.162899,4.569455,58.538316,33.548982,88.122713
S00799,L0039,T04,799,3.336533,114.260397,135.309959,158.364935,68.649539,0.438918,394.429032,1.95102,52.132335,32.023819,93.660048
S00365,L0018,T01,365,2.202456,113.635564,84.699778,208.796886,15.380924,0.546849,350.344069,5.275904,31.844614,29.291502,92.512539
S00788,L0039,T04,788,2.020982,79.062537,79.908955,160.080468,89.667127,0.523484,302.418751,2.775083,34.13834,30.258506,95.480355
S00406,L0020,T02,406,3.077566,80.087686,103.942757,197.42755,102.175227,0.672689,334.117895,4.189582,48.795401,37.385016,91.585128
S00301,L0015,T01,301,4.398082,77.149257,91.965426,204.486964,36.961363,0.778361,413.821057,5.739546,61.758599,33.41539,87.976912
S00457,L0022,T02,457,4.392045,70.766218,76.284988,144.788824,86.694222,0.312566,392.618436,3.331792,48.903483,19.170912,95.066652
S00147,L0007,T02,147,3.235259,96.847681,94.616473,125.268946,2.324541,0.578179,357.986858,0.646765,55.688262,24.479028,92.520422
S00233,L0011,T02,233,4.39436,97.462765,75.408259,158.827252,80.954804,0.408162,408.485968,2.75951,51.441874,28.811949,95.676385
S00163,L0008,T02,163,4.336988,112.903106,121.01397,196.52175,63.335069,0.386629,429.870338,3.730878,51.902524,29.461971,91.997484
S00270,L0013,T03,270,2.476031,72.77323,127.621508,156.982774,123.829923,0.475296,302.738672,2.354525,43.467231,28.975851,96.853771
S00219,L0010,T01,219,2.482478,101.444581,132.364941,205.650447,139.788369,0.657249,342.399383,4.745339,42.624309,38.737275,92.394232
S00093,L0004,T04,93,2.582027,86.165293,90.704716,224.870601,23.26572,0.699282,361.398605,5.843299,39.849727,23.403514,91.71709
S00642,L0032,T02,642,3.426452,127.798869,105.359115,202.328907,36.783213,0.403562,407.622854,4.348898,37.699872,24.296665,97.250244
S00782,L0039,T01,782,2.662287,133.600367,142.96925,154.02572,7.097594,0.701884,388.126713,2.049845,48.284991,28.740184,94.136467
S00797,L0039,T02,797,2.778326,106.572842,98.284167,210.017051,80.755558,0.559134,349.521201,3.7321,41.642686,34.900328,92.221881
S00049,L0002,T01,49,3.947554,140.969112,108.529046,189.948859,48.257046,0.409827,442.930932,3.230788,49.399091,29.231009,92.683471
S00721,L0036,T02,721,4.197831,83.41281,,126.633292,33.143476,0.201409,400.784094,2.747574,49.828221,16.728612,96.903466
S00273,L0013,T03,273,2.94835,129.239087,65.04849,184.854064,60.091737,0.530439,384.492385,2.733241,46.421998,30.615318,94.599295
S00242,L0012,T01,242,3.496579,77.068068,82.768078,155.771566,49.757794,0.60242,374.414598,1.841678,54.103093,28.740283,94.207512
S00197,L0009,T01,197,3.530062,91.311107,136.199011,127.090196,79.227519,0.427454,371.178061,1.344057,52.081921,31.758846,97.107582
S00660,L0033,T01,660,4.269389,95.353722,83.434199,137.786554,33.082251,0.728148,404.932624,1.055992,65.728788,28.103321,91.895184
S00575,L0028,T01,575,2.4103,144.758915,137.775712,156.914896,108.394278,0.460149,345.663209,1.946282,39.858671,30.996019,96.3504
S00422,L0021,T01,422,2.274511,115.684555,138.674717,131.216787,117.274334,0.23148,298.297222,2.018984,32.613947,25.960609,97.09825
S00458,L0022,T01,458,4.475906,99.279152,136.233859,125.599375,101.869046,0.291115,396.146715,2.016032,53.090599,28.479316,94.491574
S00790,L0039,T01,790,3.668651,138.09882,83.112886,183.270011,56.528098,0.296262,435.242416,3.257929,48.056727,20.754597,97.05109
S00019,L0000,T03,19,2.562213,128.265977,144.365669,156.206846,10.609689,0.542115,364.744867,2.255542,47.46774,21.61841,95.729547
S00141,L0007,T01,141,2.524648,91.223633,71.866453,123.403904,126.17568,0.735778,301.365097,-0.066427,45.308016,41.402163,92.906511
S00703,L0035,T01,703,3.24281,98.389134,82.140685,214.913974,117.712133,0.778163,362.14404,4.658403,42.89704,43.237343,98.764146
S00713,L0035,T04,713,4.237426,80.923916,83.662582,167.47254,29.07404,0.210969,410.752939,3.331441,52.764786,13.233238,94.640566
S00615,L0030,T01,615,2.307908,70.276174,136.865656,195.542395,85.515978,0.54197,315.793937,3.997932,36.624079,29.134726,92.803094
S00071,L0003,T02,71,3.054372,98.719336,68.664228,126.086196,93.022703,0.744346,336.299616,-0.133707,54.611613,33.989013,93.5983
S00402,L0020,T03,402,2.666764,118.728971,90.875341,216.623997,12.37971,0.589844,384.275959,4.858397,43.766055,24.005037,93.050337
S00291,L0014,T01,291,3.931662,131.050429,135.793568,173.392683,42.350478,0.730905,436.29452,3.17278,57.649875,34.378739,90.373572
S00643,L0032,T01,643,2.187787,127.843895,103.478279,216.757952,81.984124,0.495071,355.022698,4.68395,28.401934,33.017467,92.711682
S00096,L0004,T01,96,3.956208,138.534426,105.267911,170.859685,109.304168,0.206838,430.526895,3.026234,49.724585,26.548667,96.219677
S00148,L0007,T02,148,2.302148,93.262783,136.087282,143.290501,13.562474,0.680129,342.073224,1.176113,51.818592,27.417769,94.258018
