sample_id,lot_id,tool_id,sequence,temp_c,pressure_torr,gas_flow_sccm,cycles,chamber_age_runs,hours_since_maintenance,thickness_nm,uniformity_pct,sheet_resistance_proxy,next_run_cycle_correction
S00200,L0010,T01,200,367.700616,2.16573,199.113199,125,74.841412,75.847965,68.125645,2.58956,60.997764,8.925498
S00745,L0037,T01,745,402.219326,2.34777,177.193556,136,151.213157,117.786295,73.524272,3.209928,52.641824,-12.0
S00378,L0018,T01,378,389.925198,2.365652,194.800932,114,131.899677,88.2611,67.241876,3.185885,59.473823,12.0
S00015,L0000,T02,15,391.81881,2.39691,164.532976,113,82.894205,157.20873,67.584251,2.127821,56.905799,11.503566
S00070,L0003,T02,70,404.976007,2.447387,195.192891,109,84.857357,96.186788,70.314937,2.2253,59.940216,-1.499698
S00337,L0016,T02,337,385.153678,2.288923,189.879562,86,105.764738,144.750005,61.213043,2.781596,70.229486,12.0
S00412,L0020,T01,412,396.159182,2.305803,197.245768,135,208.707677,5.79041,74.714724,3.966286,52.786968,-12.0
S00447,L0022,T01,447,402.83993,2.262818,192.703335,88,98.014845,124.768821,65.463178,2.860993,63.313277,12.0
S00403,L0020,T03,403,396.720337,2.234789,187.377716,108,173.895544,79.815441,67.211375,3.593693,57.680465,12.0
S00598,L0029,T02,598,396.458616,2.264146,166.026489,106,178.635339,109.576363,69.51366,3.72928,56.591353,2.315906
S00761,L0038,T02,761,384.790404,2.589331,169.492949,110,69.468021,83.835121,66.257159,2.440353,63.531448,12.0
S00589,L0029,T02,589,376.18086,2.63336,184.63799,110,193.896134,12.761287,69.689437,4.054712,59.173583,1.478871
S00666,L0033,T01,666,390.475938,2.290461,165.108492,87,187.641973,137.183382,63.790027,3.511893,65.416,12.0
S00658,L0032,T01,658,387.442534,2.232068,169.408105,84,206.938599,86.924906,62.773746,4.14661,61.595478,12.0
S00194,L0009,T02,194,377.923996,2.645995,172.342638,122,227.157036,151.068747,73.871184,4.148095,51.935201,-12.0
S00105,L0005,T02,105,400.438274,2.597031,173.068711,128,94.650572,60.434528,70.937361,2.442327,56.934691,-4.463623
S00052,L0002,T01,52,390.495299,2.572798,166.464613,101,64.807817,53.806672,64.881568,2.136459,61.294223,12.0
S00505,L0025,T01,505,398.360421,2.654985,165.625153,131,172.064162,6.648316,73.486857,3.641238,50.46535,-12.0
S00563,L0028,T02,563,385.912924,2.441735,191.366878,87,66.430979,35.35325,62.833922,2.250704,70.62045,12.0
S00173,L0008,T03,173,383.981593,2.754005,185.830456,119,178.728596,,67.436132,3.883365,60.419376,12.0
S00592,L0029,T02,592,387.635751,0.25087,179.79442,134,211.766637,56.818778,74.596969,3.845138,47.563532,-12.0
S00166,L0008,T02,166,387.790097,2.407756,199.416511,108,8.63408,108.762887,66.779829,2.128025,63.636365,12.0
S00676,L0033,T01,676,387.517883,2.908002,175.318392,90,143.937568,34.67236,63.049242,3.232719,68.745342,12.0
S00784,L0039,T01,784,386.120675,2.780987,193.815077,88,56.175463,73.202181,61.231429,2.059774,61.401377,12.0
S00561,L0028,T01,561,393.862911,2.595267,185.955082,124,200.439109,114.250389,73.849552,3.990499,49.396415,-12.0
S00018,L0000,T01,18,397.473505,2.426237,164.95839,114,93.69603,33.056277,66.36783,1.989778,60.381746,12.0
S00599,L0029,T01,599,392.270402,2.3726,163.917713,117,94.703019,126.751124,68.70023,2.470289,58.737581,6.189382
S00747,L0037,T01,747,400.151587,2.287665,174.953886,88,117.049249,79.423749,62.387205,2.772676,69.714364,12.0
S00162,L0008,T04,162,383.583781,2.408101,173.320658,137,214.820961,6.97556,78.221005,4.025082,46.761909,-12.0
S00049,L0002,T01,49,385.812068,2.516108,180.399044,100,201.47055,5.723318,66.129465,4.263883,65.103525,12.0
S00264,L0013,T01,264,389.414349,2.319615,171.849478,119,127.031105,141.615332,69.268975,3.286732,61.759354,3.481069
S00420,L0021,T01,420,386.080475,2.441396,179.320797,125,66.189894,68.519163,68.784239,2.314273,61.187322,5.789338
S00721,L0036,T01,721,388.854586,2.247443,160.677607,134,175.837937,126.899662,71.391366,3.483808,55.718548,-6.625552
S00229,L0011,T02,229,397.298058,2.505054,191.784867,97,150.990391,,68.888855,3.234653,59.076888,5.291169
S00474,L0023,T03,474,400.076162,2.348561,174.104747,135,26.983688,153.504746,70.393256,1.416062,57.066057,-1.872648
S00149,L0007,T01,149,398.120559,2.559144,180.475672,140,15.067093,114.916004,75.463099,1.761588,50.669613,-12.0
S00409,L0020,T01,409,375.153905,2.584491,191.28631,96,182.094234,154.771161,64.258363,3.747741,66.489918,12.0
S00381,L0019,T04,381,379.974511,2.377711,191.739515,93,97.059657,29.527341,66.94383,2.580823,61.621098,12.0
S00633,L0031,T03,633,393.820082,2.48312,167.159738,138,7.977807,102.425432,69.475355,1.253116,59.024115,2.498309
S00151,L0007,T05,151,396.86597,2.156841,166.183076,112,67.639362,157.896175,64.285353,1.916241,67.266246,12.0
S00183,L0009,T02,183,388.76763,2.676304,175.204759,90,88.806814,34.835611,65.762585,2.731408,65.569592,12.0
S00570,L0028,T02,570,379.242298,2.751114,203.19852,115,86.766338,53.032408,69.726788,2.730108,57.114056,1.301009
S00622,L0031,T02,622,398.177531,2.382814,181.188794,121,164.756586,145.793414,73.982541,3.336812,54.162886,-12.0
S00386,L0019,T02,386,395.596339,,175.810839,119,188.69513,54.120524,73.023571,3.505833,55.575506,-12.0
S00442,L0022,T03,442,390.402486,2.029632,191.671475,95,133.610702,42.991158,64.225313,2.942485,66.136349,12.0
S00416,L0020,T05,416,388.979361,2.479079,181.999968,114,182.117043,158.564928,66.835973,3.694057,63.043691,12.0
S00365,L0018,T04,365,397.547586,2.462213,206.752554,84,54.995917,24.041771,63.02165,1.985224,64.120759,12.0
S00228,L0011,T01,228,384.866562,2.570107,186.522899,,120.244833,85.084679,67.204182,2.887112,61.120934,12.0
S00199,L0009,T04,199,388.633242,2.317582,177.391147,86,224.507627,14.943383,68.383563,4.037575,58.239463,7.697319
S00291,L0014,T01,291,395.047131,2.707651,167.091633,94,211.91052,49.930388,65.995716,3.658696,65.469044,12.0
S00407,L0020,T02,407,386.338519,2.291047,178.796636,120,125.834663,60.053929,71.437742,2.956414,53.159343,-6.84639
S00083,L0004,T02,83,392.074235,2.673695,188.196784,113,39.703867,,67.49434,2.263283,58.099731,11.931713
S00522,L0026,T03,522,383.190869,2.298314,156.16358,87,214.413997,144.008281,63.196243,3.815048,70.506896,12.0
S00553,L0027,T05,553,392.257565,2.550182,170.968503,114,21.938957,90.543923,64.110202,1.462382,65.968109,12.0
S00122,L0006,T02,122,393.727955,2.328363,187.055123,105,,158.151876,67.778501,2.519997,58.9718,10.578568
S00237,L0011,T01,237,387.91025,2.224932,167.067978,91,190.760746,94.764858,61.768783,3.866389,65.278154,12.0
S00490,L0024,T01,490,391.04834,2.331677,167.609404,133,143.851766,106.474644,73.66241,3.226166,51.505962,-12.0
S00158,L0007,T01,158,392.241599,2.388106,182.175158,126,1.147761,90.298803,69.094586,1.066473,60.85783,4.311497
S00040,L0002,T01,40,393.950513,2.49002,179.472463,131,187.241798,39.810629,73.089705,3.821171,53.926908,-12.0
S00213,L0010,T04,213,389.742342,2.573845,182.802711,96,213.375162,123.450128,70.020955,4.251045,59.238893,-0.099785
S00059,L0002,T01,59,394.000717,2.295974,159.226507,,130.286666,68.555985,68.895638,2.61909,59.428673,5.258867
S00385,L0019,T01,385,397.100104,2.45732,189.636187,131,237.49068,19.832669,75.882212,4.320587,49.132638,-12.0
S00023,L0001,T01,23,387.624221,2.352644,189.541672,131,134.270465,159.90103,74.229341,2.868789,49.905498,-12.0
S00320,L0016,T02,320,384.757864,2.623489,188.762387,102,124.475397,81.493124,67.685108,3.477353,59.108581,11.023297
S00160,L0008,T01,160,391.516558,2.626922,175.415808,106,222.891577,108.21858,69.285607,4.234123,58.320061,3.401872
S00210,L0010,T01,210,393.678986,2.371178,181.038434,109,97.271895,6.780397,67.719182,2.792733,58.915204,10.861039
S00644,L0032,T01,644,409.19078,2.317347,201.948428,128,80.489797,127.000729,70.954045,2.369662,56.603675,-4.54307
S00564,L0028,T03,564,388.838817,2.183824,184.208808,115,62.106239,58.974378,64.901216,2.707153,67.290734,12.0
S00355,L0017,T01,355,402.39735,2.450122,160.091992,92,225.323275,118.79805,66.19831,4.203033,61.359377,12.0
S00098,L0004,T01,98,385.044236,2.468421,164.273388,123,162.901242,72.521083,68.497016,3.505683,59.540407,7.157068
S00636,L0031,T01,636,378.351429,2.557564,190.301168,88,20.182821,28.091702,62.289597,1.450318,64.892536,12.0
S00274,L0013,T03,274,398.854924,2.102559,196.526826,112,212.340996,9.379808,70.60674,4.117928,56.666039,-2.889238
S00312,L0015,T01,312,404.977827,2.252297,187.570565,132,144.382098,76.575398,73.285647,2.970535,57.791616,-12.0
S00279,L0013,T04,279,388.349394,2.566383,182.114024,139,74.269702,88.005028,75.572492,2.589894,50.203658,-12.0
S00401,L0020,T02,401,400.325414,1.991398,179.127426,110,194.499948,127.555427,70.762855,3.80128,57.08032,-3.632641
S00043,L0002,T01,43,404.392425,2.051729,176.708593,114,92.146875,66.611034,67.685189,2.737263,62.132605,11.02291
S00243,L0012,T01,243,384.010245,2.598396,211.881876,129,177.45829,131.441393,72.066038,3.443451,56.261578,-9.838277
S00144,L0007,T01,144,402.269174,2.138244,166.480278,139,234.52485,72.686452,76.05571,4.27554,50.32036,-12.0
S00714,L0035,T01,714,389.212712,2.398986,172.060325,125,133.685892,82.24945,69.288591,3.132183,58.535986,3.38766
S00493,L0024,T01,493,383.573066,2.4587,181.070708,102,40.796907,108.882891,65.439139,1.886549,63.263424,12.0
S00396,L0019,T01,396,387.174855,2.481119,169.745252,108,148.2808,94.219428,66.89556,3.087374,58.700242,12.0
S00046,L0002,T01,46,385.928878,2.296922,175.9634,86,14.028554,3.828178,59.881442,1.549644,68.509194,12.0
S00069,L0003,T02,69,404.636783,2.149051,165.239067,109,222.61209,149.127922,72.031604,4.216499,55.058846,-9.674306
S00620,L0031,T03,620,385.226224,2.255598,168.029882,120,38.116863,141.41996,65.789934,1.512642,60.063183,12.0
S00500,L0025,T01,500,394.27212,2.266139,170.371589,97,25.65235,57.592605,62.625198,1.55463,67.632627,12.0
S00207,L0010,T03,207,380.576441,2.47663,189.300162,128,4.969554,67.050298,66.116319,1.422017,63.13085,12.0
S00439,L0021,T03,439,394.166417,2.591234,158.862234,91,206.675862,146.583259,65.713627,3.905106,61.192705,12.0
S00499,L0024,T02,499,396.639924,26.20677,175.876577,88,171.610592,121.657695,64.02229,3.455043,65.826947,12.0
S00313,L0015,T01,313,381.096386,2.460563,189.092648,113,218.485102,18.771973,71.768845,4.378821,55.132696,-8.423074
S00167,L0008,T02,167,394.618658,2.415702,183.346536,120,133.402175,91.235465,73.851562,3.028763,50.23305,-12.0
S00129,L0006,T02,129,403.319615,2.510933,171.665115,117,234.829824,159.07254,73.901888,4.210893,54.921163,-12.0
S00324,L0016,T01,324,406.473246,2.281991,172.198452,108,221.492183,137.839302,69.14207,4.062167,56.937793,4.08538
S00463,L0023,T02,463,385.415555,2.484628,163.072721,102,92.240378,154.638728,66.440146,2.588754,58.981318,12.0
S00728,L0036,T02,728,381.713856,2.181436,186.112942,92,131.286641,60.058315,65.589842,2.917988,60.674563,12.0
S00071,L0003,T03,71,400.429284,2.61943,170.720496,99,73.098908,156.899602,63.383699,2.658428,63.674645,12.0
S00459,L0022,T01,459,391.774413,2.791281,178.996578,134,11.755863,87.178132,69.603537,1.787627,59.128277,1.887919
S00665,L0033,T01,665,407.018138,2.542167,182.700303,117,131.246584,33.632916,69.28821,3.017322,57.025715,3.389478
S00299,L0014,T01,299,395.179496,2.372641,175.910814,134,110.446806,127.496209,73.881033,3.056531,57.30354,-12.0
S00348,L0017,T01,348,388.408547,2.383984,173.515723,112,200.245582,66.187768,69.107504,3.9467,56.939004,4.249981
S00303,L0015,T01,303,398.46132,2.293469,186.299513,124,9.823204,51.283366,69.144354,1.061472,59.65917,4.074507
S00376,L0018,T01,376,391.61637,2.255772,168.816273,134,37.237669,124.508631,70.827168,1.712108,56.088009,-3.938895
S00106,L0005,T03,106,396.734384,2.198064,179.84911,125,136.124865,110.871557,70.716954,2.983261,58.605077,-3.414069
S00492,L0024,T02,492,401.153208,2.052238,159.399115,112,29.627261,16.281969,67.782588,2.208787,60.594784,10.559103
S00161,L0008,T01,161,380.657546,2.46357,182.324022,137,39.531995,14.372071,72.572478,1.91243,52.698724,-12.0
S00725,L0036,T02,725,385.488073,2.157595,187.145345,89,158.077318,17.088988,65.805734,3.1427,63.416334,12.0
