sample_id,lot_id,tool_id,sequence,oes_peak_ratio,endpoint_slope,rf_source_w,rf_bias_w,pressure_mtorr,gas_flow_sccm,esc_temp_c,chamber_age_runs,endpoint_time_s,cd_bias_nm,selectivity,overetch_risk
S00778,L0038,T03,778,0.832942,-0.047092,941.210885,185.696183,35.718849,104.320315,20.040463,122.462601,79.362258,0.069968,4.667293,0.219057
S00618,L0030,T02,618,1.018346,-0.041751,841.859082,197.88394,29.629702,95.920447,18.24539,1.058402,69.51661,-1.418707,3.762183,0.093134
S00666,L0033,T02,666,1.080894,-0.049979,835.467484,200.929787,30.236626,111.34789,20.045041,4.422757,64.925692,-0.612862,4.03345,0.058113
S00257,L0012,T01,257,1.090765,-0.057082,789.401019,181.108136,28.282254,97.969102,16.579596,52.633134,62.361362,-0.463895,4.41338,0.055324
S00476,L0023,T01,476,1.007137,-0.045692,819.275217,185.037087,27.350173,109.326624,15.723685,48.524529,60.897401,-0.940064,4.058066,0.064708
S00396,L0019,T01,396,0.858028,-0.053678,876.967557,203.809166,33.437846,109.203633,17.676873,92.920773,55.802141,-1.779716,3.809471,0.084936
S00579,L0028,T01,579,1.001019,-0.045458,811.810878,214.167479,29.890563,108.210821,17.101526,14.886728,61.169008,-0.507286,3.479585,0.056123
S00656,L0032,T01,656,1.007464,-0.026724,833.064305,209.63345,31.299212,96.991692,18.771887,139.317195,62.353103,-2.1191,3.928996,0.094635
S00696,L0034,T01,696,0.881331,-0.029031,846.885135,186.252126,34.102049,120.640523,18.681879,,60.014052,-1.345369,4.746481,0.073842
S00198,L0009,T02,198,0.977667,-0.030839,867.463227,190.703441,26.856601,102.282377,18.740208,115.098313,65.029903,0.446662,4.185698,0.05501
S00328,L0016,T03,328,0.789865,-0.042115,836.059516,215.074652,28.501165,,16.606485,156.100903,70.240282,-1.048388,3.341165,0.09137
S00123,L0006,T01,123,1.0107,-0.049342,884.841554,186.020093,28.002398,86.032405,17.502465,126.457331,65.600172,-0.778017,3.649353,0.061359
S00773,L0038,T04,773,1.125989,-0.040837,906.959231,156.475822,25.274927,96.511294,18.543178,0.51703,66.641479,-2.232887,5.321696,0.098102
S00415,L0020,T01,415,1.020902,-0.057528,925.382656,201.248437,26.369908,110.26809,19.365358,14.940442,61.024258,-1.470969,4.170843,0.076905
S00039,L0001,T01,39,0.862387,-0.047501,815.830432,203.287194,27.216104,103.070828,18.573869,130.746159,63.069903,0.464663,3.884059,0.055338
S00332,L0016,T01,332,,-0.03919,748.197885,184.254937,24.760709,108.314474,15.648234,82.986581,58.945219,-1.69789,4.103528,0.082736
S00000,L0000,T04,0,1.010858,-0.038565,1023.534287,195.427824,27.398699,99.851707,18.590841,179.984091,67.832019,-1.220655,4.109097,0.070912
S00626,L0031,T03,626,1.092468,-0.060608,798.995926,183.3039,31.075922,81.375269,18.549877,65.724235,59.5822,-0.882292,4.047018,0.063495
S00480,L0024,T02,480,0.922525,,864.29976,203.802722,29.164831,103.875063,19.44369,138.255927,62.775552,-0.671032,3.786933,0.059237
S00534,L0026,T02,534,0.91871,-0.034483,875.68162,173.575035,24.240823,99.615701,18.030893,68.799976,60.782515,-2.406516,4.934861,0.103612
S00752,L0037,T03,752,1.079013,-0.028132,846.121994,195.222611,26.43756,110.26574,20.379425,73.958229,59.372245,-2.710203,4.718342,0.113908
S00664,L0033,T02,664,1.061754,-0.051295,677.926978,182.470229,29.497861,100.19608,18.45218,162.22458,54.817137,-2.810061,4.3878,0.117484
S00359,L0017,T01,359,0.864413,-0.037608,843.202804,157.96081,27.788567,96.95523,16.920858,172.621761,62.819089,-2.936116,5.591915,0.122136
S00619,L0030,T01,619,1.027329,-0.063631,,207.733943,33.552192,96.51261,,,64.129146,-1.193517,3.970403,0.070288
S00338,L0016,T03,338,0.873445,-0.032828,872.017555,183.259832,,119.176972,18.443554,119.804002,74.779968,-0.944612,5.639958,0.160786
S00250,L0012,T01,250,0.938226,-0.057755,946.443636,201.63367,26.654684,103.181692,17.913965,176.541324,67.566621,0.188966,3.412155,0.050505
S00157,L0007,T01,157,0.952516,-0.025094,819.802053,184.533728,26.332283,105.321199,18.703285,99.442921,65.140728,-0.652474,4.649758,0.058876
S00086,L0004,T02,86,0.995291,-0.054723,817.147641,193.954345,,100.050496,15.627306,175.193697,62.132373,-1.479301,4.820424,0.077112
S00199,L0009,T01,199,0.900918,-0.059285,865.622504,187.649039,27.031502,96.897752,18.728067,29.975024,63.93054,-2.250086,4.2167,0.098636
S00645,L0032,T01,645,0.951099,-0.052972,875.582824,177.154499,32.387825,97.392077,15.407051,154.784755,66.027839,-2.518721,4.56489,0.107317
S00068,L0003,T01,68,0.941381,-0.038279,855.244022,169.912426,27.832978,,16.366291,153.687414,63.801197,-3.069256,4.359585,0.127221
S00536,L0026,T02,536,0.962751,-0.047553,839.247974,185.445752,24.374435,109.176154,17.432073,48.519727,65.832552,-0.564507,4.293718,0.057193
S00252,L0012,T01,252,0.98058,-0.046369,832.651147,196.526477,32.636886,109.184513,16.013245,98.279465,63.749311,-1.175761,4.3667,0.069883
S00201,L0010,T01,201,1.026601,-0.065061,854.684037,212.799953,25.300951,97.329608,16.661555,148.59818,64.605588,0.549281,3.971037,0.056907
S00751,L0037,T02,751,1.264068,-0.049544,893.656919,180.958961,28.990716,104.685071,18.792962,25.438098,67.798771,-1.225357,4.421573,0.07102
S00741,L0037,T01,741,1.031568,-0.042405,,179.142925,33.364772,107.306574,17.91155,178.127106,64.21861,-1.062954,4.545237,0.06736
S00081,L0004,T01,81,0.972026,-0.042132,932.217038,198.694452,27.10815,101.749709,17.039374,38.048113,62.258196,-1.633659,4.047391,0.081046
S00550,L0027,T04,550,0.911379,-0.042738,807.788411,198.184874,22.985578,119.302758,15.112468,134.267343,63.332289,-0.302624,4.691661,0.052447
S00310,L0015,T01,310,0.902566,-0.035289,722.734144,192.017062,24.998883,109.322196,18.527565,134.141192,58.966567,-0.922292,4.382291,0.064332
S00444,L0022,T01,444,0.885554,-0.048268,838.200146,162.22524,26.550311,98.934843,17.831335,4.604837,63.683765,-2.462364,5.530297,0.105442
S00291,L0014,T01,291,1.128506,-0.039833,811.4817,226.506067,25.654257,109.920663,16.720953,173.080372,59.274471,-1.294339,3.159236,0.07263
S00261,L0013,T02,261,1.134681,-0.056798,879.218755,196.090286,28.194508,112.45509,19.192243,130.131129,67.436955,-0.212652,4.839529,0.050904
S00491,L0024,T01,491,1.112867,-0.051333,948.358819,209.283202,24.816102,114.548367,18.642929,47.636757,65.79749,0.331689,3.783627,0.052955
S00798,L0039,T02,798,1.019068,-0.047425,869.384807,218.838651,25.945213,104.2225,19.237221,43.607276,67.998585,0.362131,3.454731,0.053492
S00020,L0001,T01,20,1.072669,-0.065044,824.014428,226.686515,27.268344,99.403831,18.029253,128.06887,60.947045,-0.81109,3.030736,0.062029
S00289,L0014,T02,289,,-0.04295,859.851905,191.633759,30.030644,100.503756,17.658313,138.16238,62.89511,-1.247469,3.838902,0.071532
S00043,L0002,T02,43,0.971933,-0.032908,913.350667,204.240301,24.678591,102.719794,17.497369,74.772755,65.922675,-1.580486,3.625128,0.079671
S00047,L0002,T03,47,0.720052,-0.053146,855.840255,190.384222,28.562553,117.551491,16.534615,95.740282,77.823165,-0.069604,4.967005,0.182103
S00540,L0027,T01,540,0.942297,-0.041713,791.938026,178.92617,28.659071,119.524943,18.696475,19.807751,59.039989,-3.417497,4.619105,0.14138
S00695,L0034,T01,695,0.88466,-0.030752,823.268873,157.232372,30.014082,105.447593,16.814384,98.253246,62.92555,-2.213103,5.298214,0.097491
S00066,L0003,T04,66,,-0.038553,849.210256,195.126032,28.946919,105.949485,16.712093,161.316098,62.963104,-1.130177,4.401243,0.068853
S00026,L0001,T02,26,1.092239,-0.058331,870.852248,236.251436,26.777213,90.466349,18.156795,118.724076,63.394226,-0.154562,2.64978,0.04993
S00709,L0035,T01,709,1.180479,-0.041096,873.304501,183.542993,27.622033,103.977382,20.342602,,63.571337,-2.131297,4.465059,0.095001
S00496,L0024,T03,496,1.007608,-0.039961,944.664429,211.551704,,117.435802,17.853216,64.54264,68.847673,-0.872229,3.881315,0.071255
S00312,L0015,T01,312,1.015664,-0.033002,884.471469,176.296954,23.932773,94.831947,16.90498,137.801649,64.687937,-2.592765,5.01609,0.061071
S00632,L0031,T04,632,1.065238,-0.057001,838.034699,177.478987,32.906886,109.029859,18.711149,31.307989,63.836487,-2.899411,4.876921,0.120765
S00147,L0007,T04,147,1.064791,-0.02063,900.846819,211.198162,29.701456,92.781216,18.820681,5.071057,64.887444,-1.197688,3.304092,0.070384
S00296,L0014,T02,296,1.219081,-0.053222,856.387877,183.403639,,104.170834,18.592934,51.687836,63.709477,-1.049964,4.733526,0.067075
S00151,L0007,T01,151,1.05006,-0.053774,834.508262,,34.926153,104.705716,17.50673,160.360121,63.113052,-2.618331,4.942322,0.110703
S00119,L0005,T04,119,0.975827,-0.027966,,155.35602,28.756376,100.370567,17.881318,88.843532,60.228082,-3.016497,5.435816,0.125184
S00669,L0033,T02,669,0.91735,-0.063595,840.212511,226.880767,30.386301,108.973654,18.871696,63.841323,66.756941,0.14725,3.02342,0.049809
S00265,L0013,T01,265,,-0.050174,954.387956,200.373249,29.258761,109.790361,,108.78497,63.510699,-1.89358,3.865619,0.088085
S00755,L0037,T01,755,1.013622,-0.035815,942.763512,157.318492,28.302285,110.76611,17.146241,136.088854,68.179961,-2.996858,5.358605,0.127404
S00730,L0036,T01,730,1.13294,-0.065868,884.435326,182.54666,32.757673,113.28949,18.137524,95.160044,64.880937,-0.483465,4.788223,0.055683
S00256,L0012,T02,256,1.046054,-0.031385,889.220731,198.860777,34.192239,104.431124,18.252859,61.738311,65.755299,0.558239,4.041818,0.057075
S00687,L0034,T01,687,0.86743,-0.053349,900.252865,176.699542,29.146046,103.957234,17.377457,96.290189,63.704257,-1.759305,5.382942,0.084382
S00500,L0025,T01,500,1.021407,-0.047644,930.298821,176.685665,29.423758,104.987167,16.71526,58.108339,64.755611,-2.031211,4.870595,0.092032
S00649,L0032,T01,649,0.960386,-0.019454,831.70278,183.436767,32.40662,105.679588,18.204554,91.528875,58.868507,-3.835978,4.405357,0.16011
S00173,L0008,T01,173,1.050748,-0.037917,905.45167,198.087818,28.839467,,18.272159,70.30853,61.760184,-0.553541,4.028473,0.150307
S00283,L0014,T01,283,0.988791,-0.026491,819.496256,190.714695,29.010805,103.151307,18.343312,167.26676,58.679425,-2.42331,4.323782,0.104159
S00453,L0022,T02,453,0.975498,-0.064103,825.804275,189.443139,21.557202,110.824785,18.289341,179.010975,61.673458,-0.887146,4.150172,0.063596
S00088,L0004,T01,88,0.961207,-0.046761,934.489509,179.425731,26.71853,102.004224,16.533202,39.591417,71.250641,-1.154311,4.943228,0.108284
S00114,L0005,T01,114,0.972921,-0.032283,826.464064,196.420579,28.036219,116.133693,17.284103,61.435521,63.268731,-2.11219,4.462016,0.094428
S00723,L0036,T01,723,0.997937,-0.062977,899.346164,176.921126,23.2229,99.700864,,99.123376,65.336826,-2.028102,4.792099,0.091941
S00627,L0031,T01,627,0.920478,,842.795829,162.014003,24.57321,99.981254,16.341621,106.903157,63.440266,-2.16283,5.575592,0.095954
S00129,L0006,T01,129,0.937196,-0.057322,846.433901,199.563056,28.979497,105.376333,18.008806,58.178151,64.527599,-2.134006,4.201849,0.095083
S00458,L0022,T01,458,1.062297,-0.048941,780.498871,177.526406,28.463178,106.019508,17.758773,41.56427,60.083996,-2.555283,4.384123,0.108549
S00654,L0032,T01,654,1.094602,-0.047981,868.605614,185.997922,25.839376,112.922402,19.907562,77.440124,64.299924,-0.368228,5.035629,0.0536
S00060,L0003,T01,60,0.942302,-0.038997,794.817928,174.833531,30.599003,97.256403,17.515786,153.282062,58.465645,-2.054547,5.054,0.092716
S00763,L0038,T01,763,1.217005,-0.044152,832.453738,207.719676,32.687416,94.892459,17.776797,17.183204,66.498885,-0.778153,3.070087,0.061362
S00428,L0021,T01,428,0.986237,-0.033789,766.536836,205.206206,25.761653,114.252771,17.519434,143.797861,62.512854,-0.384359,3.830463,0.053887
S00469,L0023,T01,469,1.086545,-0.056044,755.23699,210.194149,27.894446,114.961297,,74.052323,61.502934,-0.711067,3.73382,0.060023
S00415,L0020,T01,415,1.020902,-0.057528,925.382656,201.248437,26.369908,110.26809,19.365358,14.940442,61.024258,-1.470969,4.170843,0.076905
S00078,L0003,T03,78,0.610147,-0.0388,924.82535,209.442173,29.379202,94.542306,17.665274,140.670803,74.81356,3.215902,3.393458,0.29893
S00095,L0004,T03,95,0.893742,-0.041965,877.170595,187.021218,28.680295,88.540324,17.825516,12.705676,62.936612,-1.834394,4.2832,0.086435
S00153,L0007,T02,153,0.982603,-0.062502,,186.934908,24.933839,104.933583,19.632432,103.921666,63.187073,-3.02967,5.130358,0.12569
S00049,L0002,T01,49,1.09286,-0.022256,878.086392,160.411634,31.22936,91.294338,16.364795,62.386256,61.108269,-1.427349,5.256241,0.075828
S00515,L0025,T03,515,0.776937,-0.052886,775.185652,168.069862,28.213149,99.232657,17.462521,134.10289,74.70648,1.673074,5.113529,0.196478
S00586,L0029,T03,586,0.787834,-0.06612,845.328778,167.286584,25.499864,112.211541,17.816519,129.692001,72.885312,-2.665544,5.096911,0.208455
S00288,L0014,T01,288,0.993629,-0.050874,831.955552,174.693105,25.735224,99.057554,16.958815,133.84964,64.345923,-1.903669,4.540528,0.088369
S00507,L0025,T01,507,0.847848,-0.050604,,226.602533,24.988527,106.150571,17.152728,170.288731,64.240754,-0.696381,2.627844,0.059734
S00740,L0037,T01,740,0.967407,,897.956444,172.909007,34.814548,86.706965,17.754392,42.470677,66.271164,-1.594247,4.961787,0.080025
S00783,L0039,T01,783,1.059276,-0.051436,806.267692,141.613562,30.688264,111.133937,19.486735,78.652818,59.526346,-2.740877,5.733716,0.114996
S00054,L0002,T01,54,0.994887,-0.027065,848.129882,146.290497,32.604526,107.804415,18.40342,121.816366,62.971408,-3.312081,6.080636,0.13696
S00048,L0002,T02,48,0.989321,-0.063454,863.796917,176.877578,22.111628,108.290391,17.721255,14.125938,61.60945,-2.054031,4.83585,0.092701
S00156,L0007,T04,156,0.839239,-0.059718,947.250727,188.461504,29.059739,89.165283,17.106683,39.659085,63.790858,-1.973861,4.535613,0.090368
S00001,L0000,T04,1,1.036468,-0.047878,871.634109,202.02518,36.705711,104.630406,18.047857,,66.836565,0.041082,3.662001,0.04808
S00672,L0033,T01,672,0.985392,-0.056261,869.61815,169.494698,26.94945,100.269368,17.926352,44.410432,64.647304,-1.01738,5.162996,0.066365
S00661,L0033,T02,661,1.104059,-0.045353,760.633331,176.741779,26.359844,105.841012,16.164392,115.505789,62.5451,-1.890315,4.565835,0.087993
S00558,L0027,T03,558,0.832388,-0.046651,860.263338,166.704615,27.58939,102.650644,17.581823,144.865171,75.267575,0.509539,5.08629,0.150393
S00132,L0006,T02,132,0.902931,-0.037316,983.295099,202.158057,31.425484,104.712029,17.734282,148.572871,68.406216,-0.52701,3.331741,0.059827
S00318,L0015,T04,318,0.953213,-0.030996,878.592722,206.370361,25.77049,97.950711,17.298534,48.294983,68.085699,-1.639641,3.790342,0.082166
S00445,L0022,T02,445,1.119576,-0.049376,833.462442,203.237002,28.393989,93.575143,20.251536,161.780801,61.550991,-1.942077,4.029114,0.089458
S00659,L0032,T02,659,1.04723,-0.044211,885.606122,179.698591,31.974371,101.197377,18.3414,53.93907,69.454364,-2.116123,4.45486,0.114944
S00787,L0039,T01,787,1.003214,-0.055459,818.283019,203.394447,29.593855,106.975413,,112.209888,64.438362,0.802523,4.356722,0.061855
S00570,L0028,T01,570,0.938296,-0.068559,895.218386,185.622018,24.142287,99.043759,18.494775,58.573881,67.579453,0.154159,4.558389,0.049924
S00459,L0022,T02,459,0.958653,-0.035835,869.36215,206.517093,28.161012,97.253748,18.989292,33.423282,62.344481,-1.449645,3.133439,0.076377
S00395,L0019,T04,395,0.906352,-0.076379,872.243702,178.765189,30.78004,111.713064,20.591005,25.921895,64.329637,-1.346912,4.27217,0.073879
S00124,L0006,T02,124,1.072303,-0.041417,873.678944,196.756595,24.572217,121.919727,19.488251,35.168781,62.764699,-2.962682,4.884544,0.123136
S00056,L0002,T02,56,0.968994,-0.041621,818.438403,173.777142,31.056029,86.359215,17.082632,23.458312,61.126219,-1.784677,3.954731,0.085071
S00652,L0032,T01,652,1.143752,-0.038352,890.807822,191.693059,26.100065,109.593257,16.943113,98.637798,64.560008,-0.657208,4.220428,0.058968
S00305,L0015,T04,305,0.927623,-0.046196,880.708407,184.058015,27.795394,106.240007,20.493832,173.305422,63.819802,-1.88041,4.464004,0.087715
S00341,L0017,T01,341,0.970445,-0.031597,844.489006,,29.342031,120.845938,17.464382,26.191516,63.426127,-0.26146,3.626883,0.051736
S00192,L0009,T02,192,0.921763,-0.02689,892.247378,185.970326,27.433162,117.256229,17.995547,146.206038,61.095429,-0.844276,4.402377,0.062708
S00572,L0028,T02,572,0.926133,-0.064848,793.894379,215.017017,29.271917,102.677792,16.955562,1.166968,62.798218,0.092397,3.350838,0.048908
S00600,L0030,T02,600,0.949694,-0.078134,891.269503,197.286849,28.169351,110.936006,20.444514,85.850487,64.567842,-0.584556,4.223506,0.057573
S00671,L0033,T01,671,0.870785,-0.026889,943.543351,181.351907,28.756223,110.503875,18.716673,46.665135,65.52479,-0.727961,4.748788,0.060358
S00027,L0001,T01,27,1.117755,-0.047082,873.665803,170.762887,26.017411,120.267862,17.780518,80.204196,63.520869,-1.775011,5.536998,0.084808
S00298,L0014,T01,298,1.063085,-0.047329,,186.135469,29.652644,106.724977,18.432827,39.269178,57.671757,-1.733747,5.005407,0.083694
S00443,L0022,T01,443,1.001468,-0.023128,792.388547,159.077682,32.555012,93.31516,19.251971,88.114485,61.277809,-2.29172,5.493222,0.099939
S00467,L0023,T04,467,1.045407,-0.054927,847.999198,203.765433,26.003854,96.46511,19.082873,98.044809,64.25656,0.474547,3.993197,0.055519
S00376,L0018,T03,376,1.030643,-0.025031,888.171657,181.639907,23.437676,97.895086,17.653852,48.705924,67.005244,-1.017546,4.917932,0.066369
S00170,L0008,T01,170,1.082216,-0.068075,775.924725,176.088002,27.223917,98.709189,18.451443,62.704154,64.651384,-1.037788,4.729152,0.066809
S00577,L0028,T01,577,1.050265,-0.041614,865.292264,203.756956,27.859696,112.306655,19.625153,142.122849,64.35823,-1.380097,4.244037,0.074677
S00148,L0007,T03,148,0.697848,-0.050635,861.069786,212.259286,28.153034,111.691496,16.691266,167.364938,70.075073,0.003437,3.926553,0.063713
S00567,L0028,T01,567,1.10455,-0.040155,919.059874,147.396299,29.764302,103.400888,17.749436,71.52287,64.411227,-2.942942,5.892218,0.122392
S00621,L0031,T01,621,1.060626,-0.047243,846.191515,178.454586,34.460581,103.862332,19.17725,56.071616,65.12142,-0.92965,4.916679,0.064488
S00074,L0003,T01,74,1.100384,-0.04181,804.929734,188.486728,29.39209,105.135304,20.164462,14.15722,62.074917,-3.491754,4.242999,0.144564
S00593,L0029,T01,593,0.870477,-0.048506,772.486375,240.679119,27.434312,107.794434,16.902819,159.638895,61.189474,-1.443137,1.959469,0.072841
S00258,L0012,T01,258,0.976642,-0.036333,4590.2748,200.419105,30.749691,111.517939,18.51813,41.865822,63.502662,-0.979052,4.158321,0.065539
S00141,L0007,T01,141,1.14861,-0.042677,866.632553,224.612672,28.027589,110.77311,15.742735,11.223818,62.772814,-0.198008,3.147283,0.050657
S00333,L0016,T02,333,1.091564,-0.044137,883.596763,204.829528,19.316816,112.058282,17.896325,170.89434,65.355764,-0.965109,3.986494,0.06524
S00722,L0036,T03,722,0.914883,-0.059458,908.853702,192.320025,25.038247,96.649534,18.132904,65.737988,69.408481,-0.357633,3.89159,0.065158
S00607,L0030,T01,607,1.04228,-0.055694,719.886443,175.358328,26.752991,112.750497,17.786329,76.3855,58.984678,-2.718739,4.971567,0.11421
S00090,L0004,T02,90,1.072141,-0.019932,929.32171,186.723244,27.194424,96.490092,18.922839,28.400279,66.600569,-0.313772,4.008845,0.052641
S00269,L0013,T02,269,1.095798,-0.03951,867.640703,164.412043,32.880512,98.250039,18.255573,116.816535,63.947734,-3.496054,4.934277,0.144751
S00262,L0013,T01,262,0.95633,-0.037635,784.273022,171.507519,25.518648,100.430013,19.164863,9.408348,58.254779,-2.814825,5.56837,0.117657
S00122,L0006,T03,122,0.984227,-0.046265,891.947655,186.270275,28.423086,112.634133,16.600902,89.394679,67.877998,0.315802,4.926288,0.052677
S00689,L0034,T04,689,1.027929,-0.024201,828.210194,186.886213,31.178264,112.20889,19.039381,41.048945,66.863008,-2.191192,4.778022,0.096819
S00040,L0002,T03,40,1.0632,-0.019922,920.865659,237.438213,30.811375,115.60724,18.190661,80.08547,66.739375,0.510327,2.889654,0.056179
S00563,L0028,T02,563,1.140867,-0.034443,801.326373,201.305695,24.80404,106.83139,19.466414,158.893288,59.018641,-0.440039,4.4878,0.054889
S00030,L0001,T01,30,1.023367,-0.034913,829.687071,190.328401,33.586489,96.651618,18.810378,177.398001,61.216915,-1.052108,4.926246,0.067122
S00594,L0029,T03,594,0.778184,-0.068825,768.252993,156.303177,26.346282,109.370379,15.753387,158.412892,74.548696,-1.273194,5.645825,0.17192
S00754,L0037,T01,754,0.906751,-0.031248,866.145431,169.634378,28.585201,103.153412,19.659552,51.077439,63.657783,-1.877351,4.886944,0.08763
S00642,L0032,T02,642,1.031873,-0.055228,873.873134,172.998763,25.593671,112.022633,17.655537,70.431445,63.153911,-2.973194,4.820677,0.123534
S00603,L0030,T03,603,,-0.050739,784.167231,211.78166,24.198344,112.99285,18.31349,141.229226,69.580086,0.249724,3.21812,0.06443
S00756,L0037,T01,756,0.976824,-0.075338,850.627799,202.987619,28.13224,119.21013,18.516763,60.363184,63.368821,-0.558321,3.253378,0.057077
S00182,L0009,T01,182,1.051578,-0.0582,824.577494,177.233606,31.674201,105.835643,18.585034,7.955559,64.223923,-0.506543,4.687018,0.056109
S00385,L0019,T03,385,0.685,-0.05846,854.406228,183.477561,26.950738,113.221258,19.536174,111.082337,73.777689,1.373761,4.343491,0.160767
S00598,L0029,T01,598,0.894914,-0.032992,848.675521,220.04034,28.308346,106.947819,17.336169,,63.870587,-0.819929,3.193752,0.062209
S00680,L0034,T02,680,1.101061,-0.030237,860.376373,179.425526,33.088655,110.951644,16.811124,30.266774,61.596386,-0.799843,5.170036,0.0618
S00158,L0007,T01,158,0.964554,-0.028388,801.205443,200.480185,30.102473,116.413185,17.570394,103.387418,61.678652,-1.759162,4.060158,0.084378
S00486,L0024,T04,486,1.004718,-0.030898,971.153365,223.913267,27.039246,108.407337,17.806218,162.944059,69.157311,0.896345,3.008959,0.074974
S00629,L0031,T01,629,0.930355,-0.054571,861.253403,166.210107,27.530688,113.101511,16.027785,2.382102,66.304519,-2.055889,5.106665,0.092756
S00016,L0000,T03,16,0.954324,-0.06324,788.956585,,26.59702,87.413364,18.568903,30.587009,64.411306,-1.783791,4.148778,0.085047
S00503,L0025,T04,503,1.041968,-0.03534,897.072779,236.869448,25.46224,110.445313,16.992724,80.424409,64.72591,-0.549433,2.921011,0.05691
S00397,L0019,T01,397,0.990779,-0.068611,776.574327,199.345555,29.026087,96.716707,18.105832,95.51645,63.94481,-1.183051,3.963389,0.070049
S00052,L0002,T03,52,0.787018,-0.033062,807.059686,189.709094,31.176645,90.26241,17.322064,131.275005,70.48277,-1.253071,3.45732,0.100742
S00254,L0012,T01,254,0.989431,-0.019431,901.157212,225.341388,25.975928,102.254146,17.838306,168.613801,62.366462,-0.685187,3.158529,0.059514
S00796,L0039,T02,796,1.16018,-0.030901,828.906967,196.380897,34.414582,112.636449,18.143112,52.853732,61.254409,-1.506566,4.119757,0.077794
S00011,L0000,T01,11,0.959814,-0.048826,861.163675,205.30797,32.896501,104.940027,18.457895,10.20404,61.884407,-0.143126,3.628053,0.049741
S00477,L0023,T01,477,0.997416,-0.032968,885.421492,197.807323,31.415054,98.402813,17.476876,123.387084,66.026508,-0.936175,3.957503,0.064625
S00386,L0019,T03,386,0.995172,-0.033986,751.907608,158.351949,26.865624,106.689647,16.7245,,59.166014,-3.328584,5.33432,0.137644
S00210,L0010,T01,210,1.16027,-0.049699,799.268858,228.601493,27.292189,94.937198,17.14654,139.575401,63.051111,1.094865,2.757472,0.068065
S00120,L0006,T02,120,0.915946,-0.041999,950.439956,168.108704,23.911799,99.768162,18.773764,141.936404,67.867879,-2.268312,4.92727,0.099205
