sample_id,lot_id,tool_id,sequence,pr_tone,retained_pattern_source,nominal_cd_nm,exposure_dose_mj_cm2,normalized_dose_pct,focus_um,coat_thickness_nm,softbake_temp_c,peb_temp_c,develop_time_s,developer_concentration_pct,field_x,field_y,resist_line_cd_nm,cdu_3sigma_nm,ler_nm,scum_probability,pattern_collapse_probability,defect_probability,spec_pass
S00653,L0032,T01,653,NEGATIVE,EXPOSED,50.0,80.470813,103.167709,-0.090106,112.922029,96.04724,106.247656,52.765146,2.206347,-0.213756,0.693678,51.240407,3.310557,1.487158,0.008483,0.037285,0.046039,FAIL
S00189,L0009,T02,189,NEGATIVE,EXPOSED,50.0,76.457269,98.02214,0.058929,115.781921,102.720124,106.680879,52.063694,,0.49488,-0.799739,54.403226,3.114108,1.334661,0.090498,0.017469,0.04303,FAIL
S00206,L0010,T02,206,NEGATIVE,EXPOSED,50.0,76.192019,97.682075,,100.380191,99.420259,98.937594,54.432473,2.439982,,-0.309176,51.745062,4.006756,3.085379,0.139227,0.017156,0.223641,FAIL
S00313,L0015,T01,313,NEGATIVE,EXPOSED,50.0,82.668706,105.985521,0.026891,,97.403289,108.902352,,2.31165,0.800625,-0.079227,52.512096,2.188106,2.2387,0.027012,0.016699,0.027346,PASS
S00781,L0039,T01,781,NEGATIVE,EXPOSED,50.0,74.939266,96.075982,-0.074925,112.235044,97.699465,100.543747,55.220728,2.415005,0.820079,0.819905,50.229254,4.021467,2.156506,0.195976,0.044091,0.179946,FAIL
S00214,L0010,T01,214,NEGATIVE,EXPOSED,50.0,79.726276,102.213175,0.058891,117.904229,99.062039,103.07971,54.153865,2.399757,-0.13681,0.321654,48.170021,2.782054,1.370799,0.0536,0.040408,0.031978,PASS
S00339,L0016,T02,339,POSITIVE,UNEXPOSED,50.0,94.718092,94.718092,-0.01022,118.449412,96.334318,109.900246,67.666382,2.309887,0.082378,-0.343964,50.485352,2.158889,1.314846,0.016399,0.217538,0.02578,FAIL
S00050,L0002,T01,50,POSITIVE,UNEXPOSED,50.0,99.701263,99.701263,0.017347,112.441694,95.479864,109.634019,36.51028,2.378904,,-0.340442,52.024166,2.116193,1.186203,0.601919,0.030314,0.071249,FAIL
S00372,L0018,T02,372,NEGATIVE,EXPOSED,50.0,78.284328,100.364524,0.066695,109.447573,103.032189,109.293337,58.368193,2.374397,-0.056188,-0.601121,52.884463,2.547669,2.052406,0.032112,0.024051,0.034369,PASS
S00673,L0033,T03,673,NEGATIVE,EXPOSED,50.0,77.651057,99.552638,-0.031418,115.875477,101.368805,102.37164,51.924293,2.365581,0.899716,-0.204582,52.063651,3.031899,1.757855,0.09709,0.013258,0.050639,PASS
S00682,L0034,T01,682,POSITIVE,UNEXPOSED,50.0,102.020464,102.020464,-0.014966,132.645028,102.19912,111.522569,42.096171,2.360951,-0.66371,-0.31192,53.469676,2.705947,1.468996,0.470916,0.013717,0.08955,FAIL
S00260,L0013,T01,260,NEGATIVE,EXPOSED,50.0,77.197833,98.971581,-0.043018,116.673598,98.059417,105.983379,45.625507,,0.980493,0.25498,51.699225,2.979731,1.418695,0.093284,0.025576,0.041415,PASS
S00247,L0012,T01,247,POSITIVE,UNEXPOSED,50.0,,95.97465,-0.076818,132.36192,101.440369,107.2282,50.947406,2.433983,0.656397,0.408526,50.456928,3.710261,1.822408,0.410888,0.087311,0.221803,FAIL
S00063,L0003,T01,63,NEGATIVE,EXPOSED,50.0,,97.454436,,128.828722,100.283597,103.661737,52.947899,2.380816,-0.080298,-0.866625,50.482387,3.215176,1.639353,0.180886,0.055861,0.075906,FAIL
S00518,L0025,T02,518,POSITIVE,UNEXPOSED,50.0,102.538588,102.538588,0.031298,113.598171,98.162016,110.897821,56.426082,2.254239,0.014351,0.49847,48.060976,2.218912,1.546444,0.057715,0.078972,0.024498,PASS
S00579,L0028,T02,579,NEGATIVE,EXPOSED,50.0,77.62372,99.517589,0.094159,123.701696,101.22929,101.904433,57.870241,2.353743,0.788124,-0.362992,48.864263,3.876727,1.662119,0.146781,0.083725,0.124519,FAIL
S00752,L0037,T02,752,POSITIVE,UNEXPOSED,50.0,105.066907,105.066907,-0.097469,117.392071,99.861318,110.274725,52.708736,2.464292,-0.187642,0.056058,50.52517,3.463784,1.202884,0.04636,0.07492,0.054316,FAIL
S00338,L0016,T02,338,POSITIVE,UNEXPOSED,50.0,106.343372,106.343372,0.168449,111.091939,97.193738,113.329081,52.202712,2.423376,0.459265,-0.884549,50.934433,5.162373,1.77403,0.072767,0.048473,0.251367,FAIL
S00195,L0009,T02,195,POSITIVE,UNEXPOSED,50.0,109.763454,109.763454,0.014542,,96.046246,107.529216,43.970495,2.402108,-0.360204,0.35596,46.238534,2.346054,1.811282,0.122926,0.032326,0.033419,FAIL
S00215,L0010,T03,215,POSITIVE,UNEXPOSED,50.0,,103.617211,-0.04451,122.786001,97.540321,115.079688,45.025888,2.39514,0.177033,-0.360066,54.331142,2.739404,2.344788,0.22153,0.032512,0.078688,FAIL
S00235,L0011,T01,235,NEGATIVE,EXPOSED,50.0,71.939042,92.229541,-0.043496,112.391153,93.04832,104.152058,57.266851,2.271906,-0.403049,-0.738632,47.728857,2.905714,1.242809,0.262169,0.036713,0.057284,FAIL
S00654,L0032,T01,654,POSITIVE,,50.0,102.778791,102.778791,-0.010796,112.870896,97.802682,109.709554,40.326827,2.364122,0.622725,0.668327,51.714828,2.587342,1.482439,0.317542,0.008006,0.054357,FAIL
S00130,L0006,T01,130,NEGATIVE,EXPOSED,50.0,74.580223,95.615671,-0.008847,120.991366,98.829964,108.152765,54.595642,2.427261,-0.257965,0.823539,51.728503,2.59796,1.707419,0.152384,0.043726,0.043245,PASS
S00041,L0002,T03,41,POSITIVE,UNEXPOSED,50.0,101.230597,101.230597,0.007164,,97.066066,109.002582,42.858855,2.35179,0.357932,0.088682,49.668496,2.015891,1.294284,0.332197,0.0,0.031539,FAIL
S00506,L0025,T01,506,NEGATIVE,EXPOSED,50.0,72.652711,93.144501,-0.026351,121.339884,98.267959,107.639436,59.601589,2.358234,-0.638801,0.864051,49.983525,2.721087,1.691902,0.237481,0.077753,0.064332,PASS
S00246,L0012,T03,246,POSITIVE,UNEXPOSED,50.0,98.350177,98.350177,0.018358,88.818942,97.874487,111.051405,45.35126,2.329065,-0.615905,-0.394953,51.986642,2.414932,1.468661,0.194065,0.020959,0.034765,PASS
S00463,L0023,T01,463,NEGATIVE,EXPOSED,50.0,,108.408004,-0.044725,107.862008,95.751057,101.70884,51.606356,2.391637,0.860505,0.51646,52.571326,3.09615,2.128401,0.031061,0.002474,0.052925,PASS
S00690,L0034,T01,690,POSITIVE,UNEXPOSED,50.0,82.589446,82.589446,-0.109928,125.329264,95.583049,111.527486,50.719717,2.27383,0.339917,0.713311,56.572168,4.141465,1.930066,0.914251,0.052382,0.620728,FAIL
S00451,L0022,T01,451,NEGATIVE,EXPOSED,,77.352109,99.16937,0.115069,92.142599,99.219623,106.372077,,2.467342,-0.114807,-0.134264,49.154496,3.705473,1.63965,0.036518,0.0,0.067465,FAIL
S00563,L0028,T02,563,POSITIVE,UNEXPOSED,50.0,108.022675,108.022675,-0.055559,115.602466,94.225229,111.867421,47.651089,2.388278,-0.380258,-0.281337,49.506319,2.440179,1.72492,0.091834,0.037506,0.032101,PASS
S00590,L0029,T01,590,POSITIVE,UNEXPOSED,50.0,98.603934,98.603934,-0.053332,116.789695,95.929635,108.534857,50.271877,2.41936,0.629533,-0.017726,48.854284,2.58282,1.3927,0.198506,0.066566,0.043256,PASS
S00093,L0004,T03,93,POSITIVE,UNEXPOSED,50.0,96.068563,96.068563,0.070467,115.759723,97.761893,110.795631,44.309788,2.390156,0.548043,-0.518618,53.161263,3.144976,1.553152,0.535168,0.015874,0.152596,FAIL
S00034,L0001,T02,34,POSITIVE,UNEXPOSED,50.0,100.345398,100.345398,0.055843,105.331882,95.148873,111.044337,56.103931,2.427191,0.052872,0.346608,49.330398,2.811567,1.106471,0.048447,0.05879,0.029341,PASS
S00616,L0030,T03,616,NEGATIVE,EXPOSED,50.0,80.340818,103.001048,-0.034135,111.269841,90.499809,104.531069,49.445149,2.329583,0.614044,-0.388289,53.33502,2.610062,1.600603,0.0257,0.015127,0.027349,FAIL
S00666,L0033,T01,666,,EXPOSED,50.0,72.719945,93.230699,-0.050552,130.383113,100.600195,104.445707,57.237761,2.354662,0.71106,-0.223415,49.282506,3.215866,1.699168,0.30465,0.08709,0.114942,FAIL
S00515,L0025,T02,515,POSITIVE,UNEXPOSED,50.0,104.749288,104.749288,-0.079199,139.960324,98.552478,112.188757,41.262054,2.439515,-0.075023,-0.402096,53.151666,3.808272,1.343998,0.4309,0.019897,0.175446,FAIL
S00111,L0005,T01,111,NEGATIVE,EXPOSED,50.0,88.22403,113.107731,-0.045754,115.783904,97.490914,105.712888,53.305102,2.392081,0.540174,-0.425353,54.557703,2.414127,1.762401,0.0,0.030458,0.024542,FAIL
S00767,L0038,T02,767,NEGATIVE,EXPOSED,50.0,73.108953,93.729427,-0.069627,110.643411,98.256904,105.732485,54.06579,2.410895,-0.218523,-4.75514,48.872975,3.217274,1.395198,0.180009,0.040798,0.06465,FAIL
S00607,L0030,T01,607,NEGATIVE,EXPOSED,50.0,73.916874,94.765223,-0.001635,107.646108,105.867299,100.237053,62.799926,2.497803,-0.653103,0.339538,49.48677,1.652444,2.525009,0.251616,0.096308,0.045591,FAIL
S00187,L0009,T01,187,NEGATIVE,EXPOSED,50.0,77.827424,99.778748,0.051429,111.87619,93.074369,100.758775,60.219284,2.359021,,0.348397,48.823222,2.517692,1.942954,0.110924,0.065285,0.043209,PASS
S00347,L0017,T03,347,POSITIVE,,50.0,99.212487,99.212487,0.095785,103.391545,98.097046,109.287051,54.199438,2.363987,-0.794213,0.496621,52.259408,3.794384,1.135424,0.090978,0.028446,0.068853,FAIL
S00364,L0018,T02,364,POSITIVE,UNEXPOSED,50.0,99.844279,99.844279,-0.082298,105.834875,94.336411,108.921188,48.122495,2.386861,0.370696,0.703316,50.62345,3.077796,1.466229,0.187314,0.048732,0.062319,PASS
S00766,L0038,T03,766,POSITIVE,UNEXPOSED,50.0,95.442045,95.442045,-0.035772,97.949024,95.861779,108.999099,48.170165,2.381114,-0.092806,0.561328,53.019768,1.819022,1.446258,0.263078,0.021271,0.025367,FAIL
S00090,L0004,T03,90,POSITIVE,UNEXPOSED,50.0,112.666588,112.666588,-0.06056,124.002734,99.333444,109.387618,56.116092,2.345397,-0.594816,-0.980943,49.014431,3.602632,1.608137,0.0,0.131802,0.075593,FAIL
S00018,L0000,T01,18,POSITIVE,UNEXPOSED,50.0,99.107364,99.107364,0.051325,133.855398,99.305662,110.420125,43.969606,2.357635,,0.3015,51.983751,3.264087,1.235272,0.562148,0.050522,0.164406,FAIL
S00391,L0019,T01,391,,EXPOSED,50.0,76.93528,98.634975,0.020435,104.134023,102.28045,105.035594,51.671359,2.42397,-0.182771,-0.644171,50.264289,1.800445,1.4505,0.077019,0.022475,0.015068,PASS
S00555,L0027,T03,555,POSITIVE,UNEXPOSED,50.0,104.79791,104.79791,0.057469,123.860894,98.316963,112.910446,54.186997,2.402755,0.232248,-0.358204,51.579224,3.019453,1.647618,0.029638,0.069219,0.045164,PASS
S00411,L0020,T02,411,NEGATIVE,EXPOSED,50.0,70.39327,90.247782,-0.001007,121.398345,97.711993,105.211303,43.693586,2.394343,0.91707,-0.406721,49.646122,2.386714,1.431069,0.373514,0.016131,0.05325,FAIL
S00012,L0000,T01,12,POSITIVE,UNEXPOSED,50.0,97.950357,97.950357,-0.026359,117.276547,99.073287,111.284875,45.885174,2.413803,0.476638,0.563688,50.438341,2.553396,1.165188,0.371452,0.019357,0.053136,FAIL
S00501,L0025,T02,501,NEGATIVE,EXPOSED,50.0,85.221588,109.258446,0.002774,117.935221,,106.759909,50.424158,2.496708,-0.625359,-0.845308,56.150508,2.865637,1.672432,0.006276,0.042582,0.035559,FAIL
S00377,L0018,T01,377,NEGATIVE,EXPOSED,50.0,73.743479,94.542922,-0.08175,117.86219,99.559782,104.027682,61.342528,2.430304,-0.896229,0.153349,49.777896,3.653017,1.257759,0.197045,0.182671,0.102145,FAIL
S00756,L0037,T03,756,POSITIVE,UNEXPOSED,50.0,111.020871,111.020871,-0.023151,89.942331,100.734094,112.186119,48.196518,2.37287,-0.457397,-0.667802,46.519414,3.271866,1.609992,0.004896,0.012358,0.044412,FAIL
S00123,L0006,T01,123,POSITIVE,UNEXPOSED,50.0,111.41301,111.41301,-0.056767,122.123398,98.960989,106.871227,49.465563,2.331685,0.956553,0.354774,47.325218,3.762558,2.027962,0.048314,0.052959,0.099861,FAIL
S00635,L0031,T01,635,POSITIVE,UNEXPOSED,50.0,105.154752,105.154752,0.046192,120.254324,96.89647,113.526484,47.311043,2.311717,-0.888054,-0.212633,52.337922,3.113789,1.532275,0.116715,0.012705,0.050596,PASS
S00175,L0008,T01,175,POSITIVE,UNEXPOSED,50.0,92.720043,92.720043,-0.056067,127.04513,94.83362,105.924462,56.753462,2.404728,-0.936578,0.72219,50.756891,3.694148,2.297673,0.311284,0.137152,0.238344,FAIL
S00243,L0012,T02,243,POSITIVE,UNEXPOSED,50.0,101.183945,101.183945,0.119366,129.526642,94.913931,109.00667,42.460501,2.432585,-0.899913,-0.478828,51.683649,4.751601,1.363928,0.472826,0.021561,0.351338,FAIL
S00045,L0002,T01,45,POSITIVE,UNEXPOSED,50.0,97.432735,97.432735,0.113231,129.478765,98.355374,107.651452,41.124084,2.400479,-0.716814,0.632834,51.574939,4.901643,1.494355,0.695991,0.01967,0.551378,FAIL
S00562,L0028,T01,562,POSITIVE,UNEXPOSED,50.0,105.490548,105.490548,0.068634,115.276209,95.020489,108.57703,45.410025,2.352176,0.651483,-0.367401,48.718661,3.300281,1.145376,0.106925,0.047269,0.050823,FAIL
S00461,L0023,T01,461,NEGATIVE,EXPOSED,50.0,73.736246,94.533648,0.04932,112.663818,96.586728,108.888924,56.602373,2.392136,-0.763271,0.849785,52.96203,3.281006,1.952394,0.156837,0.042735,0.085384,FAIL
S00004,L0000,T01,4,NEGATIVE,EXPOSED,50.0,77.33043,99.141577,-0.02476,123.380236,98.829764,101.903902,55.244497,2.407348,-0.239237,-0.211484,47.242493,2.67777,1.804353,0.133904,0.030381,0.044761,PASS
S00095,L0004,T02,95,NEGATIVE,EXPOSED,50.0,72.21786,92.587,-0.021176,102.936511,96.519691,102.467844,50.257942,2.37263,-0.798226,-0.668525,50.937507,2.429312,1.764622,0.281956,0.032567,0.053472,FAIL
S00485,L0024,T01,485,NEGATIVE,EXPOSED,50.0,74.737291,95.81704,0.150533,104.627777,104.266612,102.864438,47.734923,2.408018,-0.152842,0.047018,49.574429,4.15673,1.428254,0.160807,0.006463,0.119748,FAIL
S00341,L0017,T03,341,POSITIVE,UNEXPOSED,50.0,99.568293,99.568293,0.071033,122.841955,97.34536,110.22352,44.532226,2.426207,-0.314807,0.190759,52.013981,3.104797,0.987107,0.394835,0.036229,0.083028,FAIL
S00686,L0034,T02,686,NEGATIVE,EXPOSED,,79.487022,101.906438,-0.003404,116.091183,100.228888,107.874384,57.900844,2.477196,-0.619688,-0.99312,53.680854,2.351204,1.574174,0.056426,0.054045,0.026019,FAIL
S00510,L0025,T02,510,NEGATIVE,EXPOSED,50.0,81.48854,104.472487,-0.02355,119.720971,95.346914,103.4093,51.565384,2.425327,-0.955232,-0.926675,55.015567,3.39093,1.476325,0.043974,0.004146,0.049631,FAIL
S00164,L0008,T01,164,NEGATIVE,EXPOSED,50.0,82.362403,105.592825,-0.002199,132.086117,97.240769,101.099709,48.356559,2.34943,-0.316699,-0.48512,48.050475,2.216861,2.173757,0.06156,0.04666,0.031951,PASS
S00098,L0004,T01,98,NEGATIVE,EXPOSED,50.0,79.687826,102.163879,-0.053385,114.892714,100.983868,104.697291,,2.362254,-0.176246,0.674644,51.244995,3.047739,1.221729,0.064227,0.005343,0.034748,PASS
S00559,L0027,T01,559,POSITIVE,UNEXPOSED,50.0,100.065352,100.065352,0.077733,118.213757,103.365464,108.879389,52.71651,2.467351,-0.307313,0.168154,50.601673,2.892653,1.298167,0.123042,0.04693,0.041272,PASS
S00711,L0035,T01,711,NEGATIVE,EXPOSED,50.0,75.26193,96.489654,0.068174,128.383931,100.369064,100.917769,62.376946,2.353412,0.86746,0.470364,47.882658,4.143541,2.10028,0.259983,0.173626,0.280735,FAIL
S00697,L0034,T02,697,NEGATIVE,EXPOSED,50.0,76.897851,98.586989,-0.109161,113.376534,97.723982,108.661541,51.357414,2.376984,-0.944385,-0.197841,51.300358,4.137564,1.893617,0.064716,0.037456,0.12491,FAIL
S00732,L0036,T03,732,NEGATIVE,EXPOSED,50.0,77.144307,98.902958,-0.073203,117.471535,94.995761,107.768125,57.024993,2.458472,0.362213,-0.423051,53.07569,3.138622,1.665908,0.099588,0.039176,0.056299,FAIL
S00426,L0021,T01,426,POSITIVE,UNEXPOSED,50.0,108.323982,108.323982,0.005032,124.111123,99.039001,108.450487,44.505754,2.357922,-0.305161,-0.719127,49.914482,2.40059,1.512722,0.086216,0.034793,0.027143,PASS
S00176,L0008,T03,176,NEGATIVE,EXPOSED,50.0,76.736173,98.37971,0.082699,84.686132,98.282472,102.285832,53.415474,2.33114,0.648603,0.864696,54.619147,3.913976,1.626913,0.078213,0.031739,0.094493,FAIL
S00476,L0023,T01,476,NEGATIVE,EXPOSED,50.0,76.963561,98.671232,-0.000386,107.897572,99.139032,105.995842,48.253712,2.443575,-0.18873,0.958395,50.147725,1.978889,1.364685,0.081769,0.028537,0.017173,PASS
S00692,L0034,T02,692,NEGATIVE,EXPOSED,50.0,67.690103,86.782183,0.052242,119.477179,100.801918,104.621695,65.700598,2.329987,0.713983,0.268257,46.727699,3.236164,1.504926,0.436293,0.162951,0.171853,FAIL
S00207,L0010,T01,207,NEGATIVE,EXPOSED,50.0,78.633097,100.811663,-0.1604,95.294969,96.585944,104.202942,63.063373,2.405453,0.985448,0.118323,50.448264,5.352071,1.14386,0.048529,0.057855,0.210636,FAIL
S00132,L0006,T02,132,NEGATIVE,EXPOSED,50.0,77.040538,98.769921,0.02861,123.555737,96.928115,106.396782,51.08601,2.359902,0.802034,0.288477,53.650538,2.821361,1.382819,0.121603,0.010164,0.037134,FAIL
S00448,L0022,T01,448,NEGATIVE,EXPOSED,50.0,73.915745,94.763776,0.015396,130.986494,98.381089,107.907317,53.965435,2.423195,0.265038,-0.071325,50.792561,2.298163,1.683017,0.207228,0.057547,0.040048,PASS
S00668,L0033,T01,668,POSITIVE,UNEXPOSED,50.0,101.408736,101.408736,0.103216,141.117805,98.393129,111.162994,50.001213,2.337681,0.912427,-0.339043,52.94136,4.571249,1.009235,0.282268,0.060628,0.198223,FAIL
S00627,L0031,T01,627,NEGATIVE,EXPOSED,50.0,73.266331,93.931193,-0.068526,131.947308,92.319434,106.200453,55.406258,2.361471,-0.944337,-0.791628,51.593674,4.301239,1.44799,0.279056,0.077928,0.205646,FAIL
S00211,L0010,T01,211,NEGATIVE,EXPOSED,50.0,78.531821,100.681822,,136.677577,97.718235,98.223638,46.475582,2.455143,-0.997844,0.970774,45.939328,4.481132,3.292495,0.156235,0.057995,0.359457,FAIL
