sample_id,lot_id,tool_id,sequence,gate_cd_nm,eot_nm,channel_dose_proxy,anneal_temp_c,contact_resistance_proxy,vth_v,ion_proxy,ioff_proxy,retention_risk,spec_yield_pct
S00554,L0027,T01,554,40.051105,1.056581,0.952907,914.36084,100.339637,0.320106,1.250123,0.001586,0.102583,89.945743
S00279,L0013,T01,279,43.051646,1.093737,1.031788,893.393582,75.309433,0.80206,1.133559,0.000446,0.116543,89.767901
S00329,L0016,T03,329,42.390993,1.017231,,936.483122,76.821383,0.353029,1.237476,0.001205,0.055661,93.711093
S00277,L0013,T02,277,40.273549,1.130283,0.934158,925.831467,72.148224,0.384443,1.328986,0.001564,0.04517,96.265625
S00639,L0031,T01,639,41.808536,1.135208,0.928819,934.225344,76.209022,0.377442,1.264238,0.001324,0.047331,94.257879
S00721,L0036,T01,721,43.68824,1.012182,1.087214,903.421797,80.150434,0.582888,1.115098,0.000597,0.027658,96.154619
S00600,L0030,T01,600,40.276061,1.215035,0.956429,908.334837,92.959634,0.342876,1.178655,0.001348,0.070009,94.102325
S00678,L0033,T04,678,,1.101428,1.039247,924.662114,87.850104,0.667778,1.096912,0.000675,0.049007,94.216631
S00264,L0013,T01,264,40.921393,1.106146,0.937518,964.414997,84.702154,0.66713,1.295901,0.000654,0.048795,93.597973
S00302,L0015,T01,302,39.415968,1.13011,0.933104,884.181702,78.39042,0.652346,1.23057,0.000675,0.04421,96.0769
S00794,L0039,T01,794,41.78332,1.234536,0.947288,940.359034,84.778732,0.593001,1.236669,0.00085,0.029627,97.234219
S00654,L0032,T02,654,41.171074,1.130209,0.997062,922.506228,82.927676,0.492575,1.172445,0.001215,0.02171,95.919061
S00280,L0014,T03,280,45.171526,1.20404,0.901632,921.674054,91.818283,0.551394,1.041747,0.000898,0.025417,98.573828
S00576,L0028,T03,576,41.595001,1.105226,0.966488,918.024061,95.581632,0.461578,1.149514,0.000859,0.0347,95.574897
S00719,L0035,T01,719,41.043361,1.212912,0.892793,936.408227,86.468982,0.63127,1.184854,0.000529,0.038379,94.216104
S00079,L0003,T01,79,42.591356,1.068218,0.97097,928.459146,96.268807,0.680569,1.156953,0.000616,0.070005,92.703742
S00183,L0009,T03,183,40.092998,1.066825,1.014221,922.641238,82.256323,0.455752,1.299506,0.000985,0.027915,96.86152
S00450,L0022,T01,450,42.361103,1.16504,0.943927,909.394781,93.417943,0.325468,1.162449,0.001335,0.079537,90.618715
S00061,L0003,T04,61,41.449099,1.277269,0.848945,907.391712,87.313886,0.440034,1.179931,0.000895,0.031061,94.573722
S00006,L0000,T02,6,37.949968,1.033573,0.990025,916.424448,79.392423,0.444569,1.309876,0.000775,0.03012,96.796241
S00282,L0014,T04,282,44.295435,1.173962,1.07632,917.323266,75.873981,0.645757,1.118974,0.000552,0.042302,97.404853
S00040,L0002,T03,40,44.584208,1.157007,1.067873,917.143157,90.682423,0.525126,1.118984,0.001611,0.020427,97.738439
S00469,L0023,T03,469,44.869312,1.078883,0.934037,945.613537,79.615841,0.392706,1.203034,0.001264,0.04274,96.051719
S00484,L0024,T03,484,41.1306,1.078779,0.933399,926.609381,83.885259,0.483434,1.174957,0.001092,0.023112,97.781954
S00108,L0005,T04,108,46.688758,1.179868,1.091959,919.69773,78.756174,0.658467,1.05213,0.000638,0.046057,95.77764
S00510,L0025,T04,510,39.719238,0.948999,,897.830561,68.284793,0.941931,1.318147,0.000251,0.259901,75.187428
S00537,L0026,T02,537,41.188729,1.02148,0.994638,904.269184,93.702931,0.159537,1.168215,0.003121,0.218035,78.891994
S00008,L0000,T01,8,44.235732,1.179269,0.889265,904.724951,94.983911,0.221414,1.060834,0.002466,0.15903,83.021867
S00001,L0000,T01,1,43.922136,1.254819,0.959511,906.419691,88.637487,0.446221,1.146389,0.001393,0.030435,97.860197
S00144,L0007,T01,144,40.989951,1.087984,0.908494,933.414241,90.159211,0.60735,1.298059,0.000696,0.035129,96.082644
S00352,L0017,T01,352,40.193448,1.283619,1.039608,942.739646,83.728316,0.628876,1.358189,0.000546,0.037765,95.687726
S00098,L0004,T02,98,44.289492,1.079451,1.047602,905.32679,90.025165,0.335632,0.997412,0.00218,0.066699,92.481384
S00214,L0010,T01,214,44.021767,1.091496,0.948452,941.093542,108.06414,1.326577,1.120023,3.8e-05,0.912798,50.0
S00372,L0018,T03,372,39.650661,1.119218,0.930981,933.02596,56.83795,-0.03693,1.445108,0.003704,0.474649,52.373463
S00452,L0022,T01,452,41.829786,,0.883121,923.6518,87.531424,0.506593,1.230883,0.00091,0.019721,97.304448
S00400,L0020,T01,400,44.193896,1.242241,0.988564,1176.857571,81.300744,0.58199,1.046049,0.000721,0.02749,96.41711
S00395,L0019,T03,395,39.872201,1.186196,1.082758,916.177559,85.785588,0.504398,1.201089,0.00129,0.02002,99.073068
S00691,L0034,T02,691,42.890417,1.176347,1.030306,910.697725,80.045266,0.573566,1.116928,0.000718,0.025956,98.095892
S00731,L0036,T04,731,44.194048,1.181154,0.986588,908.023567,74.595948,0.733825,1.148336,0.000362,0.075632,91.473364
S00641,L0032,T01,641,38.67003,1.095029,0.965283,905.786083,78.387833,0.50741,1.324804,0.000644,0.019611,99.8
S00109,L0005,T04,109,40.991864,1.2164,1.038796,950.883769,83.85657,0.659563,1.32778,0.000597,0.046395,96.157055
S00476,L0023,T01,476,41.15533,1.222791,0.925841,921.664757,69.78916,0.467277,1.237881,0.001564,0.025808,129.54256
S00466,L0023,T01,466,44.511587,1.210007,,915.477474,76.229158,0.603619,1.059225,0.000699,0.03184,97.934211
S00729,L0036,T03,729,42.733558,1.137735,0.837847,924.032098,85.953118,0.510526,1.165076,0.000891,0.019196,99.8
S00361,L0018,T01,361,,1.120557,0.96159,919.420101,86.11834,0.488417,1.155255,0.001277,0.022337,96.762305
S00735,L0036,T01,735,47.563069,1.127984,1.063865,933.053661,66.586794,0.283554,1.093971,0.002567,0.087474,90.51375
S00181,L0009,T01,181,43.124037,1.096949,1.046704,896.848509,88.335628,0.334111,1.117927,0.001173,0.063743,93.435726
S00333,L0016,T03,333,41.473541,1.208553,1.168112,905.899172,89.974313,0.42388,1.140058,0.001033,0.037038,97.366669
S00779,L0038,T02,779,40.026945,1.0802,0.965324,910.522939,91.329696,0.368924,1.230431,0.001425,0.055939,94.613279
S00633,L0031,T01,633,38.485068,1.238966,0.994798,944.023298,74.941772,0.262469,1.398725,0.00302,0.099994,88.464963
S00104,L0005,T01,104,42.529917,1.179296,0.91098,917.582757,94.035997,0.435721,1.221748,0.001427,0.039211,95.174094
S00491,L0024,T01,491,,1.134515,1.009586,929.351884,90.14033,0.612063,1.281771,0.00037,0.036241,97.354694
S00546,L0027,T04,546,36.002338,1.193548,0.914629,925.285477,79.417005,0.436144,1.428426,0.001783,0.031891,99.284622
S00071,L0003,T04,71,39.820342,1.216246,0.959595,951.358375,104.891977,1.595617,1.163768,2.9e-05,0.984024,50.0
S00606,L0030,T01,606,42.408024,1.114538,1.088431,932.587869,72.703045,0.373999,1.237418,0.001836,0.04843,95.74763
S00564,L0028,T01,564,42.442153,1.1998,1.090071,913.10197,73.649639,0.656981,1.215542,0.000689,0.045602,95.581267
S00359,L0017,T03,359,42.850664,0.99818,1.016735,886.621696,,-0.20601,0.948912,0.006972,0.795817,50.0
S00278,L0013,T03,278,37.586507,1.145388,1.039516,924.626337,71.624001,0.395115,1.393823,0.001324,0.042055,95.867932
S00401,L0020,T04,401,38.432365,1.037184,0.957035,938.452029,91.911082,0.748065,1.311111,0.000301,0.093923,92.416475
S00457,L0022,T02,457,38.927342,1.20919,1.01067,936.852086,67.626121,0.102078,1.407969,0.00244,0.254539,73.324549
S00527,L0026,T01,527,43.491615,1.029304,0.735498,925.321003,70.073143,0.343276,1.200076,0.001493,0.05936,94.079548
S00056,L0002,T02,56,43.08157,,0.963139,910.488077,99.125615,0.267966,1.117252,0.002035,0.1363,86.033308
S00403,L0020,T03,403,43.967205,1.1549,0.965215,944.803002,81.527003,0.495371,1.148674,0.001008,0.021298,97.496323
S00597,L0029,T04,597,37.75601,1.211542,1.084302,891.340521,88.362997,0.272521,1.261454,0.002423,0.094924,91.750481
S00187,L0009,T02,187,43.366218,1.265845,0.929867,931.36935,89.279176,0.670173,1.193984,0.000423,0.051955,96.499829
S00017,L0000,T03,17,43.681114,1.190058,0.965356,931.77046,84.308458,0.582735,1.204882,0.00061,0.027629,97.962005
S00500,L0025,T01,500,43.751948,,0.972486,905.842901,76.16174,0.612686,1.204015,0.001135,0.033856,97.613343
S00070,L0003,T03,70,46.88209,1.272682,0.960896,931.594397,86.569712,0.670103,1.025494,0.000752,0.049771,94.619511
S00007,L0000,T01,7,41.600159,1.099841,1.005135,919.342728,67.901097,0.514568,1.228179,0.001079,0.01867,99.182985
S00270,L0013,T02,270,41.60191,1.022421,1.1034,913.409427,90.890936,0.401707,1.170794,0.001927,0.044329,96.767283
S00535,L0026,T02,535,38.688511,0.982107,0.967661,891.378357,80.836771,0.498029,1.275767,0.000557,0.020914,97.633531
S00388,L0019,T04,388,41.456103,,1.019525,929.736835,88.682494,0.638253,1.193804,0.000608,0.041157,97.06239
S00616,L0030,T01,616,40.141109,1.026069,0.92592,921.864085,91.258656,0.481284,1.172013,0.000931,0.026213,98.152458
S00456,L0022,T04,456,43.882379,1.142337,1.034936,908.186567,93.02476,0.410237,1.087823,0.001047,0.044968,94.911373
S00659,L0032,T01,659,41.285977,1.113397,0.954138,905.589722,80.007349,0.550716,1.114396,0.00082,0.022205,97.104583
S00793,L0039,T02,793,40.768506,1.184117,1.115894,924.472754,97.773751,0.659067,1.134759,0.000453,0.063897,93.599156
S00034,L0001,T02,34,37.665343,1.122353,1.11622,925.35915,89.869594,0.561042,1.382775,0.000833,0.0254,97.715711
S00225,L0011,T01,225,44.448281,1.094996,0.907576,905.477311,64.456908,0.884212,1.200736,0.0003,0.189923,82.595855
S00443,L0022,T01,443,40.385899,1.276076,1.105252,914.255222,66.55702,0.721918,1.250013,0.000529,0.070007,91.867965
S00433,L0021,T01,433,39.412878,1.140904,1.014142,928.967522,67.095226,0.310347,1.403271,0.00297,0.073616,95.006058
S00093,L0004,T01,93,43.140589,1.259377,1.049712,903.918734,86.476993,0.446766,1.02592,0.001133,0.029674,95.172892
S00749,L0037,T03,749,41.009633,,1.169781,927.371245,89.578715,0.659044,1.235649,0.000751,0.048733,93.482514
S00733,L0036,T02,733,40.303113,1.180824,0.980084,913.775706,66.135471,0.654912,1.340012,0.000575,0.044976,95.15975
S00080,L0004,T01,80,43.882975,1.09555,0.846129,932.736908,85.305166,0.320381,1.140218,0.000935,0.022254,97.517181
S00355,L0017,T02,355,42.675214,1.183749,1.026617,929.838398,81.586363,0.540631,1.148785,0.000693,0.020723,98.287547
S00308,L0015,T02,308,43.03503,1.067754,1.015847,944.1321,69.658376,0.068921,1.203897,0.004033,0.30102,69.542428
S00532,L0026,T04,532,43.108171,1.2007,0.943262,911.33238,91.827486,0.477873,1.127105,0.001348,0.027354,97.180656
S00050,L0002,T03,50,41.829056,1.152417,0.969892,899.330448,89.773532,0.272079,1.166703,0.002057,0.099528,90.874228
S00602,L0030,T04,602,46.199866,1.126319,0.978455,922.566676,77.771655,0.562019,1.155526,0.000775,0.023989,97.62205
S00672,L0033,T02,672,38.128249,1.254184,1.08819,909.668442,78.826931,0.578231,1.346908,0.000596,0.026795,96.445347
S00469,L0023,T03,469,44.869312,1.078883,0.934037,945.613537,79.615841,0.392706,1.203034,0.001264,0.04274,96.051719
S00405,L0020,T02,405,39.43578,1.221446,0.938766,921.503955,105.077848,0.550253,1.314955,0.000714,0.039525,96.701522
S00454,L0022,T02,454,41.085988,1.151933,0.995159,,76.392034,0.662152,1.277025,0.000686,0.047203,95.551977
S00526,L0026,T04,526,44.437408,1.041128,0.978492,922.347926,,0.526726,1.108708,0.001012,0.018837,97.786842
S00661,L0033,T04,661,43.118641,1.22659,0.985788,922.869123,86.775435,0.607623,1.101511,0.001023,0.032716,96.757226
S00393,L0019,T01,393,,1.109528,0.857152,931.684504,82.568739,0.469812,1.260432,0.000984,0.025365,96.084223
S00374,L0018,T01,374,46.610519,1.174342,0.954461,902.722435,82.559454,0.538104,0.974417,0.000637,0.020367,96.942957
S00417,L0020,T04,417,43.083982,1.026924,1.036297,917.14092,98.687834,0.479163,1.12821,0.00076,0.034222,98.662119
S00764,L0038,T03,764,43.876364,1.137795,0.985773,909.924486,91.721319,0.381943,1.037628,0.002044,0.051988,94.861887
S00440,L0022,T01,440,40.888462,1.310698,1.060311,912.40493,76.374948,0.609997,1.254469,0.000772,0.033246,95.569853
S00178,L0008,T01,178,45.585738,1.164175,1.079448,905.786283,74.530952,0.749945,1.164928,0.000497,0.083909,91.608497
S00269,L0013,T01,269,42.600829,1.081016,1.038413,910.210711,85.455467,0.462459,1.14162,0.001038,0.026669,98.269916
S00022,L0001,T01,22,41.99155,1.15887,1.115372,922.88873,83.186056,0.603348,1.266507,0.000581,0.031782,96.669379
S00425,L0021,T02,425,42.518293,1.094693,0.997394,917.815231,85.271902,0.512893,1.164881,0.001129,0.018886,97.469155
S00265,L0013,T03,265,43.978577,1.111517,0.998815,929.612843,85.548674,0.590424,1.15451,0.000438,0.029113,97.793509
S00728,L0036,T01,728,40.633091,1.172792,1.03095,895.859023,80.160862,0.601958,1.226151,0.00079,0.031484,95.754398
S00720,L0036,T02,720,42.50735,1.144926,1.078699,917.330714,74.182176,0.613734,0.453445,0.00052,0.034097,95.841521
S00498,L0024,T01,498,44.328633,1.229651,1.018675,918.97285,,0.545568,1.128411,0.000814,0.021436,97.649352
S00506,L0025,T02,506,39.869427,1.406883,0.986293,928.231017,79.663598,0.563212,1.328016,0.00064,0.024186,96.499472
S00486,L0024,T02,486,42.286962,1.037357,1.04755,881.131708,108.486312,-1.024016,1.050789,0.159127,0.999461,50.0
S00088,L0004,T01,88,42.282419,1.259612,0.886725,907.768636,95.577239,0.246128,1.074357,0.002713,0.139711,85.798983
S00351,L0017,T01,351,42.319283,1.099943,1.065751,940.396108,67.567103,0.110799,1.330193,0.002351,0.24313,75.182627
S00528,L0026,T04,528,42.898896,1.237731,0.952755,917.752663,76.979601,0.584565,1.223961,0.000921,0.027976,98.690272
S00196,L0009,T01,196,41.991496,1.130477,0.969696,923.761174,86.249965,0.524347,1.224641,0.000931,0.018532,97.098039
S00629,L0031,T04,629,40.695994,1.088902,1.05726,911.464418,75.841204,0.663921,1.180392,0.000569,0.047763,94.8703
S00120,L0006,T01,120,38.577673,1.231306,0.930359,910.625439,79.991303,0.499054,1.301343,0.000913,0.020767,99.525478
S00356,L0017,T02,356,43.164321,1.270483,0.840579,890.89312,85.801136,0.356096,1.090885,0.001283,0.054543,94.979684
S00487,L0024,T03,487,45.466198,1.295524,1.086129,912.795018,76.558231,0.704224,1.122263,0.000416,0.062361,92.646179
S00628,L0031,T01,628,43.768356,1.199614,1.010942,911.389984,101.674801,0.339834,1.06625,0.001634,0.094471,92.537979
S00263,L0013,T01,263,43.994853,1.120483,0.939001,924.804697,87.852325,0.574397,1.197122,0.000791,0.026104,99.707383
S00464,L0023,T01,464,37.831141,1.127847,1.008759,928.713161,70.201453,0.324488,1.372538,0.000963,0.067144,91.756214
S00285,L0014,T01,285,44.186751,1.219486,,925.768671,91.567542,0.633529,1.128591,0.00036,0.043922,95.027225
S00275,L0013,T03,275,40.273987,1.190923,0.947446,936.39272,67.155347,0.125524,1.386212,0.003019,0.224668,77.516855
S00412,L0020,T03,412,43.650687,1.106876,1.110446,952.232427,85.038424,0.712472,1.199136,0.000484,0.065823,93.08597
S00153,L0007,T01,153,40.492246,1.127437,0.91855,932.655154,90.420458,0.60417,1.267439,0.000719,0.034687,97.233459
S00363,L0018,T03,363,41.628866,1.162341,1.126998,941.52137,87.482841,0.735688,1.243083,0.000303,0.076549,94.060874
S00143,L0007,T01,143,40.426447,11.39992,0.99046,1190.987277,86.54513,0.458742,1.228939,0.001061,0.027353,97.960657
S00157,L0007,T01,157,36.411198,1.048628,1.028483,931.233899,95.596556,0.690444,1.294181,0.000662,0.073033,93.104795
S00283,L0014,T01,283,42.912626,1.183132,1.114389,936.326433,71.588081,0.334563,1.180073,0.001235,0.062859,92.25977
S00634,L0031,T01,634,43.418588,1.269495,1.039329,918.81553,84.933425,0.587497,1.164063,0.00091,0.028539,97.740496
S00549,L0027,T03,549,42.335399,1.160819,1.006329,897.961526,85.506766,0.432649,1.190616,0.001117,0.032655,95.607849
S00566,L0028,T02,566,43.679191,1.08059,1.007003,923.02551,76.00349,0.502583,1.247166,0.001726,0.020271,99.348455
S00226,L0011,T01,226,44.153841,1.026799,1.111737,924.182649,101.210156,0.687278,1.04189,0.000609,0.085748,91.465549
S00066,L0003,T02,66,39.832913,1.115499,1.017334,934.687954,65.379169,0.123975,1.359962,0.002188,0.226563,77.518695
S00593,L0029,T01,593,42.314017,1.118257,0.896271,915.809243,76.068754,0.514187,1.128262,0.000907,0.018719,97.049517
S00508,L0025,T04,508,42.222073,1.106772,0.914844,906.390076,90.083107,0.375579,1.05607,0.002281,0.051361,94.333383
S00531,L0026,T02,531,39.51071,1.180415,0.989927,937.316996,81.572476,0.503265,1.24184,0.00096,0.020177,98.334386
S00429,L0021,T01,429,39.893183,0.999896,0.922764,921.179188,,0.389691,1.351998,0.001057,0.043612,96.180344
S00559,L0027,T01,559,46.728203,1.104975,1.008664,,68.850225,0.326645,1.10011,0.001719,0.066204,91.889377
