sample_id,lot_id,tool_id,sequence,photo_cd_nm,overlay_nm,etch_bias_nm,etch_depth_nm,cmp_dishing_nm,film_thickness_nm,final_cd_nm,resistance_proxy,defect_risk,electrical_result,yield_proxy
S00699,L0034,T01,699,52.318184,2.117387,-0.682994,1020.016005,31.281211,66.112052,53.371726,92.960736,0.827879,FAIL,72.893006
S00298,L0014,T05,298,50.369744,4.569926,-0.522797,960.700093,29.409121,61.212919,54.499939,93.755835,0.969937,FAIL,67.346242
S00367,L0018,T01,367,50.12826,2.14593,-3.319031,1028.403383,34.129959,65.671764,49.319835,102.11686,0.182229,PASS,93.092405
S00482,L0024,T02,482,50.751505,2.468456,0.217337,968.123753,35.317707,72.763699,56.698819,83.503924,0.990169,FAIL,68.423612
S00557,L0027,T04,557,48.150502,3.40678,-1.676462,1060.60109,39.764823,63.171747,52.723593,94.967801,0.890805,FAIL,72.437388
S00728,L0036,T03,728,49.416254,5.143239,0.555057,1035.234435,15.767298,73.085179,53.854659,88.965018,0.921679,FAIL,69.470522
S00457,L0022,T02,457,50.217577,2.155794,-1.213579,920.444193,50.638566,71.4502,53.14628,91.936747,0.922174,FAIL,69.331956
S00454,L0022,T04,454,49.840778,5.943444,-1.716194,982.856462,33.122376,68.125349,58.553825,84.170693,0.999469,FAIL,66.831439
S00324,L0016,T02,324,47.705076,6.311809,-3.203879,1020.898111,27.02416,71.380782,52.365419,94.158388,0.918263,FAIL,67.744349
S00523,L0026,T02,523,48.973333,4.355729,-3.332575,999.732239,36.340893,69.674457,52.314162,94.079226,0.881859,PASS,69.552195
S00357,L0017,T02,357,50.178519,6.82115,-2.980106,1028.486985,16.862706,74.006748,53.583916,90.025519,0.955387,FAIL,69.176001
S00675,L0033,T01,675,56.442919,1.848116,-0.619652,893.187607,39.002348,62.932401,60.27619,82.671773,0.999388,FAIL,66.495319
S00315,L0015,T01,315,43.870931,6.183303,-2.786523,979.136833,33.591609,71.291391,50.294383,98.917742,0.743746,FAIL,74.833244
S00172,L0008,T02,172,49.83049,7.138696,-0.837521,942.861183,44.644758,70.216224,64.968968,71.391395,0.999999,FAIL,64.993714
S00519,L0025,T02,519,50.103824,6.841521,0.091427,,21.872039,65.870385,59.031106,78.444584,0.99955,FAIL,68.059018
S00452,L0022,T02,452,48.710849,2.497954,-1.369104,1007.97449,35.501205,65.728535,51.801379,94.394014,0.672111,FAIL,78.373648
S00411,L0020,T01,411,48.824734,7.565846,-3.245472,932.771513,21.707604,65.089356,53.783455,91.345688,0.978654,FAIL,67.805714
S00352,L0017,T02,352,48.425365,3.647251,-2.010287,957.541459,31.474671,64.517845,54.181633,93.621226,0.948713,FAIL,67.882613
S00430,L0021,T01,430,50.152998,2.296271,-3.025479,942.928891,42.547395,72.744583,52.598341,95.201926,0.839175,FAIL,71.281479
S00107,L0005,T01,107,49.761638,5.492233,-2.884239,963.991281,20.315977,66.076061,51.055354,99.226719,0.653207,PASS,77.166612
S00593,L0029,T03,593,48.859454,2.092993,0.157056,957.155418,14.799275,72.750215,50.229122,98.099472,0.134599,PASS,94.815668
S00114,L0005,T02,114,49.240177,1.129189,-1.960648,1005.723309,65.126109,65.728946,50.907006,101.055595,0.734129,FAIL,74.852386
S00694,L0034,T02,694,47.960263,3.624026,-1.848986,1030.791719,14.439936,65.361355,49.380267,100.351174,0.133452,PASS,95.460511
S00099,L0004,T01,99,50.881398,3.099118,1.800221,934.045378,25.826803,66.578262,56.83986,88.4055,0.988871,FAIL,70.056762
S00203,L0010,T01,203,50.031962,1.879495,,981.416972,37.873775,63.962477,52.204671,95.86504,0.70942,FAIL,75.947608
S00766,L0038,T01,766,49.389976,5.065305,-0.497063,965.868602,44.084179,71.68188,59.197491,84.620239,0.999742,FAIL,67.028077
S00723,L0036,T01,723,50.93351,3.870185,-2.131086,915.197583,31.907323,74.055295,55.003476,88.015493,0.975856,FAIL,68.191618
S00087,L0004,T03,87,50.744234,2.186769,-2.348116,996.079508,53.753644,72.595074,52.884368,95.229873,0.920414,FAIL,69.828605
S00093,L0004,T01,93,48.848033,1.162746,-1.706672,985.518443,48.836597,66.490227,49.727693,104.009974,0.30819,PASS,89.073885
S00649,L0032,T02,649,49.844452,4.935379,-4.210481,983.428498,48.235762,72.311117,56.374944,88.529661,0.997921,FAIL,65.507953
S00132,L0006,T03,132,50.408522,2.880002,-1.093181,1001.885641,46.014747,67.407953,54.039147,94.174701,0.962964,FAIL,69.025814
S00446,L0022,T04,446,50.219928,4.11779,-1.3471,925.863825,57.458955,70.632147,61.707132,77.363075,0.999975,FAIL,68.901537
S00585,L0029,T01,585,50.177151,3.841806,-2.715034,1021.884618,48.998894,70.867072,56.439701,86.24963,0.996907,FAIL,67.184306
S00276,L0013,T04,276,48.236548,3.202832,0.087978,882.41929,25.496371,65.854942,53.408442,95.562736,0.854499,FAIL,70.763483
S00144,L0007,T01,144,49.488614,4.259764,-2.03599,980.065734,69.101719,66.765088,59.962235,80.244646,0.999949,FAIL,68.678833
S00173,L0008,T01,173,46.686579,5.424545,-1.378501,886.507461,34.254705,64.533065,53.209887,93.896407,0.956602,FAIL,70.410061
S00407,L0020,T02,407,49.05836,7.154508,-1.103058,970.515483,31.736808,65.158807,59.759904,81.253028,0.999873,FAIL,65.562058
S00030,L0001,T01,30,52.422539,6.427143,-3.604281,1002.802373,43.065457,69.566888,61.52161,75.245436,0.999977,FAIL,67.451798
S00560,L0028,T01,560,48.618589,2.483556,0.022357,977.992468,55.443667,67.86868,54.299869,91.41031,0.978266,FAIL,68.401795
S00243,L0012,T01,243,50.897652,2.828864,-0.433536,939.46019,36.059205,65.57962,55.09473,89.564647,0.971585,FAIL,66.256276
S00164,L0008,T01,164,49.891752,3.595234,-2.962109,1038.691153,37.784688,69.311555,53.978954,94.357685,0.956026,FAIL,68.318892
S00127,L0006,T04,127,54.354532,4.680329,-3.115307,1016.868202,24.789793,69.491556,58.083586,81.997989,0.997842,FAIL,67.944275
S00119,L0005,T02,119,48.667489,2.749866,-0.936109,996.961618,27.391245,62.822266,52.417717,96.493837,0.706435,PASS,77.479464
S00150,L0007,T01,150,49.004884,3.61627,-3.097541,1058.259296,29.388937,68.534527,49.272833,104.365145,0.242684,PASS,91.683431
S00392,L0019,T01,392,56.091142,1.73684,0.123909,1040.737755,44.513083,67.444383,59.718194,79.780096,0.999257,FAIL,65.942058
S00581,L0029,T01,581,46.728694,6.823625,-1.256883,979.233273,42.970531,67.181546,57.951661,85.027406,0.999663,FAIL,66.960094
S00691,L0034,T02,691,51.30682,3.505778,-2.902035,1005.729319,30.616012,65.849958,54.099644,96.721971,0.939414,FAIL,72.184207
S00571,L0028,T01,571,,4.029275,-1.480408,907.904879,19.119476,65.48,50.767865,98.792754,0.420441,FAIL,84.287732
S00700,L0035,T01,700,51.111358,2.093262,-0.599484,985.974036,37.967338,77.219524,53.665465,92.255721,0.896835,PASS,72.444587
S00481,L0024,T04,481,52.416281,3.815687,-2.367527,954.131122,55.593612,65.088917,60.693233,82.553895,0.999927,FAIL,65.75649
S00776,L0038,T02,776,50.109195,4.901756,-2.357523,1033.792668,4.456993,68.123399,58.67837,83.626439,0.99959,FAIL,69.153891
S00328,L0016,T01,328,49.931702,3.961717,-0.715214,978.965795,21.970547,68.94253,52.759823,96.398996,0.802027,FAIL,72.454676
S00158,L0007,T02,158,49.142109,7.218344,-2.142543,1009.51035,46.332217,67.854543,62.525287,74.887878,0.999994,FAIL,65.500345
S00026,L0001,T01,26,50.82852,6.108784,-1.965857,1032.702604,19.998804,73.95222,53.168584,93.965362,0.929809,FAIL,69.016931
S00769,L0038,T02,769,50.282051,4.25138,-1.656817,883.560926,,65.789925,57.182409,86.679289,0.998315,FAIL,66.857679
S00684,L0034,T01,684,49.247717,5.380327,-1.710719,992.372544,44.660431,71.662302,58.933995,82.493756,0.999732,FAIL,66.30383
S00187,L0009,T01,187,51.593541,3.486439,-1.136779,981.698298,36.836416,63.760689,57.022418,86.052769,0.995561,FAIL,67.229453
S00231,L0011,T05,231,51.657864,4.506284,-2.834741,948.026667,55.410598,61.428847,60.001463,81.695758,0.999906,FAIL,64.184911
S00118,L0005,T04,118,52.292518,4.825052,-0.146421,1051.565178,26.876498,68.002948,59.341229,80.85018,0.99934,FAIL,64.272791
S00688,L0034,T02,688,51.379869,3.919999,-0.21959,928.983484,37.460824,66.599104,59.462007,80.597496,0.999497,FAIL,67.209169
S00003,L0000,T04,3,52.520504,6.029514,-1.481202,969.70631,23.496911,64.834786,58.801716,86.081262,0.999288,FAIL,66.487266
S00618,L0030,T03,618,48.195217,3.244202,-0.404839,1032.96035,58.496116,70.943728,56.141675,63.440027,0.996953,FAIL,67.097446
S00487,L0024,T02,487,47.408837,3.111286,-3.452776,1017.968939,18.545856,,47.773198,106.249705,0.119365,FAIL,93.707887
S00394,L0019,T03,394,44.860773,3.772941,-4.411825,1009.683969,16.617907,69.859772,42.264357,115.673558,0.930882,FAIL,69.466999
S00413,L0020,T04,413,50.447338,3.276423,-1.263285,983.085651,43.145558,73.013182,56.241497,89.467505,0.993572,FAIL,65.85592
S00693,L0034,T02,693,48.507719,5.752523,-2.073086,965.027421,34.709716,64.883505,56.350103,90.759399,0.996914,FAIL,66.190639
S00522,L0026,T03,522,53.618882,1.88664,-2.413864,1023.939102,44.838232,67.975226,55.172677,92.748667,0.974747,FAIL,68.586134
S00422,L0021,T01,422,51.575307,3.846246,-1.924067,961.451484,42.972259,67.12487,57.301597,85.860257,0.99784,FAIL,66.41056
S00215,L0010,T01,215,48.560353,5.922218,-2.200049,998.92257,34.668764,70.85058,56.141511,87.506087,0.996615,FAIL,66.871243
S00500,L0025,T01,500,,5.638902,-1.837172,970.63897,26.432594,66.651684,55.00832,91.970967,0.985196,FAIL,69.082247
S00327,L0016,T04,327,52.583415,4.606638,-1.022897,1017.105696,38.782576,81.68397,59.764099,80.271318,0.99973,FAIL,66.890855
S00222,L0011,T01,222,49.157736,9.075086,-1.606502,865.492523,39.084561,65.555199,64.275113,70.332527,0.999999,FAIL,67.244113
S00303,L0015,T02,303,46.231714,0.020612,-0.93895,988.467489,32.948077,66.746105,46.313685,113.133796,0.193172,FAIL,94.894018
S00417,L0020,T01,417,47.681934,6.744837,-1.924262,970.154869,58.231939,74.19904,62.851149,76.369651,0.999997,FAIL,65.806718
S00403,L0020,T01,403,53.058295,2.841424,-1.984341,971.094142,18.974605,66.662971,53.407699,93.554928,0.777023,PASS,74.701904
S00389,L0019,T01,389,53.971626,,-0.296071,938.082909,49.098295,72.166734,58.745092,86.832787,0.99907,FAIL,67.644974
S00254,L0012,T02,254,51.439835,6.081515,-0.913342,945.146161,39.674736,70.208114,61.652749,75.137627,0.999971,FAIL,68.482325
S00345,L0017,T01,345,48.307478,4.202711,-1.625946,1048.890672,57.280036,68.041348,57.556601,86.267248,0.999316,FAIL,66.016306
S00307,L0015,T01,307,50.267157,6.896772,-1.487243,939.129311,31.243669,69.546476,57.885383,84.355445,0.999345,FAIL,66.02163
S00543,L0027,T01,543,48.173871,4.346499,-3.081143,965.165829,26.446519,65.182778,50.553324,99.634351,0.513282,FAIL,84.864609
S00196,L0009,T01,196,51.723954,8.689515,-1.591606,972.971031,39.631842,65.37625,65.332625,69.202416,1.0,FAIL,65.815342
S00764,L0038,T01,764,50.980478,6.509834,-2.543332,1058.657258,34.309766,59.780448,57.715563,84.09552,0.999246,FAIL,66.224985
S00701,L0035,T01,701,47.617772,4.119861,-1.640293,986.002379,35.410512,67.998482,52.625634,97.265042,0.8911,FAIL,70.157785
S00520,L0026,T01,520,51.105396,5.528133,0.273252,1027.350687,36.512231,71.167546,60.164338,78.018358,0.999853,FAIL,67.232278
S00395,L0019,T01,395,49.112513,2.554076,-1.283282,1098.853317,37.102306,72.800991,52.819758,95.875923,0.838318,FAIL,74.291983
S00156,L0007,T01,156,48.843591,4.973786,1.803206,979.901344,42.253182,72.380805,60.482903,76.753072,0.999894,FAIL,65.915639
S00747,L0037,T02,747,48.0252,3.86309,-3.309445,980.806697,42.320717,68.408766,52.129581,97.38458,1.110297,FAIL,69.133925
S00749,L0037,T04,749,50.065948,5.456275,-1.800236,1015.430174,21.709046,70.755567,56.001245,88.187831,0.990532,FAIL,65.451701
S00042,L0002,T02,42,50.180921,5.417148,-1.129478,870.60269,35.646428,63.827664,58.299649,85.71223,0.999282,FAIL,66.244912
S00513,L0025,T03,513,53.134605,3.386191,-2.493439,953.027892,28.341175,64.830526,54.75702,92.144336,0.956402,FAIL,68.631094
S00421,L0021,T02,421,56.822143,3.151063,-1.546005,952.083181,51.289275,65.822222,63.494973,73.656666,0.999987,FAIL,64.806253
S00669,L0033,T05,669,51.014589,7.44191,-0.576796,931.61191,49.08827,66.704467,66.452365,68.574131,1.0,FAIL,67.234707
S00548,L0027,T01,548,52.061309,3.396875,-0.093441,1067.684648,24.53275,68.626863,55.43416,91.252989,0.968484,FAIL,67.149087
S00263,L0013,T05,263,49.285227,3.186811,-1.664571,986.522235,44.649948,70.033998,53.149275,94.146772,0.931453,FAIL,70.976068
S00050,L0002,T02,50,53.338754,6.222852,-1.877889,,41.118311,,63.500692,72.608787,0.999994,FAIL,67.645611
S00082,L0004,T01,82,51.666457,6.178592,-0.241624,1010.85005,53.81666,,66.250686,67.446596,1.0,FAIL,67.27328
S00678,L0033,T02,678,50.079229,5.159966,-1.656225,971.371091,28.443196,62.8759,56.5192,86.362638,0.995042,FAIL,66.707384
S00549,L0027,T01,549,51.945198,5.023283,-1.087936,1046.152143,25.017659,61.485883,58.584411,83.067806,0.998775,FAIL,66.399092
S00213,L0010,T01,213,51.469683,3.315467,-1.26506,1007.660509,34.719165,69.955069,56.357285,88.930765,0.990873,FAIL,68.387908
S00574,L0028,T01,574,52.424031,3.322802,-2.818023,1071.543981,51.640024,70.981718,58.768574,83.693814,0.999474,FAIL,65.714303
S00274,L0013,T02,274,47.686813,3.948844,-1.796136,1004.99049,34.677937,71.796322,52.681547,93.929402,0.88386,FAIL,69.874096
