sample_id,lot_id,tool_id,sequence,photo_cd_nm,overlay_nm,etch_bias_nm,etch_depth_nm,cmp_dishing_nm,film_thickness_nm,final_cd_nm,resistance_proxy,defect_risk,electrical_result,yield_proxy
S00369,L0018,T02,369,50.450779,1.570895,0.436584,982.564417,47.397281,70.073454,50.18224,100.580082,0.415699,FAIL,129.372621
S00636,L0031,T01,636,48.634289,6.229819,-1.85887,955.960144,22.562398,68.402626,45.354463,111.4922,0.826465,FAIL,72.76021
S00620,L0031,T03,620,45.351798,5.921265,0.703981,911.124688,33.54814,71.465313,44.824674,109.180084,0.92056,FAIL,68.339255
S00572,L0028,T01,572,51.455921,2.901768,-2.908974,940.344369,34.767667,69.453764,47.937601,103.881111,0.208818,PASS,92.695955
S00683,L0034,T01,683,52.472638,3.418001,-1.312524,974.524872,39.337273,73.349495,50.616037,96.98748,0.597361,FAIL,80.294408
S00049,L0002,T02,49,50.767556,4.538227,1.715294,1086.426057,44.380518,70.73733,52.220626,96.791408,0.921263,FAIL,69.379893
S00403,L0020,T04,403,53.383385,2.72358,-1.907645,1028.615648,59.959446,70.484929,51.214241,98.92886,0.844851,FAIL,71.857883
S00576,L0028,T01,576,48.066351,2.678865,-2.938468,1013.217225,38.335649,69.616964,45.725444,112.350614,0.630321,PASS,76.994859
S00129,L0006,T01,129,49.5619,4.209312,-1.210019,993.856625,51.855056,71.45093,48.198875,103.924164,0.49678,FAIL,82.982077
S00655,L0032,T01,655,51.325789,7.40793,-1.240604,1007.021501,53.13554,64.735334,49.126834,105.39699,0.852895,FAIL,69.951577
S00091,L0004,T01,91,49.391919,3.715508,0.86891,1019.634516,61.054651,62.206879,50.906994,102.985135,0.876054,FAIL,71.232453
S00316,L0015,T01,316,51.449802,0.544272,-2.910394,1017.209615,34.77947,64.97765,48.082884,104.813411,0.075263,PASS,95.985709
S00471,L0023,T04,471,49.714718,2.726535,-1.991658,1062.635507,32.062144,69.069121,48.590631,103.629189,0.125963,PASS,96.447219
S00017,L0000,T01,17,49.651857,9.360813,-1.960379,933.346171,46.155195,70.732557,48.442447,100.674175,0.857776,FAIL,73.092763
S00229,L0011,T04,229,50.754633,1.215876,-2.321686,959.939696,36.631129,71.168474,48.200704,106.850352,0.099867,PASS,95.8678
S00268,L0013,T03,268,50.211515,2.80149,-1.677828,917.811804,46.421896,65.210481,49.290441,102.351866,0.36499,PASS,87.378311
S00423,L0021,T01,423,50.924765,6.398553,-1.655769,814.39093,43.727584,68.812983,49.467944,101.268952,0.742446,FAIL,73.412559
S00654,L0032,T01,654,53.583236,4.909593,-0.826249,869.587412,50.742493,58.348108,51.966148,97.335576,0.941203,FAIL,70.263874
S00707,L0035,T02,707,51.033059,5.767422,-3.879418,968.637534,44.648478,62.989952,47.777754,111.663138,0.652218,FAIL,77.398986
S00169,L0008,T01,169,47.007693,3.042698,-3.185854,1004.128283,50.618181,71.216816,43.863013,116.352717,0.945977,PASS,66.125063
S00065,L0003,T01,65,51.230347,2.650459,1.196495,992.462617,24.390197,61.537759,51.997632,99.446598,0.582312,FAIL,81.65853
S00500,L0025,T01,500,51.081035,3.584672,-1.699328,925.786944,28.54964,68.129094,49.275931,102.007136,0.232201,PASS,106.994998
S00486,L0024,T03,486,48.397926,5.824915,-1.527329,1037.669145,25.091259,70.542753,46.383418,108.677371,0.666966,FAIL,77.798791
S00303,L0015,T02,303,49.481631,4.02736,-1.583358,1016.365273,24.605562,70.038418,47.39023,105.742743,0.279576,PASS,91.992486
S00469,L0023,T01,469,50.735521,3.366993,1.469183,1027.135793,48.885021,66.681632,53.022102,92.349679,0.943827,FAIL,67.672306
S00622,L0031,T04,622,48.70613,5.431593,-1.694853,918.797586,31.344645,68.268473,46.967528,108.5892,0.597281,FAIL,82.104129
S00616,L0030,T01,616,56.743355,1.888011,-0.493898,957.479311,44.101696,66.853213,57.007337,88.771907,0.993825,FAIL,67.337188
S00740,L0037,T01,740,50.512866,16.97269,-1.385134,985.791988,41.981609,58.593483,50.042314,102.363203,0.517588,FAIL,80.775189
S00174,L0008,T01,174,51.095579,4.948607,-2.166795,901.963259,33.949471,67.641883,49.112348,99.004286,0.397468,FAIL,84.716436
S00059,L0002,T02,59,47.355176,3.52968,-0.974668,962.302756,26.607617,63.226995,46.129699,108.326972,0.487007,PASS,82.67115
S00472,L0023,T01,472,50.054341,6.829297,-1.331424,1040.687854,30.268394,66.521399,50.484707,99.318122,0.79013,FAIL,75.37618
S00777,L0038,T02,777,50.917212,5.798224,-2.267769,907.741708,39.152069,67.463427,48.071769,112.950328,0.526263,PASS,83.572292
S00071,L0003,T05,71,51.034409,7.675376,-1.530894,1038.644358,40.50487,67.063099,48.651653,106.512244,0.690618,PASS,79.031674
S00023,L0001,T01,23,50.159948,1.164199,-1.796653,948.838966,51.05723,74.292133,48.427291,105.206053,0.166617,PASS,92.334952
S00482,L0024,T03,482,48.001772,7.400258,-0.165172,913.085232,49.105566,68.472135,45.691186,109.780568,0.963665,FAIL,68.242664
S00292,L0014,T01,292,46.678403,6.097248,-2.141715,923.855119,29.989469,68.544532,43.786361,111.056807,0.95946,FAIL,68.630251
S00002,L0000,T02,2,52.339214,4.66021,-2.555692,972.2844,45.962948,65.568696,49.027814,99.900585,0.511825,PASS,83.469713
S00756,L0037,T01,756,48.83597,7.328599,-2.187433,990.302502,56.319436,72.061336,46.954482,105.55122,0.932884,FAIL,67.102065
S00589,L0029,T05,589,46.809938,6.271536,-0.873587,965.529031,52.192011,62.614878,45.660426,114.394705,0.95094,FAIL,66.839507
S00515,L0025,T02,515,49.833366,5.692199,-1.2283,974.762433,65.649565,67.51138,49.461849,103.416178,0.874538,FAIL,69.695242
S00201,L0010,T01,201,51.535608,4.169992,-2.35292,956.665152,57.383232,65.081417,48.983212,106.551488,0.603278,FAIL,79.997769
S00042,L0002,T03,42,46.031639,0.986243,-2.922336,1063.280314,23.79269,70.238968,42.676318,115.101479,0.803979,PASS,72.418849
S00015,L0000,T01,15,53.480841,7.284608,-2.655966,1005.607278,38.86469,71.607425,50.813993,98.914558,0.906092,FAIL,67.966327
S00518,L0025,T01,518,48.498482,1.287713,-1.009852,998.107975,29.138857,71.469527,46.813276,108.279673,0.187169,PASS,90.748174
S00399,L0019,T02,399,48.154771,6.011382,-1.895391,1053.633568,43.176395,70.474228,45.631679,112.213479,0.91486,FAIL,68.198206
S00045,L0002,T03,45,50.816094,2.541097,-3.235922,1040.307779,33.892379,69.07584,46.341159,109.843713,0.434048,PASS,86.908326
S00079,L0003,T01,79,49.398313,5.692696,-1.126745,966.029484,40.779983,62.5145,49.284373,104.298858,0.606377,PASS,76.937991
S00560,L0028,T01,560,46.962807,7.051778,-1.608851,966.171533,36.379549,74.621972,44.537121,110.276908,0.965924,FAIL,69.787634
S00375,L0018,T01,375,48.857155,5.080224,-1.666396,,37.194478,62.758045,47.479285,104.198487,0.537024,FAIL,82.245033
S00663,L0033,T01,663,51.354381,7.068759,-1.660537,958.5774,46.318228,66.096707,50.784188,96.569532,0.927962,FAIL,69.007809
S00704,L0035,T01,704,47.994706,1.998726,-1.977465,884.269506,37.906012,71.305038,45.222062,108.059005,0.647167,FAIL,77.526457
S00135,L0006,T04,135,51.375761,5.756734,-0.699823,968.792448,24.625683,,50.486977,101.028239,0.630538,PASS,79.967098
S00494,L0024,T03,494,50.201463,2.166993,-0.0659,897.974408,48.192941,64.069821,50.383483,102.783597,0.533088,FAIL,82.6342
S00401,L0020,T02,401,48.726129,7.194254,-0.609589,932.579242,17.702094,75.324219,47.2964,105.262753,0.543368,FAIL,82.910636
S00053,L0002,T02,53,49.887285,4.392602,-1.386721,916.967085,49.532496,69.7938,49.011679,103.656885,0.527547,FAIL,81.571761
S00076,L0003,T01,76,53.215267,2.863576,-2.248233,1005.641564,32.276951,68.983111,50.704308,98.940806,0.456929,FAIL,83.557973
S00167,L0008,T02,167,53.274361,5.467702,-0.911928,909.748595,44.51354,66.428807,52.4929,97.089923,0.957018,FAIL,69.170564
S00232,L0011,T01,232,49.550628,6.113083,-0.804732,942.081259,45.645005,76.571905,49.992977,100.024029,0.810881,PASS,72.558365
S00236,L0011,T01,236,51.848262,4.788182,0.888211,1012.975376,47.56161,68.068044,53.053188,94.288252,0.968112,FAIL,68.932767
S00558,L0027,T01,558,48.756466,3.489073,-3.048717,960.90458,38.1412,69.180326,47.218978,106.158505,0.423766,PASS,85.506504
S00066,L0003,T01,66,49.731537,3.3346,-3.259881,1008.044672,42.479148,65.6355,46.145244,110.21936,0.672767,FAIL,76.728998
S00449,L0022,T03,449,47.604327,2.789624,-2.269171,946.383323,23.065318,64.704162,46.344695,111.453502,0.320422,FAIL,89.555124
S00556,L0027,T01,556,47.966815,3.461647,-1.338217,1026.013319,37.799033,63.369076,46.490104,111.291628,0.560848,PASS,79.90298
S00706,L0035,T03,706,50.188418,1.604068,-1.328978,1014.040025,31.770913,66.82454,49.389247,105.558079,0.139509,PASS,97.31181
S00442,L0022,T01,442,49.932688,5.991187,-1.548711,947.375679,37.911989,55.587806,48.012045,108.585474,0.542784,PASS,81.5764
S00722,L0036,T01,722,51.500236,2.294889,-1.504893,1041.965397,42.573811,66.341105,49.68933,103.241534,0.33754,FAIL,88.755311
S00670,L0033,T01,670,52.683464,4.255619,0.060541,1005.378238,35.846839,75.13876,53.376949,90.76519,0.942033,FAIL,68.974038
S00020,L0001,T01,20,49.197241,0.881981,-1.742847,902.883638,21.967366,78.182912,48.465979,99.100033,0.033321,PASS,96.51723
S00430,L0021,T01,430,54.628247,1.735626,-0.396384,961.097432,39.142272,65.166736,54.409665,91.431206,0.934722,FAIL,67.225034
S00195,L0009,T02,195,51.633941,1.241076,-1.404908,,34.930738,66.221249,50.700859,98.389032,0.318725,PASS,89.49174
S00618,L0030,T01,618,50.188408,7.916484,-1.905044,957.375269,50.88611,66.061071,49.147972,107.419745,0.867557,FAIL,69.527085
S00513,L0025,T01,513,48.181617,6.456348,-1.312073,1010.388941,66.422793,72.226172,46.964853,108.404221,0.941954,FAIL,70.978443
S00085,L0004,T01,85,44.931549,0.381223,-0.956244,984.892934,28.859886,67.202139,43.722678,114.436791,0.641229,PASS,78.826974
S00600,L0030,T01,600,48.512081,2.735905,-0.46547,958.713848,47.656225,67.480932,47.820493,108.561581,0.353396,FAIL,86.809072
S00689,L0034,T03,689,46.746032,4.824303,1.043924,990.842797,16.275593,64.240719,46.735205,107.225813,0.372368,PASS,86.838428
S00701,L0035,T04,701,53.832489,3.488444,-3.025531,932.226048,56.774991,69.144466,50.096377,99.494093,0.725025,FAIL,75.038648
S00415,L0020,T03,415,49.946919,3.579116,-0.760802,910.394319,48.512837,67.163368,49.637257,101.993908,0.547014,PASS,81.408822
S00346,L0017,T01,346,50.872878,0.521051,-0.755456,975.897383,60.023164,65.601236,50.023244,102.575292,0.438892,PASS,83.579673
S00361,L0018,T01,361,52.458954,3.227134,-1.37708,955.551607,24.262268,71.691987,51.085474,97.499208,0.463817,FAIL,84.5012
S00177,L0008,T01,177,50.581635,0.93398,-1.158366,1042.604954,35.651423,78.460587,50.734745,98.976965,0.303416,PASS,91.209801
S00146,L0007,T03,146,53.053159,4.079992,-0.435353,995.095327,43.432196,65.164158,52.046134,98.6295,0.887122,FAIL,70.544641
S00697,L0034,T03,697,53.272638,3.834042,-2.069554,1049.321453,54.967377,60.909242,50.975266,101.785093,0.849251,FAIL,73.865948
S00003,L0000,T05,3,50.631375,7.365096,,945.37061,57.464511,68.082343,48.259735,107.483394,0.841183,FAIL,68.98891
S00192,L0009,T01,192,50.469082,4.368316,-1.238147,872.432525,46.200875,59.264352,48.317899,108.397997,0.413982,PASS,84.423243
S00315,L0015,T01,315,49.968606,4.59043,0.03276,915.860446,33.368,73.365398,50.467331,98.083243,0.616519,FAIL,78.953898
S00052,L0002,T01,52,,5.410401,-1.464597,979.957768,66.686737,67.165703,47.740752,107.375884,0.846817,FAIL,72.547853
S00347,L0017,T01,347,49.309867,3.405943,-1.280477,1000.200024,36.258149,69.15408,47.562774,106.707978,0.326656,PASS,88.665874
S00639,L0031,T02,639,52.127893,6.74813,0.897103,982.409249,38.838255,70.913551,53.129542,95.16994,0.979695,FAIL,64.945858
S00675,L0033,T02,675,47.26133,5.740413,-0.353001,931.373896,28.563237,63.950812,45.839917,111.706278,0.782829,FAIL,71.751496
S00308,L0015,T01,308,53.893299,2.950046,-1.987019,942.832846,13.962434,65.089823,51.303816,97.565095,0.340404,PASS,87.934165
S00650,L0032,T02,650,51.140961,4.335233,-1.84533,922.231991,44.301394,68.690811,48.179041,104.348899,0.411976,PASS,85.577389
S00546,L0027,T01,546,49.801085,3.574093,-2.530507,947.526515,43.322686,67.633905,47.830936,107.607027,0.383751,PASS,86.172443
S00520,L0026,T01,520,47.281268,3.55823,-2.722773,902.947874,65.458317,69.723129,44.328801,114.431312,0.97176,FAIL,68.967276
S00313,L0015,T03,313,49.831226,0.94286,-3.025965,946.275038,28.882414,62.239151,46.075597,109.351398,0.259675,PASS,87.700303
S00582,L0029,T04,582,52.853896,2.516627,-3.932214,975.152212,26.720832,68.346912,48.757774,100.660348,0.100503,PASS,95.913925
S00711,L0035,T02,711,44.783637,5.1121,-0.721704,970.963499,28.624652,65.808923,42.823189,118.599981,0.968209,FAIL,64.654431
S00064,L0003,T01,64,48.380633,1.822847,-1.542294,940.539327,43.400055,66.279518,48.033917,107.621421,0.194685,PASS,91.395076
S00789,L0039,T01,789,53.463819,3.222201,-1.983405,995.103319,41.528189,,50.924725,98.117202,0.662358,FAIL,78.164587
S00307,L0015,T02,307,51.97679,3.552793,-1.104441,923.019792,40.043143,66.891854,51.318236,97.771568,0.741871,PASS,75.865156
S00107,L0005,T02,107,49.728912,4.998183,-1.909131,1013.70826,28.352014,73.201314,47.698911,105.793957,0.365729,PASS,85.383779
S00410,L0020,T02,410,49.836399,6.308574,-2.26493,914.032608,26.205258,69.47507,48.571794,105.605087,0.340197,PASS,91.369413
S00238,L0011,T04,238,49.527412,2.249019,-1.173031,969.075016,47.707866,68.507047,48.815656,106.657985,0.247594,PASS,91.648653
S00126,L0006,T01,126,49.578356,5.748327,-0.234618,1035.668741,39.882893,71.262734,49.1062,104.618832,0.56593,PASS,79.722453
S00275,L0013,T02,275,49.77396,4.093268,-1.08569,895.932257,38.489896,67.557151,47.807257,107.562949,0.380626,PASS,84.196145
S00360,L0018,T01,360,49.562111,3.893928,1.005189,958.343114,49.033148,70.989514,49.756772,100.314651,0.611711,FAIL,81.076001
S00702,L0035,T03,702,53.292657,3.426251,-2.692846,1018.902873,32.117973,69.086892,49.997008,103.086452,0.37893,PASS,88.897698
S00122,L0006,T04,122,46.818601,3.149629,-2.795933,977.615734,45.852277,67.255469,44.546358,112.721321,0.891109,FAIL,72.01729
S00759,L0037,T01,759,51.78472,6.316215,-0.834816,953.643572,23.454602,70.267032,51.515154,97.344115,0.824107,FAIL,72.59899
S00698,L0034,T01,698,48.981495,6.49141,-1.929692,931.441615,39.494382,74.662273,47.274977,106.760246,0.745232,FAIL,75.901161
S00754,L0037,T01,754,52.710411,2.327624,-1.859299,962.916397,27.217247,69.58782,49.350772,101.291135,0.144921,FAIL,96.459621
S00476,L0023,T02,476,49.952169,5.065372,0.096817,1011.549952,48.343942,59.995093,50.892141,99.703319,0.864367,FAIL,74.78429
S00596,L0029,T01,596,49.966653,4.355457,0.302468,946.956053,30.367808,6.3139,48.954671,104.089823,0.267748,PASS,91.571527
S00376,L0018,T03,376,,1.656571,-1.087685,997.429059,40.283246,73.055355,48.947946,102.035251,0.157015,PASS,94.556576
S00775,L0038,T01,775,49.200424,,-0.062183,954.710346,28.682505,66.637488,49.915576,100.540539,0.104985,PASS,97.228729
S00666,L0033,T03,666,52.761856,0.128946,-0.316538,967.678735,40.665931,69.165255,52.02053,96.205253,0.527741,PASS,83.472221
S00795,L0039,T01,795,45.41176,5.820135,-2.733121,991.349841,36.850303,68.857665,43.395192,111.958749,0.976562,FAIL,66.757322
S00358,L0017,T01,358,48.10183,5.742948,-2.046328,950.591757,40.424115,67.704863,46.554965,106.523311,0.796357,FAIL,72.641854
S00637,L0031,T01,637,51.146647,4.28938,-1.121126,1001.033314,48.433949,67.124134,50.815588,99.492267,0.809468,FAIL,73.26943
S00336,L0016,T02,336,49.897563,3.799388,-0.378285,1016.700924,7.512367,64.423997,50.033075,101.187488,0.161023,PASS,95.337114
S00168,L0008,T05,168,48.202126,6.464959,-2.838219,977.801581,32.125136,73.58458,45.705846,110.399758,0.871181,FAIL,74.770631
S00380,L0019,T01,380,49.431596,7.228016,-1.993249,889.190954,42.282351,69.393316,46.766031,109.010964,0.877107,FAIL,70.885342
S00252,L0012,T01,252,49.609632,4.473758,-2.941069,907.917805,38.902184,70.228365,45.391877,112.153391,0.837441,PASS,70.614327
S00641,L0032,T04,641,50.968817,6.663373,-2.829899,916.214071,38.35078,67.820347,48.350932,106.16612,0.556524,FAIL,81.696775
S00605,L0030,T02,605,47.916769,4.717842,-1.287912,1039.932945,45.464712,65.332228,46.681529,110.312385,0.746184,FAIL,76.523495
S00202,L0010,T03,202,47.861188,6.712284,-2.025887,960.863661,41.890489,65.222609,46.761152,109.199996,0.847559,FAIL,74.232474
S00100,L0005,T03,100,49.222639,5.340768,,1033.007875,40.21809,63.117023,47.952851,106.888841,0.513262,PASS,82.201382
S00105,L0005,T03,105,51.303194,4.876805,-1.971601,917.64168,52.407156,65.024598,50.38977,101.335953,0.830443,FAIL,68.837552
S00453,L0022,T01,453,50.035013,9.302118,-1.87926,960.606645,62.617138,70.3828,46.601383,107.547615,0.984462,FAIL,72.096029
S00166,L0008,T02,166,51.327738,8.015029,-0.699907,1012.667598,24.72525,67.398481,50.608458,102.281553,0.839353,FAIL,74.19126
S00054,L0002,T02,54,45.567997,1.887958,-1.444851,965.927763,35.147979,61.456571,44.468642,113.159954,0.732591,FAIL,72.882545
S00253,L0012,T02,253,50.266789,6.200953,-2.383853,1039.811129,40.118144,65.431101,48.375437,108.373556,0.524125,PASS,81.013119
S00090,L0004,T02,90,46.7961,4.523277,-2.474745,983.758109,49.091944,64.205642,43.972309,117.847591,0.966356,FAIL,68.564942
S00774,L0038,T01,774,48.344234,6.975462,-3.517807,893.045327,30.18257,65.310626,46.109436,110.201986,0.847024,FAIL,71.634814
S00779,L0038,T02,779,50.331461,3.931211,-1.120472,900.418585,59.154724,70.018653,49.186302,105.46166,0.639131,PASS,79.848559
S00745,L0037,T02,745,48.638057,1.864216,-0.398239,1057.715983,44.663009,66.247283,49.772938,102.545793,0.33486,PASS,88.823708
S00426,L0021,T01,426,54.297905,2.353728,-2.510608,952.544602,39.330391,66.436192,50.482637,102.309837,0.452261,PASS,83.917588
S00667,L0033,T01,667,45.039316,4.065921,-2.753249,940.451832,34.433057,66.985877,42.484066,115.057277,0.971701,FAIL,69.843742
S00565,L0028,T01,565,49.594432,5.727016,-1.410399,995.445598,62.911374,68.035081,48.223623,109.000055,0.778748,FAIL,69.973147
S00272,L0013,T02,272,48.347741,6.853027,-0.387943,1052.50157,25.970492,65.720319,47.045731,107.423052,0.662768,FAIL,77.130068
S00048,L0002,T01,48,47.187406,5.038755,-1.760551,1016.058164,16.786371,68.052746,45.475337,107.50584,0.648037,FAIL,78.313918
S00089,L0004,T01,89,52.242418,4.485155,-1.955638,961.082526,56.533047,71.185533,50.633462,100.709928,0.862286,FAIL,74.711935
S00634,L0031,T03,634,50.889978,5.613535,-2.308151,927.385216,43.716651,73.574789,48.253195,104.49623,0.531944,FAIL,82.525624
S00306,L0015,T01,306,52.781526,5.623865,-2.052638,925.126648,40.836645,67.959645,50.570297,100.079576,0.807367,PASS,73.696646
S00425,L0021,T02,425,50.335731,8.075274,-1.180507,913.724969,38.941577,65.237725,48.382116,104.464622,0.704739,FAIL,76.78299
S00780,L0039,T05,780,52.833997,3.48008,-3.662944,994.754367,40.016891,72.764759,46.932896,107.831701,0.505162,PASS,83.30038
S00440,L0022,T02,440,,3.428293,-1.474565,1021.920855,50.137193,67.906748,49.530615,101.138036,0.531152,PASS,81.016799
S00055,L0002,T01,55,48.045016,4.104209,-0.304194,1001.431339,63.154908,72.579022,48.59882,104.572689,0.59856,FAIL,79.603606
S00712,L0035,T04,712,47.387961,4.089002,-2.752189,1006.059735,45.038351,63.693835,44.497499,113.897251,0.925474,PASS,70.292404
S00159,L0007,T01,159,51.627832,3.135023,-3.486183,1015.938222,44.103395,64.761796,48.307995,106.633752,0.26699,FAIL,91.855788
S00222,L0011,T02,222,54.783648,4.236493,-2.109888,1055.607965,48.761451,73.51526,53.024751,92.846309,0.961138,FAIL,69.079792
S00165,L0008,T01,165,51.070568,4.682007,-1.284329,987.390622,42.733947,66.050085,51.295091,99.397981,0.844663,FAIL,71.0482
S00385,L0019,T04,385,50.927925,4.670007,-0.459125,1016.562134,30.740777,72.02885,50.934211,97.378758,0.676912,PASS,77.89393
S00120,L0006,T02,120,51.330707,3.354916,-2.229392,1070.862307,41.076737,68.654324,48.686205,102.308721,0.253108,PASS,90.824008
S00551,L0027,T01,551,51.289758,3.764572,0.097807,,53.686373,67.013298,51.893406,98.212868,0.913847,FAIL,72.217205
S00798,L0039,T01,798,49.455435,3.39981,-1.088592,910.787725,62.292732,72.758478,47.926452,104.514768,0.602251,PASS,77.225825
S00434,L0021,T04,434,49.219323,4.732313,-0.78452,981.023041,33.520839,69.891465,48.332255,103.742666,0.29057,PASS,91.602163
S00387,L0019,T02,387,46.708602,4.792146,-0.842607,984.974345,13.13041,69.386268,45.534641,108.79762,0.562404,FAIL,81.560874
S00681,L0034,T02,681,52.690127,4.376034,-2.86956,911.203445,47.362028,61.074234,48.670351,107.316747,0.428104,PASS,85.671685
S00219,L0010,T01,219,51.538246,3.440075,-0.454082,1003.444867,30.287323,66.283495,50.288325,101.410272,0.412049,FAIL,87.156101
S00687,L0034,T01,687,50.205494,3.651722,1.341826,1043.56027,49.904136,64.434103,50.721633,100.864433,0.762296,FAIL,72.469144
S00466,L0023,T01,466,49.206401,5.88928,-2.735765,956.130151,21.820759,68.11556,46.604636,108.749714,0.590639,FAIL,80.236015
S00371,L0018,T02,371,49.62827,5.262774,-0.388433,1076.872233,18.021922,75.880442,49.337293,98.057585,0.274739,PASS,89.186681
S00450,L0022,T01,450,47.996883,3.245705,-1.483873,996.126256,55.379105,70.50697,47.506617,105.056774,0.574717,FAIL,81.623811
S00607,L0030,T01,607,47.931306,4.405821,-0.435535,1015.565649,37.075771,65.295045,47.220346,109.164509,0.511376,FAIL,82.493476
S00737,L0036,T01,737,51.007198,4.225137,-1.079828,959.650483,32.275175,71.154043,50.138388,98.251934,0.496789,FAIL,85.420552
S00245,L0012,T05,245,49.192245,6.543513,-1.57934,929.214925,36.985551,65.625762,46.740989,106.964894,0.799952,FAIL,74.221028
S00246,L0012,T04,246,46.349384,3.467574,-0.87884,964.729468,58.649833,71.558995,42.46787,110.597117,0.918005,FAIL,69.956858
S00400,L0020,T04,400,49.457991,8.326829,1.016337,936.717621,32.024907,66.622305,49.71638,103.038234,0.814806,FAIL,73.16849
