sample_id,lot_id,tool_id,sequence,field_x,field_y,reticle_id,align_quality,ambient_temp_c,overlay_x_nm,overlay_y_nm,residual_nm,spec_pass
S00639,L0031,T04,639,-0.90256,-0.140992,3,0.839732,21.963697,2.112495,-1.134797,2.397999,PASS
S00258,L0012,T01,258,-0.812989,-0.905655,1,0.805454,22.068761,-0.406672,-0.958085,1.040822,PASS
S00733,L0036,T01,733,-0.931175,0.537403,1,0.811317,21.774855,0.669179,-0.367043,0.763231,PASS
S00048,L0002,T01,48,0.738929,0.156404,3,0.794374,,5.768817,1.576666,5.980395,PASS
S00311,L0015,T02,311,-0.291059,-0.892087,3,0.755952,22.872083,1.784615,-2.912531,3.4158,PASS
S00766,L0038,T01,766,-0.166516,-0.125204,4,0.936383,20.722863,4.870609,0.489325,4.895127,PASS
S00645,L0032,T02,645,-0.90397,-0.576186,4,0.891897,22.265882,3.180492,-2.335024,3.945613,PASS
S00646,L0032,T01,646,-0.080944,-0.646774,3,0.896416,22.37205,4.880342,-2.006041,5.276546,PASS
S00082,L0004,T01,82,-0.262688,0.769642,4,0.773276,21.099776,4.330252,1.857465,4.711821,PASS
S00223,L0011,T02,223,-0.710626,-0.162406,3,0.959919,21.04247,2.82044,-0.970966,2.982894,PASS
S00273,L0013,T01,273,0.543113,-0.106662,3,0.861832,20.300004,5.29919,-1.117113,5.415659,PASS
S00714,L0035,T02,714,-0.806393,-0.848605,1,0.883412,21.239127,0.498039,-2.953073,2.994776,PASS
S00534,L0026,T02,534,0.876735,0.592297,2,0.940682,20.666783,5.6487,-0.475105,5.668645,PASS
S00591,L0029,T01,591,-0.026143,-0.60709,4,1.0,22.401842,4.537152,-2.736598,5.298558,PASS
S00515,L0025,T01,515,-0.054923,0.808682,4,1.0,21.849913,4.19324,1.215321,4.365807,PASS
S00301,L0015,T01,301,0.179517,0.592453,3,0.839274,23.193395,2.579312,-0.235425,2.590034,PASS
S00243,L0012,T02,243,-0.759002,-0.519594,1,1.0,21.971511,0.590609,-2.358805,2.431621,PASS
S00508,L0025,T01,508,-0.714657,-0.235987,1,0.93249,20.751015,0.866719,-4.27368,4.360681,PASS
S00154,L0007,T02,154,,-0.087769,,0.819927,23.503925,0.54413,-0.564059,0.783735,PASS
S00205,L0010,T01,205,-0.512129,,2,0.601288,22.258539,0.998782,1.693521,1.966108,PASS
S00344,L0017,T01,344,0.0052,0.083185,2,0.870654,21.497042,0.748196,2.424314,2.537143,PASS
S00549,L0027,T01,549,0.822839,0.121049,4,0.868622,21.139687,5.398181,1.926402,5.731612,PASS
S00229,L0011,T01,229,-0.87411,-0.407632,4,1.0,23.192098,1.856839,-0.49563,1.921849,PASS
S00335,L0016,T01,335,0.25646,-0.236106,3,0.65042,21.358624,4.02686,2.708495,4.852994,PASS
S00323,L0016,T02,323,-0.120565,0.098853,4,0.898533,21.942026,4.396576,0.956644,4.49945,PASS
S00768,L0038,T01,768,-0.604687,0.263273,3,1.0,22.323728,1.400328,0.245575,1.421698,PASS
S00038,L0001,T02,38,-0.031703,0.532791,2,0.838497,22.882027,0.235262,1.846747,1.861672,PASS
S00479,L0023,T04,479,0.266156,-0.139926,2,0.816748,20.958286,3.184325,0.134432,3.187162,PASS
S00782,L0039,T01,782,0.91638,-0.437446,1,0.863366,21.121706,14.122342,-7.18507,15.845055,FAIL
S00589,L0029,T02,589,-0.606912,0.251165,4,0.86873,21.775297,2.245656,-2.849236,3.627825,PASS
S00013,L0000,T01,13,0.479309,-0.254198,,0.812554,21.213838,3.96464,-0.563241,4.004449,PASS
S00789,L0039,T01,789,0.069268,0.421926,4,0.870887,23.241574,3.482646,2.79476,4.465368,PASS
S00136,L0006,T03,136,-0.098391,-0.025141,4,0.763261,21.728009,3.728915,0.729066,3.799519,PASS
S00718,L0035,T02,718,0.900833,0.815137,1,0.754507,22.410305,4.397876,3.115005,5.389301,PASS
S00505,L0025,T01,505,-4.32914,0.274114,1,0.829465,21.610195,0.077471,-0.54829,0.553736,PASS
S00171,L0008,T01,171,-0.938321,0.206741,1,0.821895,21.500044,3.539074,-1.671424,3.913912,PASS
S00770,L0038,T01,770,0.386939,0.234346,4,0.666365,21.691924,6.309105,1.681371,6.529304,PASS
S00140,L0007,T01,140,0.514998,0.743877,2,0.856313,22.03356,4.203049,0.265158,4.211405,PASS
S00204,L0010,T03,204,0.413534,0.333028,3,0.767647,22.606771,5.268382,-0.026389,5.268448,PASS
S00235,L0011,T01,235,-0.017142,-0.783142,,0.859376,21.042968,1.838214,-1.54053,2.398387,PASS
S00262,L0013,T03,262,-0.191588,-0.157999,1,0.762301,23.028307,2.444286,0.868581,2.594025,PASS
S00521,L0026,T02,521,-0.312815,0.069381,1,0.732918,20.40791,1.179959,0.967535,1.525919,PASS
S00041,L0002,T01,41,0.916823,-0.658262,3,0.844862,21.339892,14.021003,-8.585268,16.440662,FAIL
S00673,L0033,T01,673,-0.013791,0.034322,1,0.829296,21.762095,3.074443,0.950669,3.218069,PASS
S00691,L0034,T02,691,-0.785941,-0.58076,3,0.889342,21.771268,0.060142,-2.52691,2.527626,PASS
S00640,L0032,T01,640,-0.979459,0.794464,1,1.0,21.239858,-2.955848,0.647381,3.025912,PASS
S00277,L0013,T01,277,-0.397282,-0.236437,4,0.937894,21.381907,3.622328,-1.784885,4.038202,PASS
S00717,L0035,T01,717,-0.871416,-0.043824,3,0.841152,22.231671,1.303055,0.08015,1.305518,PASS
S00158,L0007,T02,158,-0.554924,0.70407,4,0.809762,21.134245,6.500109,1.980552,6.795146,FAIL
S00000,L0000,T02,0,0.220161,0.214183,2,0.818539,21.555421,1.531461,-0.295634,1.559734,PASS
S00719,L0035,T03,719,-0.532122,-0.465525,4,0.784142,22.36796,2.348023,-0.874749,2.505673,PASS
S00664,L0033,T02,664,-0.487145,0.457047,2,0.871639,21.427513,2.242492,1.699829,2.813928,PASS
S00369,L0018,T02,369,-0.368064,-0.331345,1,0.723599,294.486235,1.802196,0.316304,1.829743,PASS
S00296,L0014,T03,296,0.468956,0.309473,3,0.882566,22.316845,4.365626,1.127796,4.508948,PASS
S00636,L0031,T01,636,-0.709174,0.244174,4,0.938782,23.030379,3.172776,0.217741,3.180239,PASS
S00740,L0037,T01,740,0.535406,0.286782,1,0.846212,22.917812,3.559125,1.108926,3.72788,PASS
S00279,L0013,T01,279,0.357002,0.136258,2,0.799154,22.704582,3.871824,0.420358,3.894576,PASS
S00352,L0017,T01,352,0.603589,0.869,2,0.80348,22.188588,4.565712,3.215756,5.584515,PASS
S00231,L0011,T02,231,0.97642,-0.983118,3,0.839786,20.218168,14.9543,-6.955915,16.492903,FAIL
S00685,L0034,T01,685,-0.178272,0.505287,4,0.772412,22.867659,4.147705,-0.944096,4.253795,PASS
S00053,L0002,T01,53,0.315649,-0.311802,2,0.991134,22.803262,4.726507,-1.140791,4.862229,PASS
S00762,L0038,T03,762,0.020667,-0.751476,2,0.913511,21.666694,4.258968,-0.602578,4.301384,PASS
S00284,L0014,T04,284,-0.739182,-0.545971,3,0.948663,21.433475,2.727109,-1.10769,2.943485,PASS
S00791,L0039,T03,791,0.256296,-0.307798,2,1.0,20.432703,2.570772,-4.143379,4.876111,PASS
S00482,L0024,T02,482,-0.573312,0.525266,4,0.829428,21.882849,3.582523,0.968955,3.711246,PASS
S00116,L0005,T01,116,-0.335554,0.247232,3,0.727791,21.23543,3.456418,-0.068482,3.457096,PASS
S00299,L0014,T01,299,-0.737888,0.853801,3,0.866952,21.952739,0.582547,0.44324,0.731999,PASS
S00643,L0032,T02,643,0.751871,0.07488,4,0.94071,22.10808,7.837212,0.379089,7.846375,PASS
S00632,L0031,T03,632,0.681761,0.348042,4,0.832508,22.040717,6.955471,-1.854714,7.198509,PASS
S00007,L0000,T01,7,0.554613,-0.136053,3,0.870806,21.324744,5.175172,-1.616535,5.42177,PASS
S00078,L0003,T01,78,0.30284,0.013593,2,0.843385,23.013154,3.731235,-1.722036,4.109443,PASS
S00089,L0004,T04,89,0.810498,-0.590675,3,0.970345,22.653388,12.237312,-7.942696,14.588977,FAIL
S00260,L0013,T01,260,0.975828,-0.280677,3,0.942927,21.545387,7.175626,-0.206799,7.178605,PASS
S00121,L0006,T01,121,0.624708,0.583343,3,0.896089,21.547878,7.542606,2.426772,7.923391,PASS
S00503,L0025,T02,503,0.271165,-0.338759,1,0.71202,21.337814,0.943022,1.262441,1.575769,PASS
S00638,L0031,T04,638,-0.990116,0.883525,1,0.999658,21.494534,-1.029501,-0.74554,1.271103,PASS
S00060,L0003,T01,60,-0.131632,0.766806,1,1.0,23.061198,2.613419,1.514318,3.020449,PASS
S00735,L0036,T04,735,0.862128,-0.079729,2,1.0,20.928202,4.24242,-2.636133,4.99473,PASS
S00079,L0003,T01,79,0.572844,-0.821013,4,0.910677,22.174531,13.909478,-9.532487,16.86244,FAIL
S00619,L0030,T02,619,0.611894,-0.609027,2,1.0,21.789345,13.100886,-6.315844,14.543834,FAIL
S00500,L0025,T04,500,0.982262,0.031,1,0.728514,22.54849,5.10624,0.18974,5.109764,PASS
S00181,L0009,T03,181,-0.344093,-0.38587,1,0.893203,22.48003,-0.272514,-0.922542,0.961949,PASS
S00433,L0021,T04,433,0.324634,0.358564,4,0.902459,21.872353,6.461015,1.418673,6.614934,PASS
S00683,L0034,T04,683,0.156236,0.235778,4,0.668026,21.184571,3.233609,0.95105,3.370567,PASS
S00135,L0006,T01,135,0.565251,0.942551,1,0.797322,23.241562,3.720552,1.802266,4.134087,PASS
S00001,L0000,T01,1,0.29933,-0.499369,4,1.0,22.229457,6.015041,-4.451815,7.483273,PASS
S00663,L0033,T01,663,-0.642064,0.998479,4,0.918098,22.028342,2.583348,0.80482,2.705813,PASS
S00753,L0037,T01,753,0.593371,0.481654,1,0.945843,21.375676,3.891938,1.556522,4.191651,PASS
S00466,L0023,T01,466,0.271182,-0.589458,2,0.854297,22.179053,3.357621,-1.303839,3.60189,PASS
S00436,L0021,T01,436,0.866638,0.865029,4,0.9203,23.220208,7.206935,2.157987,7.523085,PASS
S00755,L0037,T01,755,-0.046727,-0.89119,1,0.729661,20.581706,0.195111,-1.650726,1.662217,PASS
S00581,L0029,T01,581,-0.336627,0.960527,3,0.802475,21.498581,2.915565,-0.208329,2.922998,PASS
S00251,L0012,T01,251,-0.678341,0.308053,1,0.847187,,-0.050127,-0.127406,0.136913,PASS
S00127,L0006,T02,127,-0.295056,0.852898,3,0.771109,21.878339,2.356952,2.945697,3.772579,PASS
S00319,L0015,T02,319,-0.867688,-0.886019,3,0.747244,22.53058,2.531553,-1.537124,2.961674,PASS
S00568,L0028,T01,568,0.275445,0.625835,4,,22.508077,6.612002,2.402065,7.034806,PASS
S00091,L0004,T03,91,0.979547,-0.885351,4,0.897044,21.386583,16.645898,-9.490332,19.161219,FAIL
S00252,L0012,T01,252,-0.377356,0.755757,4,0.933976,21.24269,4.460132,1.922479,4.85682,PASS
S00788,L0039,T02,788,-0.614592,-0.570935,4,0.861929,21.156808,4.009491,0.153928,4.012445,PASS
S00671,L0033,T01,671,0.268935,,4,0.863973,21.84066,5.711261,-3.802031,6.861045,PASS
S00709,L0035,T04,709,,-0.364646,4,0.927355,22.186964,2.353179,-1.756037,2.936174,PASS
S00349,L0017,T02,349,-0.324432,0.56533,1,0.774743,22.283457,0.638954,0.927737,1.12648,PASS
S00563,L0028,T02,563,0.76322,,3,0.923237,22.404547,3.989797,-1.761549,4.361369,PASS
S00478,L0023,T02,478,-0.107604,-0.276111,3,0.721536,21.46564,3.342281,0.720333,3.419024,PASS
S00070,L0003,T02,70,-0.658626,0.077614,2,,21.054127,-0.518609,1.529945,1.615453,PASS
S00347,L0017,T01,347,0.299775,0.25205,2,0.837871,22.309713,4.88692,2.31259,5.406483,PASS
S00721,L0036,T02,721,-0.536239,-0.537762,2,0.974018,20.649396,1.741003,-3.551855,3.9556,PASS
S00713,L0035,T01,713,-0.354384,0.727092,,0.755272,21.525202,0.7778,1.94412,2.093938,PASS
S00254,L0012,T04,254,0.113373,-0.706274,2,0.820317,21.716103,6.071969,1.135846,6.177294,PASS
S00730,L0036,T01,730,-0.570733,-0.464699,2,1.0,22.259256,0.796712,-2.063645,2.212098,PASS
S00587,L0029,T02,587,0.621151,0.138203,2,0.934295,22.013723,3.623137,-0.393009,3.64439,PASS
S00186,L0009,T01,186,,0.882352,4,0.736035,21.567239,2.809242,1.869867,3.374647,PASS
S00046,L0002,T03,46,0.549031,0.892231,1,0.793429,20.259242,3.374822,2.288241,4.077434,PASS
S00720,L0036,T02,720,0.326907,0.030189,2,0.982712,22.60255,5.102243,-2.253483,5.57773,PASS
S00705,L0035,T03,705,-0.926755,-0.799059,2,0.958933,21.519777,1.166867,-3.225395,3.429978,PASS
S00143,L0007,T03,143,-0.856257,0.673963,1,0.851922,22.109357,0.43272,1.026228,1.113729,PASS
S00173,L0008,T02,173,0.099825,-0.423586,4,0.883637,21.678877,3.687956,0.131054,3.690283,PASS
S00677,L0033,T04,677,0.139907,0.02662,4,1.0,23.611922,6.790673,-1.579307,6.971905,PASS
S00594,L0029,T02,594,-0.980617,-0.91544,1,0.97036,21.103772,-1.042211,-3.197892,3.363438,PASS
S00051,L0002,T01,51,-0.230011,-0.550438,2,0.637489,22.282017,1.601922,0.260613,1.622983,PASS
S00694,L0034,T01,694,-0.028097,0.813321,1,0.964953,21.430643,1.353882,2.014575,2.427243,PASS
S00616,L0030,T01,616,-0.946776,0.20236,3,0.835611,22.698949,1.109406,-1.43413,1.813149,PASS
S00724,L0036,T01,724,0.845466,0.888194,2,0.799293,22.199113,5.477651,2.062527,5.853091,PASS
S00207,L0010,T01,207,-0.298644,0.507988,2,1.0,21.89261,2.763383,-1.50712,3.147649,PASS
S00402,L0020,T01,402,0.599231,-0.072845,4,0.813756,21.142571,5.59452,1.134026,5.708298,PASS
S00599,L0029,T02,599,-0.680671,-0.246713,3,0.792984,23.078407,1.262469,-1.518992,1.975137,PASS
S00383,L0019,T04,383,-0.407911,0.325948,4,0.989297,20.361737,5.370461,-0.07526,5.370989,PASS
S00655,L0032,T01,655,-0.319297,-0.195623,1,0.940983,22.906498,3.2558,-1.432041,3.556821,PASS
S00432,L0021,T02,432,0.122904,-0.941135,4,0.839426,23.038615,4.903214,-2.892694,5.692907,PASS
S00519,L0025,T02,519,-0.084841,-0.600068,1,0.929716,20.995041,0.427391,0.27891,0.510346,PASS
S00582,L0029,T01,582,0.944328,0.966499,1,0.782748,21.298483,5.253132,1.310402,5.414106,PASS
S00767,L0038,T04,767,-0.818112,0.669357,3,0.840708,,1.969476,1.184764,2.298369,PASS
S00712,L0035,T02,712,0.633465,-0.805973,4,0.890202,21.7657,14.35296,-8.357036,16.608658,FAIL
S00626,L0031,T01,626,0.010685,0.37586,1,1.0,22.615073,1.893817,-1.367736,2.336075,PASS
S00220,L0011,T02,220,-0.97714,0.266711,3,0.757029,23.002539,0.238333,2.676036,2.686629,PASS
S00590,L0029,T03,590,0.888859,-0.570563,2,1.0,22.080391,11.693155,-5.838305,13.069648,FAIL
S00177,L0008,T01,177,-0.860968,0.395085,4,0.836332,21.911947,5.099842,-1.111433,5.219547,PASS
S00759,L0037,T02,759,-0.068607,-0.577322,2,0.718558,22.952197,4.163313,-1.907054,4.579304,PASS
S00576,L0028,T02,576,0.864228,0.711023,3,0.870953,21.824929,4.83918,2.321784,5.36734,PASS
S00610,L0030,T01,610,0.239021,0.606237,2,0.983278,21.290114,5.277863,-0.027175,5.277933,PASS
S00744,L0037,T02,744,0.650464,0.220709,4,0.718777,21.992357,6.076639,2.404579,6.535101,PASS
S00532,L0026,T03,532,-0.774066,-0.000604,2,0.851103,20.94232,-0.567129,0.449137,0.723436,PASS
S00473,L0023,T03,473,-0.759953,0.534223,4,0.758119,22.51316,3.116013,1.351681,3.396554,PASS
S00492,L0024,T01,492,-0.956657,-0.78029,3,0.913967,22.170687,1.251849,-1.187281,1.72533,PASS
S00129,L0006,T01,129,0.069474,-0.986454,1,0.763582,21.339095,2.574692,0.077093,2.575846,PASS
S00304,L0015,T01,304,,-0.580813,1,0.914068,22.699922,0.635991,-1.730856,1.844003,PASS
S00737,L0036,T02,737,-0.45184,0.055802,3,0.926371,21.784884,0.647686,-1.123851,1.297126,PASS
S00657,L0032,T02,657,0.401583,-0.604802,3,0.918518,22.166484,5.424196,-2.258418,5.875573,PASS
S00285,L0014,T03,285,-0.869277,0.769201,4,0.949889,22.711991,2.318003,1.378759,2.697056,PASS
S00367,L0018,T01,367,0.922122,0.9992,3,0.778836,20.84577,5.78133,3.378946,6.696347,PASS
S00103,L0005,T02,103,-0.506627,0.58061,1,0.886114,21.14432,1.276426,3.860007,4.065577,PASS
S00461,L0023,T01,461,-0.023254,-0.776918,2,0.856115,21.551522,4.493693,-2.067935,4.946679,PASS
S00738,L0036,T01,738,0.90469,-0.537323,1,0.728198,21.889955,11.199586,-5.503104,12.478577,FAIL
S00005,L0000,T01,5,-0.171914,0.208893,3,0.943307,21.279539,5.81026,-1.332378,5.96107,PASS
S00088,L0004,T01,88,0.245398,0.810938,1,0.921627,21.535286,2.995034,1.925495,3.560584,PASS
S00775,L0038,T01,775,-0.55512,-0.587674,3,0.701236,22.326189,0.156165,1.222952,1.232882,PASS
S00551,L0027,T01,551,0.690559,0.989239,1,0.682169,21.839184,4.762557,2.091979,5.201762,PASS
S00624,L0031,T01,624,0.473113,-0.633515,4,0.824698,21.734135,10.871918,-7.556094,13.239832,FAIL
S00112,L0005,T01,112,0.502035,-0.61177,2,0.837475,23.236157,10.301455,-5.452821,11.655609,FAIL
S00608,L0030,T02,608,-0.966523,0.548586,1,0.74721,21.700265,-0.024269,0.523542,0.524104,PASS
S00372,L0018,T01,372,0.906121,-0.637119,4,0.926313,23.230657,12.670975,-6.93765,14.44592,FAIL
S00115,L0005,T02,115,-0.283716,0.889478,1,0.583761,21.929156,2.757012,1.954413,3.379474,PASS
S00049,L0002,T04,49,-0.173936,0.936385,3,0.988872,21.988891,4.532924,-0.365855,4.547664,PASS
S00556,L0027,T01,556,0.766549,-0.757617,,0.891348,21.30036,13.338318,-6.466994,14.823385,FAIL
S00056,L0002,T04,56,0.116343,0.741083,1,0.765481,21.577334,2.997555,2.418835,3.851765,PASS
S00224,L0011,T01,224,-0.098654,0.526343,3,0.835924,21.922851,2.993628,1.864089,3.526561,PASS
S00439,L0021,T02,439,-0.783994,0.95799,3,0.706423,22.401566,0.288583,3.395428,3.407669,PASS
S00575,L0028,T01,575,0.752711,0.853482,1,0.965395,21.947273,3.516906,1.010679,3.659248,PASS
S00395,L0019,T01,395,0.540923,0.353591,3,1.0,20.836323,6.818931,-2.794687,7.369403,PASS
