sample_id,lot_id,tool_id,sequence,layer,pe_cycle,program_pulse_v,temperature_c,retention_time_h,state,vth_mean_v,vth_sigma_v,read_window_v,ber_proxy,read_error
S00334,L0016,T02,334,16,34.234761,17.810358,36.313611,287.734052,3,0.281544,0.314934,0.03,0.080913,LOW
S00137,L0006,T01,137,52,1659.774332,16.441524,40.19426,46.419292,6,2.538686,0.37548,0.03,0.201009,HIGH
S00197,L0009,T01,197,103,1502.221588,14.289147,44.867568,568.86866,0,-2.102922,0.400753,0.03,0.029887,LOW
S00008,L0000,T01,8,125,1092.205391,16.719436,45.922667,17.059405,3,0.47837,0.424646,0.03,0.080913,LOW
S00521,L0026,T03,521,153,46.258198,17.88912,37.999442,9.164258,5,1.94696,0.346165,0.03,0.150588,HIGH
S00675,L0033,T01,675,53,51.289907,16.798491,23.475466,5.399846,40.0,1.432083,0.349811,0.03,0.111056,LOW
S00720,L0036,T01,720,145,1966.984621,17.42504,52.31399,225.108104,5,1.516121,0.402185,0.03,0.150588,HIGH
S00249,L0012,T01,249,36,356.302794,20.136697,36.412224,62.428723,7,3.464145,0.441453,0.03,0.263084,HIGH
S00048,L0002,T03,48,186,98.034608,16.775263,51.52059,66.794033,1,-1.358552,0.375989,0.03,0.041887,LOW
S00194,L0009,T01,194,58,172.369764,18.35031,43.907052,359.834622,4,1.028119,0.335011,0.03,0.111056,LOW
S00652,L0032,T01,652,2,3445.025508,16.903378,42.03823,24.047624,7,3.273616,0.497361,0.03,0.263084,HIGH
S00345,L0017,T01,345,92,481.447703,19.275895,34.405179,3.292361,6,3.06709,0.374046,0.069888,0.139582,HIGH
S00448,L0022,T01,448,48,,16.305977,42.205257,284.484365,4,1.090843,0.43893,0.03,0.111056,LOW
S00188,L0009,T01,188,43,2446.772514,17.696467,48.049767,54.236032,7,3.218548,0.452698,0.03,0.263084,HIGH
S00597,L0029,T03,597,169,99.26431,16.10614,49.089175,10.536841,7,3.357533,0.37575,0.03,0.263084,HIGH
S00621,L0031,T02,621,83,1589.34888,18.680755,62.443604,50.488312,3,0.360465,0.404802,0.03,0.080913,LOW
S00112,L0005,T02,112,11,3024.615627,19.722054,35.286818,59.340159,6,2.639273,0.44321,0.03,0.201009,HIGH
S00376,L0018,T03,376,115,1143.493619,18.232549,52.587293,97.341094,,1.007173,0.408094,0.03,0.111056,LOW
S00138,L0006,T01,138,56,17.467396,18.083281,54.785141,162.019583,4,0.769477,0.30463,0.041196,0.099468,LOW
S00187,L0009,T02,187,155,151.256655,17.165211,35.723302,47.744395,4,1.12533,0.414774,0.03,0.111056,LOW
S00550,L0027,T03,550,148,60.309353,17.965828,36.460966,2.686031,5,2.269876,0.30537,0.108335,0.069676,LOW
S00321,L0016,T01,321,51,4989.971527,16.233862,29.664939,5.948395,5,1.990469,0.427898,0.03,0.150588,HIGH
S00332,L0016,T02,332,105,86.01524,17.049603,39.692163,1.615822,6,2.905356,0.344237,0.03,0.201009,HIGH
S00711,L0035,T01,711,12,770.409451,18.192574,49.07221,1.113055,7,3.522565,0.393253,0.03,0.263084,HIGH
S00053,L0002,T02,53,129,2976.461285,18.649185,54.753663,7.879177,3,0.668209,0.442338,0.03,0.080913,LOW
S00780,L0039,T01,780,42,34.822552,18.986298,28.932286,397.009675,3,0.449731,0.293297,0.082868,0.046907,LOW
S00762,L0038,T02,762,29,222.446246,18.681564,,27.724485,3,0.501876,0.401554,0.03,0.080913,LOW
S00125,L0006,T02,125,129,69.815907,16.176671,46.874131,35.686654,0,-1.793623,0.323527,0.053101,0.023337,LOW
S00247,L0012,T01,247,114,4884.866401,18.314599,68.258047,931.639618,2,-0.988246,0.404338,0.03,0.058415,LOW
S00084,L0004,T01,84,14,65.390134,17.517446,38.727282,12.367595,3,0.567466,0.335225,0.03556,0.07648,LOW
S00472,L0023,T01,472,5,29.632883,17.748785,58.229824,28.069408,6,2.492987,0.33786,0.03,0.201009,HIGH
S00191,L0009,T01,191,130,1845.172325,17.441618,33.944543,60.817988,6,2.663071,0.495738,0.03,0.201009,HIGH
S00385,L0019,T01,385,64,60.715675,18.186909,57.15418,1.057124,4,1.497143,0.322167,0.048542,0.09246,LOW
S00392,L0019,T01,392,30,320.341125,17.707439,53.078036,1.979955,5,2.064116,0.37931,0.03,0.150588,HIGH
S00318,L0015,T01,318,166,70.419197,16.427726,66.103568,380.691791,7,2.57929,0.347885,0.03,0.263084,HIGH
S00413,L0020,T02,413,55,62.043325,16.680947,54.838647,12.370637,6,2.662569,0.35385,0.061495,0.151043,HIGH
S00614,L0030,T03,614,81,11.348017,17.141238,50.041421,4.483084,4,1.464471,0.270194,0.198634,0.019171,LOW
S00464,L0023,T01,464,72,168.704552,17.748525,38.451919,3.007459,7,3.654122,0.330496,0.12054,0.116506,LOW
S00028,L0001,T03,28,34,52.758893,15.828498,47.903147,208.980562,1,-1.241126,0.357859,0.03,0.041887,LOW
S00756,L0037,T01,756,90,2567.748618,18.841875,55.642282,461.624513,1,-1.346807,0.337764,0.03,0.041887,LOW
S00542,L0027,T01,542,60,121.09817,18.069221,39.48077,60.856305,3,0.240557,0.310639,0.081682,0.047494,LOW
S00425,L0021,T01,425,79,347.353931,16.019347,41.379594,526.144654,4,0.81134,0.375275,0.03,0.111056,LOW
S00530,L0026,T01,530,26,152.035489,17.919563,49.386705,188.885278,6,2.349204,0.367693,0.03,0.201009,HIGH
S00787,L0039,T02,787,76,68.624434,15.565068,49.998844,1.004463,1,-0.589774,0.309264,0.194953,0.007072,LOW
S00296,L0014,T01,296,8,358.552647,17.924475,52.630555,92.353958,2,-0.520601,0.403965,0.03,0.058415,LOW
S00103,L0005,T01,103,148,89.207328,21.777089,51.31848,20.283705,3,0.622265,0.349865,0.049383,0.066409,LOW
S00694,L0034,T01,694,4,769.433997,19.080367,64.283852,90.498303,0,-2.086427,0.423599,0.03,0.029887,LOW
S00744,L0037,T01,744,67,114.173822,19.244266,38.275281,95.074405,3,0.436122,0.334126,0.03,0.080913,LOW
S00145,L0007,T01,145,162,1619.73648,17.881582,37.417165,3.584246,6,2.851339,0.400956,0.03,0.201009,HIGH
S00290,L0014,T03,290,86,24.299749,18.378498,33.232609,2.946249,3,0.802446,0.277959,0.223881,0.010326,LOW
S00086,L0004,T01,86,80,238.767889,17.327015,58.380449,14.147418,0,-1.63949,0.390283,0.050764,0.02393,LOW
S00096,L0004,T01,96,151,2855.978402,18.724736,50.012151,332.90508,7,2.94808,0.394806,0.03,0.263084,HIGH
S00094,L0004,T01,94,54,1990.472672,19.189604,42.104193,149.096896,0,-1.908538,0.398248,0.03,0.029887,LOW
S00502,L0025,T03,502,153,14.140928,15.97295,41.140699,4.711908,4,1.159135,0.298136,0.137855,0.036742,LOW
S00571,L0028,T01,571,165,15.099084,18.315005,39.176284,99.612632,6,2.453131,0.321377,0.092753,0.112019,LOW
S00262,L0013,T02,262,82,20.163297,17.938062,31.850113,5.028743,5,2.286979,0.285115,0.120691,0.061364,LOW
S00042,L0002,T03,42,111,163.907829,17.273859,31.969738,205.220417,3,0.264373,0.295018,0.067348,0.055158,LOW
S00161,L0008,T01,161,67,47.968719,19.186213,56.445058,9.020645,7,3.398772,0.27337,0.209811,0.047069,LOW
S00430,L0021,T01,430,147,532.435178,18.354392,42.533109,41.095924,2,-0.310197,0.374632,0.03,0.058415,LOW
S00162,L0008,T03,162,93,998.258921,17.21919,43.186048,2.022999,3,0.819072,0.409202,0.03,0.080913,LOW
S00250,L0012,T02,250,56,28.826503,18.891107,32.131293,55.228207,5,1.877122,0.31724,0.143069,0.048626,LOW
S00347,L0017,T02,347,28,69.107894,18.396562,64.218446,1.881435,4,1.526556,0.328388,0.132765,0.038776,LOW
S00140,L0007,T02,140,142,10.621516,19.963305,33.964487,4.785555,0,-1.39576,0.326304,0.12711,0.010475,LOW
S00665,L0033,T01,665,56,50.86478,16.022857,43.16138,120.406818,4,0.954014,0.341731,0.071338,0.07346,LOW
S00156,L0007,T01,156,22,1740.097634,19.961802,52.905373,44.538028,2,-0.331892,0.480102,0.03,0.058415,LOW
S00562,L0028,T01,562,96,84.479301,18.916182,42.195447,1.613596,5,2.476628,0.292068,0.159819,0.040777,LOW
S00778,L0038,T01,778,95,1516.064083,17.861697,36.251391,196.545607,0,-1.841669,0.398213,0.03,0.029887,LOW
S00067,L0003,T01,67,147,28.516302,17.722951,51.476454,94.832083,1,-1.178207,0.272337,0.134363,0.013681,LOW
S00210,L0010,T01,210,188,783.616114,20.298752,62.926177,40.244804,6,2.409566,0.429089,0.03,0.201009,HIGH
S00264,L0013,T01,264,174,23.718037,15.980867,43.956837,5.085518,6,2.684278,0.256709,0.298879,0.012898,LOW
S00768,L0038,T01,768,116,4388.698556,18.207833,48.481171,118.86948,6,2.446269,0.464974,0.03,0.201009,HIGH
S00284,L0014,T02,284,65,150.033796,17.117153,47.370091,2.356534,0,-1.506594,0.313322,0.136628,0.009444,LOW
S00475,L0023,T03,475,3,10.275493,17.62091,54.245813,24.824696,2,-0.540643,0.299569,0.125404,0.02126,LOW
S00551,L0027,T01,551,,44.177839,16.654898,51.349456,1.402291,1,-0.719592,0.303693,0.170079,0.009277,LOW
S00561,L0028,T01,561,77,2407.543569,16.03654,43.771807,13.526786,4,1.234479,0.413357,0.112477,0.111056,LOW
S00152,L0007,T01,152,143,196.670986,16.901407,49.586019,5.579769,7,3.719249,0.3437,0.060686,0.203017,HIGH
S00075,L0003,T01,75,155,3444.711139,19.600699,55.671814,193.970531,1,-1.285827,0.431717,0.03,0.041887,LOW
S00421,L0021,T03,421,33,2344.773688,17.352598,40.464395,99.947504,1,-1.044766,0.426701,0.03,0.041887,LOW
S00623,L0031,T02,623,41,1393.400196,18.080406,69.142841,18.868796,2,-0.325103,0.406679,0.03,0.058415,LOW
S00513,L0025,T01,513,127,3212.280812,18.973825,44.641431,706.861116,7,2.935934,0.453677,0.03,0.263084,HIGH
S00175,L0008,T03,175,109,140.498551,18.94891,43.29564,853.682004,5,1.510602,0.293446,0.101905,0.074403,LOW
S00533,L0026,T02,533,127,68.687609,19.569983,45.230491,,2,-0.117022,0.315508,0.086434,0.032271,LOW
S00755,L0037,T03,755,33,1181.128271,19.768676,41.446715,145.808657,7,3.322637,0.398952,0.03,0.263084,HIGH
S00633,L0031,T01,633,191,135.447371,18.335507,43.440184,359.894888,2,-0.529579,0.407036,0.03,0.058415,LOW
S00498,L0024,T01,498,82,301.8237,18.80854,50.228846,6.485486,2,0.079268,0.322049,0.055261,0.044879,LOW
S00776,L0038,T02,776,4,1509.516425,18.456734,39.794946,68.669584,2,-0.285592,0.42262,0.03,0.058415,LOW
S00111,L0005,T01,111,119,216.18138,16.976786,47.38752,18.330877,3,0.392694,0.35633,0.03,0.080913,LOW
S00639,L0031,T01,639,89,449.091684,16.466159,38.848918,90.138366,5,1.855604,0.379453,0.03,0.150588,HIGH
S00439,L0021,T02,439,83,500.288194,18.980215,42.749608,1.646648,5,2.221224,0.38758,0.03,0.150588,HIGH
S00546,L0027,T01,546,156,10.703712,18.159979,38.391774,10.449,0,-1.585796,0.275059,0.086572,0.016266,LOW
S00026,L0001,T01,26,91,69.220197,16.904201,40.038192,4.571747,6,3.066954,0.338268,0.03,0.201009,HIGH
S00796,L0039,T01,796,99,11.243458,19.619153,60.164085,604.90059,3,0.004705,0.274543,0.057901,0.06083,LOW
S00275,L0013,T01,275,66,280.014294,19.721117,37.034307,921.719907,0,-1.771613,0.368899,0.03,0.029887,LOW
S00766,L0038,T02,766,162,46.890119,19.483929,46.734285,777.115657,5,1.515054,0.32229,0.03,0.150588,HIGH
S00714,L0035,T01,714,162,2148.550977,20.609,36.644721,8.151701,7,3.521788,0.466973,0.03,0.263084,HIGH
S00469,L0023,T03,469,99,194.00472,19.515048,46.573503,248.61756,4,1.030212,0.363884,0.03,0.111056,LOW
S00015,L0000,T02,15,160,170.870896,18.420375,50.489614,19.170486,6,2.780354,0.352331,0.042659,0.179573,HIGH
S00655,L0032,T02,655,148,363.694283,,42.368883,102.880091,0,-1.807775,0.374533,0.03,0.029887,LOW
S00792,L0039,T01,792,22,23.690386,21.09557,36.435467,3.895501,6,3.043977,0.335367,0.082098,0.124218,HIGH
S00411,L0020,T02,411,176,142.674829,17.849008,56.76808,4.07602,6,2.889359,0.363441,0.041009,0.182262,HIGH
S00676,L0033,T01,676,44,718.166272,17.27965,41.377366,222.785799,0,-1.99013,0.338943,0.035779,0.028098,LOW
S00049,L0002,T01,49,57,3537.515334,19.161896,31.842882,55.425775,6,2.889565,0.481315,0.03,0.201009,HIGH
S00632,L0031,T01,632,5,578.059231,17.9953,44.424164,431.766891,6,2.135098,0.414513,0.03,0.201009,HIGH
S00109,L0005,T02,109,122,45.033225,17.22391,39.955245,1.608541,1,-0.687065,0.316482,0.13195,0.014043,LOW
S00489,L0024,T03,489,82,471.313338,16.496686,46.724072,139.405592,1,-1.090587,0.395773,0.03,0.041887,LOW
S00139,L0006,T02,139,151,2103.889229,19.426076,46.549414,10.391161,5,2.132204,0.444633,0.03,0.150588,HIGH
S00233,L0011,T01,233,54,453.54789,19.682895,41.065365,69.499232,4,1.389842,0.393159,0.03,0.111056,LOW
S00235,L0011,T01,235,98,400.722207,18.021104,29.74762,254.65581,1,-0.957521,0.377784,0.03,0.041887,LOW
S00437,L0021,T02,437,135,18.282879,18.934573,62.910258,409.613095,6,2.156123,0.245776,0.158081,0.057927,LOW
S00120,L0006,T02,120,75,2069.847384,16.258695,41.368665,,1,-0.687917,0.352159,0.044856,0.035798,LOW
S00585,L0029,T01,585,124,3561.259698,16.493853,49.306931,3.130955,1,-0.831859,0.409598,0.03,0.041887,LOW
S00269,L0013,T01,269,6,163.14738,17.94857,37.466709,131.586457,3,0.371277,0.390524,0.03,0.080913,LOW
S00559,L0027,T01,559,191,385.350799,18.59907,48.570707,9.684886,1,-1.149702,0.380535,0.03,0.041887,LOW
S00007,L0000,T03,7,152,639.089634,18.970148,43.955767,10.579328,0,-1.405845,0.431674,0.03,0.029887,LOW
S00133,L0006,T02,133,168,826.35,17.466524,40.562382,1.634176,7,3.792322,0.445179,0.03,0.263084,HIGH
S00697,L0034,T02,697,24,32.778913,16.609437,45.910508,9.438036,3,0.448592,0.318478,0.102671,0.038075,LOW
S00205,L0010,T01,205,120,20.694583,18.246904,50.042673,11.791576,4,1.291007,0.296354,0.130844,0.039571,LOW
S00508,L0025,T01,508,186,3809.473571,17.037155,48.013537,173.764214,3,0.18656,0.493101,0.03,0.080913,LOW
S00724,L0036,T01,724,190,167.791975,17.465792,46.896503,8.559642,5,1.749894,0.420266,0.03,0.150588,HIGH
S00173,L0008,T01,173,25,869.499723,15.783135,34.37557,23.271254,3,0.637059,0.437359,0.03,0.080913,LOW
S00695,L0034,T03,695,80,62.050861,17.377378,61.323182,3.978256,5,2.090945,0.305583,0.124788,0.058819,LOW
S00150,L0007,T03,150,122,4709.777262,18.121203,48.534163,2.515317,1,-0.741325,0.390016,0.03,0.041887,LOW
S00618,L0030,T02,618,4,1931.973085,17.851337,49.499486,9.308077,3,0.314548,0.42528,0.03,0.080913,LOW
S00516,L0025,T03,516,37,131.537857,17.042696,,415.729726,3,0.257502,0.384838,0.03,0.080913,LOW
S00388,L0019,T01,388,33,329.858482,18.75117,37.276321,593.443924,7,3.183976,0.362435,0.03,0.263084,HIGH
S00071,L0003,T01,71,22,204.066153,16.64407,40.981034,6.427256,7,3.360529,0.430302,0.03,0.263084,HIGH
S00011,L0000,T01,11,91,3313.9318,17.473264,45.114016,122.533443,2,-0.362239,0.378782,0.03,0.058415,LOW
S00666,L0033,T03,666,7,,19.429356,52.501964,24.018846,4,1.233301,0.340701,0.073122,0.072135,LOW
S00485,L0024,T02,485,159,2639.597181,16.95683,29.609903,167.649143,3,0.325569,0.458401,0.03,0.080913,LOW
S00032,L0001,T03,32,13,278.716573,18.913188,53.129183,875.516069,6,2.069924,0.421504,0.03,0.201009,HIGH
S00553,L0027,T01,553,52,20.774049,18.258869,49.561687,232.675798,6,2.273283,0.304852,0.03,0.201009,HIGH
S00777,L0038,T02,777,42,186.55209,17.352227,32.105937,11.696943,5,2.129284,0.371792,0.03,0.150588,HIGH
S00037,L0001,T01,37,71,14.565037,19.616687,39.60402,4.126013,1,-0.532475,0.269271,0.256206,0.003618,LOW
S00114,L0005,T02,114,165,25.163925,20.273524,46.455044,56.290122,1,-1.178199,0.32136,0.061844,0.029878,LOW
S00653,L0032,T02,653,79,1986.156916,18.772774,45.182637,44.222344,7,3.357321,0.411813,0.03,0.263084,HIGH
S00613,L0030,T01,613,93,352.457589,19.201201,45.177924,1.154657,0,-1.237392,0.329546,0.096581,0.014595,LOW
S00029,L0001,T03,29,159,21.098012,18.398967,26.393316,2.47044,2,0.080866,0.312677,0.099164,0.028173,LOW
S00499,L0024,T01,499,33,4527.280319,16.889039,50.383655,108.783544,3,0.234351,0.436724,0.03,0.080913,LOW
S00277,L0013,T02,277,13,83.336863,17.806957,54.791557,2.126413,2,0.096452,0.360189,0.03,0.058415,LOW
S00294,L0014,T01,294,27,3222.167007,17.20073,40.19781,450.693293,6,2.372272,0.46886,0.03,0.201009,HIGH
S00307,L0015,T03,307,110,4096.758989,17.744418,51.304165,94.940597,1,-1.041155,0.419382,0.03,0.041887,LOW
S00337,L0016,T01,337,69,28.342026,15.787752,44.45146,211.243075,3,0.012882,0.314817,0.079462,0.048611,LOW
S00648,L0032,T03,648,134,179.266638,19.022742,40.266332,7.277978,,-1.531532,0.379629,0.03,0.029887,LOW
S00146,L0007,T01,146,145,1598.516892,18.301583,44.645223,760.988725,6,2.28282,0.429734,0.03,0.201009,HIGH
S00006,L0000,T02,6,144,404.64979,19.11785,51.729759,,1,-1.424853,0.391408,0.03,0.041887,LOW
S00467,L0023,T01,467,156,3147.380451,19.107723,49.156763,1.769988,2,-0.037011,0.402819,0.03,0.058415,LOW
S00257,L0012,T03,257,139,1435.876017,16.474338,43.61838,12.814844,2,-0.177202,0.413505,0.03,0.058415,LOW
S00209,L0010,T01,209,72,49.647588,19.4029,26.732364,3.430958,0,-1.412804,0.289418,0.197203,0.004873,LOW
S00773,L0038,T01,773,23,193.293797,18.847447,65.918756,206.830697,6,2.144392,0.375323,0.03,0.201009,HIGH
S00000,L0000,T01,0,22,1598.915362,19.075919,44.92527,42.36756,7,3.208024,0.468313,0.03,0.263084,HIGH
S00510,L0025,T01,510,189,120.827396,19.116537,50.36608,108.134961,0,-1.993172,0.393654,0.03,0.029887,LOW
S00202,L0010,T01,202,163,282.907588,18.975818,48.500149,8.772068,7,3.410109,0.332357,0.157725,0.080544,LOW
S00116,L0005,T01,116,136,343.541093,15.037748,47.234822,10.91692,5,1.91755,0.350415,0.036078,0.142234,HIGH
S00698,L0034,T03,698,20,501.793134,16.782661,48.232722,766.057573,0,-2.109704,0.408642,0.03,0.029887,LOW
S00747,L0037,T01,747,15,17.904511,17.199714,35.517556,91.592957,5,1.877498,0.302535,0.052007,0.122166,HIGH
S00261,L0013,T01,261,156,1532.286919,18.034493,44.141944,11.402418,1,-0.958133,0.449746,0.03,0.041887,LOW
S00312,L0015,T02,312,55,351.232006,18.022866,310.645278,508.378954,1,-1.266909,0.353796,0.03,0.041887,LOW
S00105,L0005,T01,105,81,2408.693645,18.916409,48.154394,16.830276,7,3.554937,0.442577,0.03,0.263084,HIGH
S00659,L0032,T01,659,66,35.620658,18.827245,42.162101,135.019471,4,1.087059,0.272183,0.203807,0.01813,LOW
S00353,L0017,T01,353,20,16.084816,14.360245,35.995789,542.14168,3,0.136078,0.292425,0.066243,0.055794,LOW
S00599,L0029,T03,599,190,258.756385,18.37433,46.390156,6.771324,6,2.760051,0.419913,0.03,0.201009,HIGH
S00076,L0003,T02,76,192,1218.925752,18.813671,54.101331,67.692017,5,1.853365,0.443347,0.03,0.150588,HIGH
S00584,L0029,T01,584,8,93.441692,19.027626,48.319079,137.848039,4,1.058365,0.374148,0.03,0.111056,LOW
S00036,L0001,T01,36,88,616.657222,19.009059,26.486205,112.135226,4,1.353823,0.433949,0.03,0.111056,LOW
S00243,L0012,T01,243,87,,18.407874,38.608749,467.973356,0,-2.083244,0.283421,0.144104,0.008705,LOW
S00333,L0016,T02,333,130,221.312639,17.035286,39.460363,13.447256,6,2.624094,0.366045,0.03,0.201009,HIGH
S00020,L0001,T01,20,61,2032.262702,19.894677,54.369796,191.603097,3,0.091772,0.405424,0.03,0.080913,LOW
S00441,L0022,T01,441,102,20.022597,19.448462,57.555558,4.008465,6,2.903563,0.251292,0.206587,0.034809,LOW
S00641,L0032,T02,641,34,93.105203,18.398999,34.555037,6.120524,0,-1.596954,0.389847,0.03,0.029887,LOW
S00135,L0006,T01,135,97,140.359682,20.747338,43.258851,3.451331,1,-0.583868,0.294642,0.218017,0.005496,LOW
S00234,L0011,T01,234,103,11.841116,15.848336,41.421233,111.94332,1,-1.033362,0.283509,0.065639,0.028692,LOW
S00057,L0002,T01,57,116,15.058483,17.74328,54.140624,610.766581,0,-2.11367,0.314194,0.03,0.029887,LOW
S00725,L0036,T01,725,135,1729.981298,19.955274,51.280523,106.397244,7,3.137937,0.392225,0.03,0.263084,HIGH
S00077,L0003,T01,77,18,166.146565,16.772192,53.010014,94.063803,1,-1.323141,0.364477,0.03,0.041887,LOW
S00638,L0031,T01,638,177,2253.084831,,54.741273,1.052279,5,2.177319,0.468221,0.03,0.150588,HIGH
S00717,L0035,T03,717,40,561.679429,19.825952,45.780351,162.113335,3,0.311936,0.393028,0.03,0.080913,LOW
S00310,L0015,T01,310,152,220.618592,16.807232,55.450397,89.438065,0,-2.152174,0.381426,0.03,0.029887,LOW
S00673,L0033,T01,673,99,306.713081,17.703964,46.698814,7.923333,3,0.597081,0.3427,0.042541,0.07123,LOW
S00447,L0022,T02,447,78,60.518437,19.255965,49.758232,4.425376,1,-0.605284,0.314612,0.080932,0.024358,LOW
S00761,L0038,T02,761,12,92.250186,20.576995,46.266382,231.350729,1,-1.169948,0.38738,0.03,0.041887,LOW
S00158,L0007,T02,158,153,4220.519642,19.688417,54.138687,3.989331,0,-1.504584,0.444473,0.03,0.029887,LOW
S00211,L0010,T01,211,186,49.71737,17.336802,52.885735,4.010444,7,3.370128,0.378837,0.03,0.263084,HIGH
S00339,L0016,T01,339,89,2087.143642,17.831898,30.373804,12.768445,6,2.823658,0.430718,0.03,0.201009,HIGH
S00266,L0013,T02,266,192,11.20166,19.937453,45.016174,468.294816,4,0.957328,0.349455,0.03,0.111056,LOW
S00527,L0026,T01,527,167,1027.292769,18.41086,45.366069,182.139256,6,2.453194,0.435468,0.03,0.201009,HIGH
S00704,L0035,T01,704,131,194.771195,16.860757,55.237559,70.521607,2,-0.31655,0.386768,0.03,0.058415,HIGH
S00719,L0035,T02,719,90,32.232136,17.85203,56.091606,1.286788,4,1.761802,0.24434,0.274379,0.008424,LOW
S00442,L0022,T01,442,40,3915.242702,18.420543,48.748081,121.495956,2,-0.557883,0.443511,0.03,0.058415,LOW
S00751,L0037,T01,751,73,2051.210217,18.272369,45.704378,2.654314,0,-1.408473,0.385291,0.03,0.029887,LOW
S00268,L0013,T01,268,84,66.141811,18.978212,60.825608,52.470391,2,-0.327572,0.304934,0.06389,0.040982,LOW
S00327,L0016,T01,327,9,11.79321,17.767465,43.608949,30.143569,0,-1.697836,0.297195,0.081014,0.017274,LOW
S00069,L0003,T01,69,44,20.574726,17.830866,45.832785,7.456163,4,1.267116,0.313111,0.156509,0.030131,LOW
S00130,L0006,T03,130,71,1774.972264,16.900616,42.165713,222.326681,4,1.104439,0.367159,0.03,0.111056,LOW
S00671,L0033,T01,671,54,80.426504,17.946854,34.054648,529.062293,1,-1.146397,0.354775,0.050917,0.033567,LOW
S00603,L0030,T01,603,23,1970.990505,19.235388,31.653853,93.005784,2,-0.278376,0.415613,0.03,0.058415,LOW
S00490,L0024,T01,490,58,4846.108284,18.137606,40.214118,31.320207,7,3.293496,0.447358,0.03,0.263084,HIGH
S00568,L0028,T01,568,147,1683.199223,18.109043,41.504231,155.752514,6,2.461595,0.410091,0.03,0.201009,HIGH
S00186,L0009,T01,186,38,2745.768394,,48.007461,311.174964,7,3.183499,0.418068,0.03,0.263084,HIGH
S00540,L0027,T01,540,179,262.104733,18.171727,47.517957,289.72611,6,2.104891,0.401623,0.03,0.201009,HIGH
S00220,L0011,T02,220,160,24.94609,19.806905,43.887295,3.644374,0,-1.491965,0.296432,0.13457,0.009658,LOW
S00703,L0035,T01,703,74,1814.491008,19.405295,40.160358,11.035753,5,2.094616,0.393454,0.039193,0.138104,HIGH
S00031,L0001,T02,31,126,24.659422,17.96629,47.396927,41.83902,4,1.243028,0.297404,0.072584,0.072533,LOW
S00710,L0035,T03,710,124,99.566786,18.396137,43.509487,419.403969,4,1.065627,0.302017,0.133989,0.038277,LOW
S00664,L0033,T01,664,158,1704.362564,19.844577,42.208569,887.475185,7,3.242257,0.422246,0.03,0.263084,HIGH
S00797,L0039,T01,797,20,729.4677,17.938788,42.36172,109.920972,5,1.824964,0.430644,0.03,0.150588,HIGH
S00565,L0028,T01,565,120,2399.716854,17.679663,39.512877,85.493668,6,2.643195,0.394055,0.03,0.201009,HIGH
S00482,L0024,T01,482,125,17.870443,18.526339,44.8659,233.078253,2,-0.388611,0.282572,0.148544,0.016561,LOW
S00700,L0035,T01,700,57,3348.861267,15.812719,40.157531,29.602594,5,1.983444,0.415209,0.03,0.150588,HIGH
S00258,L0012,T02,258,79,40.459576,15.305314,35.726575,103.421953,0,-1.85723,0.264339,0.160479,0.00728,LOW
S00474,L0023,T01,474,165,1002.689462,19.036299,52.513345,240.369,3,0.42293,0.441383,0.03,0.080913,LOW
S00749,L0037,T01,749,191,3136.739954,19.575923,42.434519,181.035,1,-1.080572,0.482138,0.03,0.041887,LOW
